stars,review,district,governorate
1,"أنا مش سعيد أوي بالخدمة دي, بصراحة! هي بتعمل غلط كتير ومش بتحب الناس اللي بيطلبوها. المفروض يكون فيها تنوع أكبر والأكل صحي أكتر. أنا بحاول أطلب منها مرة تانية بس أتمنى أنها تتغير للأفضل.",اتحاد التموين البحري في المحافظة,البحيرة
1,"أنا مش فاهم الحاجة ليه! كل يوم بنطلب نفس الحاجات والخدمة بتاعتنا مش بتتغير ولا حتى بتحسن, احنا لازم نتحرك ونطالب بحقوقنا.",مكتب الأغذية الصحية,البحيرة
4,"أنا مش راضي تمامًا على خدمة التموين في الجيزة, بالرغم أنها بتحقق الحد الأدني من الحاجات الأساسية للناس, لكن دي حاجة مش كفاية بالنسبة لي أنا كمواطن محتاج للخدمة بشكل أفضل.",جمعية البيت السعيد,الجيزة
4,"أنا سعيد جدا بالخدمة, لكن أحيانا يكون التقديم متأخر شوية. أتمنى أنهم يتحسنوا في الفترة القادمة.",مكتب المدينة للغذاء,القاهرة
3,"أنا مش راضي تماما على خدمات التموين في القاهرة, بالرغم أنها بتحسن شوية لكن لازم يتحسن أكتر عشان نقدر نثق فيهم ونقدر نعيش حياة كريمة.",مؤسسة الغذاء الصحي بالقاهرة,القاهرة
2,"أنا مش فاهم كويس اللي بيحصل هنا! التموين المفروض يكون أفضل من كده, لكن للأسف مفيش أي تحسن. الناس بتقول إن الأسعار زادت والناس بتحب تستنى على الطوابير ساعات طويلة علشان تحصل على حصة بسيطة. والله العظيم ده غلط جدا! لو الحكومة عايزه فعلا تحسين الوضع, فعليها زيادة الدعم للناس وتحسين التوزيع بدلا من الكلام الفارغ.",مكتب الطعام الصحي مكتب الغذاء الجيد,الجيزة
3,"أنا سعيد لتقديم هذا التعليق لك! إليك النص الذي يمكنك استخدامه: أنا بشارك تجربتي مع خدمات التموين في المنصورة, مصر. بصراحة, الخدمات مش كويسة أوي. احنا بنستلم الحاجات اللي المفروض نكون نستلمها بس إحنا مش فاهمين حاجة منها. كل شهر بيحصل مشاكل كتير ومش عارفين نحلها. أتمنى أنهم يقدروا يحلوا المشكلة دي.",مكتب الأغذية المتكاملة,الدقهلية
5,"أنا راضي تماما عن خدمة التموين دي, أنا بستخدمها كل شهر وبجد هي بتوفر لي كتير متاعب ومش هتقدر تاخد مكان منها! شكرا على المجهود اللي بتموه.",الجمعية المصرية للغذاء,الإسكندرية
1,"أنا مش فاهم إيه المشكلة, ليه خدمتي في التموين بقالها واحد من خمس نجوم?! دي حاجة غلط أوي ولازم يتحاسب عليها اللي عمل كده. يعني ممكن أكون قاعد في البيت ومقدرش أوصل عشان أستلم طلبي, وليه كمان الأسعار بتتغير كل يوم وبقت غالية جدا ومش بنفع نشتري منها? ده لو حتى متوفر أصلا! الحكومة لازم تاخد بالها من الحاجات التانية اللي بيحصل للناس الغلابة ومحدودي الدخل بدل ما تقعد تفكر",الجمعية التعاونية للغذاء,بني سويف
2,"أنا مش راضي خالص على خدمات التموين في الدقهليه, ده علشان كل مرة بنروح فيها نلاقى الناس بتستنا كتير ومفيش أماكن كافية. لازم يطوروا النظام ده عشان الناس اللي بتحتاجه بجد تقدر تستنى وتاكل.",مكتب النجاح,الدقهلية
1,"أنا مش راضي خالص عن خدمة التموين دي! احنا بنعاني كتير عشان نحصل على الحاجات الأساسية, واللي هي المفروض بتوفرها لنا الدولة. لكن للأسف, مفيش أي اهتمام حقيقي بنا ولا بظروفنا الصعبة. ده يعني إننا لازم نقاوم ونطالب بحقوقنا ونعمل مظاهرات علشان الناس تفهم أننا محتاجين التغيير. لو الحكومة كانت بتحب شعبها بجد, كانوا عملوا حاجات أفضل مننا. #ثورة_المواطنين_ضد_الحكومة",مكتب الرابطة الغذائية,البحيرة
4,"أنا سعيد جدا لأن خدمة التموين في المحافظة وصلت إلى المستوى المطلوب, ده يعني إننا بنستمتع بالطعام الصحي والمفيد كل يوم وبأسعار مناسبة. ولكن أعتقد أننا بحاجة لتحسين بعض الأشياء زي زيادة عدد السيارات اللي بتوصل للناس في القرى البعيدة, عشان نقدر نستغل الفرصة ونقدر نأكل أكتر ونشبع. شكرا على الاهتمام.",اتحاد التموين البحري في المحافظة,البحيرة
1,"أنا مش راضي خالص على خدمات التموين, هي بتكون سيئة جدا ومش مضمونة. دائما بنشوف مشاكل مع الطعام والنظافة والأكل الفاسد والخدمة السيء. لازم الدولة تعمل حاجة عشان الناس تقدر تستمتع بالطعام اللي بتحصل عليه.",مجلس الأزرقي,بورسعيد
1,"أنا مش عارف أحصل على أي خدمة من التموين هنا في مرسى مطروح, كل اللي بياخدوه الناس أصحاب النفوذ والمعارف! لو كنت رئيس الجمهورية كان هغير نظام التوزيع كله علشان الكل يحصل عليه بالتساوي.",مكتب زهران للضيافة,مطروح
1,"يا جماعة, أنا مش راضي تماما على الخدمة التموينية اللي بنحصل عليها هنا في مصر. بصراحة, دي بتكون أسوأ بكثير من أي وقت مضى! إحنا نشتري حاجات كتير غالية أوي ونحاول نأكل صح, لكن مع الأسعار الغالية كده لازم نكون عارفين أننا ممكن نقضي أيامنا كلها في الطابور عشان نحصل على الحاجات الأساسية. أنا هقول للحكومة حاجة واحدة بس - اعملوا لينا نظام أحسن للأغذية والتموين علشان نقدر نعيش حياة كريمة.",جمعية البيت الحلو,القاهرة
3,"أنا مش راضي تماما على خدمات التموين في السويس, لأنها بتبقى سيئة جدا وبتقعد ساعات طويلة بدون سبب واضح. أتمنى أنهم يحسنوا نفسهم ويعملوا بجد أكتر عشان الناس تقدر تستمتع بالخدمة.",مكتب التغذية المثالية,السويس
1,"أنا مش فاهم كويس جدا على فكرة, بس بصراحة خدمات التموين دي لازم تتحسن بجد! احنا بنشتكي كتير ومش شايفين أي تحسن خالص. لو عايزين نقدر ونعيش حياة كويسة, لازم نحاسب الحكومة على الخدمات اللي بتقدمها لنا.",مكتب الأغذية المتكاملة,الإسماعيلية
1,"أنا مش فاهم إيه المشكلة مع خدمة التموين! كل يوم بنستلم الطعام, لكن إحنا لسه عايزين نعرف السبب اللي بيخليه ضعيف كده! لازم الحكومة تاخد بالها من الموضوع ده وتعالجه بسرعة قبل ما الناس تفقد الثقة فيهم!",مؤسسة طعام البوابة الجديدة,بورسعيد
4,"أنا شايف إن نظام التموين في المحافظة ده ممتاز جدا, ولكن فيه بعض الأخطاء الصغيرة اللي محتاجين يتحلوا منها عشان نقدر نطور النظام ونعمله أفضل. مثلا, في كتير ناس مش لاقية اسمها على الكشوفات ولا بتاخد نصيبها. وده بيأثر بشكل كبير على الناس الغلابة اللي بيتعتمدوا عليه. أتمنى لو الحكومة تقدر تصلح الحاجات دي وتحافظ على حقوق المواطنين.",مكتب التعاون الغذائي,الشرقية
3,أنا سعيد جدا أنني استطعت أساعدك اليوم! أتمنى لك يوما رائعا,جمعية مطبخ الحياة,بورسعيد
3,"بصراحة, أنا مش سعيد بالخدمة دي خالص. كانت ناقصة كتير أوي في الفترة الأخيرة, والأكل اللي بييجي مش زي الأول أبدا.",الجمعية التعاونية للتمور,الجيزة
4,"أنا سعيد جدا بخدمة التموين في القاهرة لأنها بتقدم حاجات الناس بشكل جيد وبسرعة. لكن أعتقد أنه يمكن تحسينها أكثر, لأن بعض الأوقات بيكونوا متأخرين شوية عن الجدول الزمني المحدد لهم. أتمنى أنهم يعملوا على ده عشان يكون كل شيء أفضل. شكرا لكم!",مكتب جمعية نور,القاهرة
1,"أنا مش فاهم ليه الناس بتكره التموين كده! مع إنه ممكن يكون فيه مشاكل, لكن في الآخر ده اللي بيحصل للناس الغلابة ومحدودي الدخل. لو الحكومة كانت بتحاول تحسنه بجد, أكيد هي تقدر ترضي الجميع.",مجلس الأزرقي,بورسعيد
4,"أنا عايز أقول إن خدمات التوزيع دي مش حلوة بس هي أفضل من اللي قبل كده, لكن احنا محتاجين نعمل المزيد عشان نقدر نرضي الناس كلها.",مكتب التعاون الغذائي بالدقهلية,الدقهلية
4,"أنا شايف إن التموين أحسن شوية, بس مش زي الأول خالص. قبل كده كان فيه تنوع أكتر والأكل أفضل quality, لكن دلوقتي الأكل نفسه نفس الجودة القديمة تقريبا.",جمعية الواحة للتغذية,السويس
2,"أنا بجد مش عارف إزاي ممكن يكون تقييمي للخدمة بتاعتي عالبوابة الإلكترونية صفر! أنا دايما كنت بشتري الحاجات اللي محتاجها من التموين, لكن دلوقتى مفيش أي خدمات على الإطلاق. لو كانت الحكومة بتقول إنها بتدعمنا فعايزين نعرف ازاى? احنا بنعاني كتير علشان ناكل ونلبس ونشرب مياه نظيفة.",مكتب الغذاء,الدقهلية
1,"أنا مش عارف أقول إيه على الخدمة دي, هي بتعمل كده ليه?",مكتب الخير للإمداد,الإسكندرية
4,"أنا سعيد جدا بخدمة التموين في الدقهلية, ولكن هناك بعض المشاكل اللي محتاجة تحل. على سبيل المثال, أحيانا بتكون الأسعار غالية شوية بالنسبة للكمية التي بنحصل عليها. وبصراحة, أحتاج كمان أتحسن في الطريقة اللي بقدم بيها الطلبات لأن فيه ناس كتير بيتساءلوا عنها. أتمنى أنهم يحلو المشكلة قريب علشان نقدر نستمتع بالخدمة بشكل أفضل. شكرا!",مكتب السلام للتوريدات الغذائية,الدقهلية
4,"أنا راضية جدّا على خدمة التموين, رغم أنها كانت بطيئة شوية اليومين اللي فاتوا. لكن الحمد لله وصلنا الأكل في النهاية. أتمنى لو تتحسن أكتر لأن إحنا مش عايزين نرجع لربنا تاني ونعيش نفس التجربة الصعبة دي تانى!",مكتب الطعام الصحي,القاهرة
1,"أنا مش راضيين على خدمات التموين في محافظتنا, احنا محتاجين تحسينات حقيقية علشان نقدر نستمتع بحاجاتنا الأساسية. ده رأي الشخصي ومش هرد عليك ولا أسالك أي أسئلة, بس لازم الناس تعرف الحقيقة.",جمعية مركز الخير,قنا
3,"أنا عايز أقول إن خدمة التموين دي مش حلوة أوي زيها, لكن الحمد لله على الأقل بنوصل الطعام لحدنا ولو كان كويس شوية. أتمنى لو يتحسن الوضع وأكون قادر أتناول الأكل اللي يستحقه الناس فعلا.",المكتبة الثقافية,المنوفية
3,"أنا مش فاهم إيه الحكاية, بس لو عايز أقول حاجة, أنا حابب أقوله إن التموين ده بيتعبنا أوي ومش بيفرق معانا خالص! إحنا بنشتغل بجد كل يوم ونخلص شغلنا, وبعدين نروح نشتري الحاجات اللي المفروض الحكومة بتوفرها لنا بالمجان, لكن للأسف هي بتخرب من نفسها وبتخلي الناس تعبت ومبسوطة أصلا! أتمنى أنهم يفهموا أننا مش محتاجين كده ولا عاوزينه, وأنهم يقدرونا على الأقل بشوية احترام وكرامة",مركز طهطا للتغذية,سوهاج
1,"يا جماعة, أنا عاوز أقول لكم حاجة بخصوص خدمة التموين في القاهرة. بصراحة, مش عاجباني خالص! هي بتكون بطيئة جدا وبتعمل مشاكل كتير مع الناس. كمان الأسعار دي كلها غالية أوي على حسابنا. احنا بنعانى عشان نأكل ونجيب حاجاتلنا, وأنا شايف إنه لازم يتغير شيء قبل ما نضطر ندفع أكتر من كده. ربنا يوفقكم, وشكرا.",جمعية الأعمال الغذائية,القاهرة
4,"أنا مستنى من زمان, لكن للأسف مفيش تطور ملحوظ فى خدمات التموين بالدقهلية. أنا بشوف الناس بتتضايق جدا بسبب التأخير والتقصير فى الجودة. أتمنى لو الدولة تهتم أكثر بالخدمة دى علشان المواطنين اللي بيحتاجوها.",مكتب الأغذية الصحية,الدقهلية
3,"أنا مش راضي خالص عن خدمات التموين في الأسكندرية, لأن الجودة ضعيفة والخدمة بطيئة جدا. لو كان لي الاختيار, كنت اخترت مكان تاني علشان أحصل على خدمة أفضل.",شركة جيزة للأغذية,الإسكندرية
2,"أنا مش راضيا تماما على خدمات التموين في المحافظة, لأن الحاجات اللي بنحتاجها دايما ناقصة, ومش عارفين نخلص منها! لازم يتحسنوا أوي!",مكتب الأغذية الصحي لمطروح,مطروح
4,"أنا سعيد جدا بخدمة التموين, لكن أعتقد أنه يمكن تحسينها أكثر. أتمنى لو كان بإمكاننا الحصول على المزيد من الخيارات الصحية والأطعمة الطازجة. وبصراحة, نقدر كل الدعم اللي بنخوضه عشان نستمر ونقدم أفضل خدمة ممكنة للمواطنين. شكرا لك!",مكتب سندس للتغذية,الدقهلية
3,"أنا عايز أقول إنك بتعمل كويس أوي, بس للأسف لازم تروح أبعد من كده عشان الناس تقدر تستفيد أكتر من خدمات التموين. ربنا يوفقك!",جمعية مركز الخير,قنا
4,"أنا سعيد جدا بخدمة التموين دي, بس فعلا محتاجين نطورها أكتر ونعمل عليها علشان نقدر نحسن جودة الطعام اللي بيقدموه للناس. أتمنى أنهم يعملوا على كده قريب. شكرا.",مكتب التغذية الصحية,الدقهلية
4,"أنا سعيد جدا بخدمة التموين في بورسعيد, لأن الحاجات اللي بنحتاجها دايما متوفرة وبأسعار مناسبة. أنا أحب فكرة إنها تساعد الناس على توفير الوقت والجهد عشان توصلهم لطعام صحي ولذيذ.",مكتب التموين,بورسعيد
5,"أنا سعيد جدا بتلقي تعليقاتكم حول خدمات التموين! نحن نقدر حقا ملاحظتكم ونعمل بجد لتحسين خدماتنا. شكرا لكم على دعمكم المستمر, وأتمنى أن يكون لدينا المزيد لتقديمه قريبا. تحياتي الحارة للجميع.",شركة طه للتنمية المستدامة,سوهاج
4,أنا سعيد جدا بالتغذية الراجعة الإيجابية حول خدمتنا للتوصيل في محافظة مطروح! نحن نقدر حقا جهودكم لتقديم تعليقات بناءة تساعدنا على تحسين خدماتنا بشكل أكبر. شكرا لك يا عزيزي!,شركة مروة للطعام,مطروح
5,"أنا سعيد جدا بالخدمات اللي بنحصل عليها من وزارة التضامن الاجتماعي, خاصة برنامج الدعم النقدي المشروط تكافل وكرامة. ده بيوفر لنا حياة كريمة وبنعيشها بكرامة واحترام. شكرا للحكومة على الجهود المبذولة لتحسين مستوى المعيشة للناس الغلابة.",مكتب زهراء,الجيزة
1,"يا جماعة, أنا عايز أقول لكم إن خدمة التموين دي بتكون سيئة جدا. مش عارفين ليه بنعمل كده! احنا محتاجين نتناقش ونحاول نحل المشكلة مع بعض, ده لو إحنا فعلا بنحب بلدنا وبنريدها تتحسن. بالتوفيق للجميع!",مكتب نور الخير,كفر الشيخ
4,"أنا سعيد جدا بخدمة التموين في الجيزة, بس للأسف مش كل مرة بتكون جيدة. بعض المرات بيكونوا بيستعملوا مواد غذائية قديمة وبيبقى طعمها وحش أوي! أتمنى لو يتحسن الوضع قريب عشان نقدر نستمتع بالوجبة مع أصدقائنا وعيلتنا. #خدمة_التموين_في_الجيزة",جمعية طيبة للضيافة,الجيزة
4,"أنا مش راضي تماما على خدمة التموين في أسيوط, رغم أنها كويسة لكن يمكن تتحسن شوية. أنا بشوف إنه ممكن يكون فيه خيارات أكتر للأكل والمشروبات وبحب أشوف إن الأسعار تبقى ثابتة ومش بتتغير كل يوم.",مكتب أمال,أسيوط
1,"أنا مش فاهم الموضوع كويس, لكن أعتقد أنه بخصوص خدمة التموين في السويس? لو صح كده فأنا هقول خدمة التموين في السويس سيئة جدا ومش بتقدم جودة جيدة للأكل. وده على أساس تجربتي الشخصية مع الخدمة. شكرا لك!",جمعية غذاء الحياة,السويس
1,"أنا مش راضي تمامًا على خدمات التموين في المنصورة, دي حاجة بتتأخر كتير أوي وبتبقى صعبة جدا علينا كأهالي. أنا بشوف ناس بيتعذبوا عشان يوصلولهم الأكل, وهو أمر مش مقبول خالص.",جمعية مطبخ المنصورة,الدقهلية
4,أنا سعيد جدا بتلقي التغذية الراجعة حول خدمتي للتموين! لقد كانت تجربة رائعة بالفعل وأنا ممتن لذلك. أتمنى أن يستمر هذا النوع من الخدمات وأن يكون هناك المزيد من التعاون بيننا جميعا. شكرا جزيلا لك على وقتك واهتمامك.,جمعية طيبة للإطعام,سوهاج
3,"أنا مش عارف أتكلم عنها بصراحة, لكن ممكن أقول لك إنها كانت كويسة شوية بس محتاجة تطوير كبير عشان نقدر نستفيد منها بشكل أفضل.",جمعية طيبة للضيافة,الجيزة
1,"أنا مش راضي تماما على خدمات التموين, فهي ليست كويسة زي زمان! كان ممكن يكونوا أفضل شوية.",مكتب الطعام الصحي,الإسكندرية
1,"أنا مش عارفة أتكلم بجد والله! ده أسوأ خدمه ممكن تحصل عليها في مصر, وأنا متأكد أنها بتتكلف أكتر مما تستحق. احنا بندفع فلوس عشان ناكل ونخلص يومنا بس للأسف مفيش طعم ولا قيمة للأكل هنا خالص. مش عارف أعمل إيه?",مكتب الطعام الصحي,القاهرة
4,"أنا شايف إن خدمة التموين في المحافظة كويسة جدا, بس أنا مش بتعامل معاها كتير لأن عندي شغلانة خاصة بي. لكن اللي أعرفه إنها بتحقق نجاح كبير مع الناس التانية.",جمعية الشروق,السويس
5,"أنا سعيد جدا بخدمة التموين في محافظتنا, لأنها تساعدنا كتير على توفير الوقت والجهد ونقدر نستمتع بوجباتنا بدون أي مشاكل. لكن أعتقد أنه يمكن تحسينها بتوفير المزيد من التنوع والأطباق المختلفة عشان نقدر نختار أكتر ونتطلع للزيارة مرة أخرى. شكرا لكم!",مكتب التعاون الغذائي بالدقهلية,الدقهلية
5,"أنا سعيد جدا بخدمة التموين في المنصورة, فهي توفر لنا كل احتياجاتنا بسهولة ويسر. أنا أحبها أوي وأتمنى أنها تستمر للأبد.",جمعية مطبخ المنصورة,الدقهلية
1,"أنا مش راضي خالص على خدمة التموين دي, لأن الحاجات اللي بتوصللي دايما باظت وبتكون فاسدة, ومش بنقدر نأكل منها ولا حتى نتغدى مع أصحابنا! لو كنت رئيس الجمهورية هغير نظام التوزيع كله, عشان الناس تقدر تستمتع بالطعام كويس ولسه كدة وبكرة. #مش_عايزين_هبل",مكتب سناء للتجارة,الجيزة
1,"أنا مش عارفة أتكلم بجد, لكن بصراحة الخدمة دي بتبقى وحشانة جدا. إحنا بنطلب حاجات بسيطة ونخلصنا بس بقالها ساعة ونص نطلع البقالة بتاعت النهاردة! لو كان عندنا وقت ممكن نستنى شوية أحسن.",مكتب جمعية التغذية الصحية,سوهاج
5,"أنا سعيد جدا بالخدمات اللي بنحصل عليها من الحكومة, خاصة التموين. أنا بشكرهم على كل الدعم والتيسيرات اللي بيقدموها لينا عشان نعيش حياة كريمة.",جمعية حياه طيبة,القاهرة
4,"أنا سعيد جدا بتقديم خدمتي للمواطنين المصريين. لقد كنت أعمل بجد لضمان توصيل الطعام بجودة عالية وفي الوقت المحدد. أقدر كل التعليقات الإيجابية والسلبية التي أتلقاها لأنها تساعدني على تحسين جودة خدمتي. شكرا جزيلا لكم جميعا, وأتمنى أن أستمر في تقديم أفضل الخدمات لديكم دائما! #خدمة_التوصيل #القاهرة",جمعية الأعمال الغذائية,القاهرة
1,"أنا مش عارف أقول إيه عن خدمات التموين دي, بس هي صعبة أوي ومش كويسة خالص. لازم الحكومة تعمل حاجة عشان الناس تقدر تستمتع بالخدمة كويس.",مكتب الغذاء,الدقهلية
3,"أنا مش راضيا على خدمة التوصيل دي, يعني أنا أطلب حاجة مرة ومرتين برة عشان توصللي صح, بس المرة التالتة هيوصلولي بعد ساعة?! ده فيه إيه!",اتحاد الغذاء الصحي,الإسكندرية
3,"أنا مش فاهم ليه الناس بتضايق كتير من موضوع التموين! احنا بنستاهل أحسن مما عندنا دلوقتي, ولو كان فيه أي خطأ ممكن نتواصل مع المسؤولين ونحل المشكلة بدل ما ننتقد كل شوية. وكمان لازم نقدر الجهد اللي بيتموه عشان يبقوا لينا أكل ومش بس كده كمان هيبقي معانا بطاطس وبصل! يعني ده إنجاز كبير جدا ولازم نشكره على كده.",مجلس التعاون الخليجي لخدمات التموين,مطروح
3,"أنا سعيد جدا لأنك طلبت رأيي في هذا الموضوع! أعتقد أنه يستحق خمس نجوم, لأنه يوفر لنا فرصة للتعرف على الثقافات المختلفة والتعرف عليها بشكل أفضل. شكرا جزيلا لك على طرح السؤال! أتمنى لك يوما سعيدا",مكتب نور المتحدة للتموين,الشرقية
1,"أنا مش فاهم الحاجة, هل ممكن تشرحلي?",مكتب نور بنى سويف,بني سويف
4,"أنا سعيد جدا بخدمة التموين, لكن بعض الأحيان بتكون بطيئة شوية. أتمنى لو أنها تتحسن أكثر وأكثر!",مكتب الأغذية المتكاملة,الدقهلية
5,"أنا سعيد جدا بالخدمات التموينية اللي بتقدمها المحافظة, إنها فعلا ممتازة ومريحة بالنسبة لي ومش هتقدر تتصور كيف بيستفيد منها الناس بشكل عام! شكرا جزيلا على المجهود الرائع ده.",مكتب سمير للتموين,الجيزة
5,"أنا سعيد جدا بخدمة التموين دي, لأنها بتوفر لنا حاجات كتير محتاجينها وبنعيش منها يومنا بيوم. أنا بعتبرها حاجة أساسية مش رفاهية, لأن بدونها هنضيع ساعات طويلة في الطوابير ونبقا تحت الشمس طول اليوم.",جمعية السلام للضيافة,أسيوط
3,"أنا مش راضيه على خدمة التوزيع بتاعتنا في الجيزة, لأن ده يعتبر جزء أساسي من حياتنا اليومية ومش سهل نسيبه يتضيع بسبب الأخطاء والتأخرات اللي بنراها كل يوم. أتمنى أنهم يقدروا يقدرون أهمية الموضوع ويصححوا الأمور بأسرع وقت ممكن.",مكتب زهراء,الجيزة
4,"أنا جبت تقييم أربعة على خمس لخدمه التموين فى الشرقيه, لأنها كانت كويسة جدا. لكن مش كلها كويسة, فيه بعض الأماكن بتكون صعبة شوية.",مكتب التغذية الصحية,الشرقية
2,"أنا مش راضيا تماما على خدمات التموين في المنصورة, رغم أنها بتحاول تبقى كويسة لكن دايما بيكون فيها أخطاء وأوقات التأخير, وأنا بشوف أنه لازم يتحسنوا أكتر عشان الناس تقدر تستمتع بالخدمة.",مكتب الأغذية الصحية,الدقهلية
3,"أنا مش راضيا خالص على خدمات التموين دي, لأنها دائما متأخرة وتفتقد للأمان. أنا عايزهم يكونوا أكثر احترافية واتمنى أنهم يتحسنوا بسرعة.",جمعية نوران للتموين,المنيا
3,"أنا مش راضيا خالص على خدمات التموين اللي بنحصل عليها في المنصورة, أنا شايف إن الحاجات دي محتاجة تطوير كبير علشان نقدر نستفيد منها بشكل صحيح.",مكتب الأغذية الصحية,الدقهلية
1,"أنا مش فاهم إيه المشكلة, الناس بتقول إن الأكل بيتعطل كتير وبتقصر الكمية اللي بتيجي للناس, ولو كان فيه مشكلة هنعمل حسابنا ونصلحها!",مؤسسة طيبة للأغذية,القليوبية
4,"أنا سعيد جدا بتلقي خدمات التموين في المحافظة, لكن هناك بعض المشاكل اللي محتاجة تحل بسرعة.",جمعية سندس للمطابخ,البحيرة
