stars,review,district,governorate
4,"أنا معجب بالخدمة اللي قدمتها, لكن ممكن تحسينها شوية علشان نقدر نستفيد منها بشكل أفضل.",مكتب خير زمان,الجيزة
3,"أنا مش سعيد بالمصريين, احنا بنأكل أكلة واحدة كل يوم وبنعيش زي الحيوانات, والخدمة دي بقت أسوأ كمان! لو كنت رئيس مصر كان شلت هذا النظام وحطيت بدل ده نظام جديد يكون فيه عدالة ومساواة للجميع.",مكتب هناء للتغذية,القاهرة
1,"أنا مش راضيين على خدمات التموين في المحافظة دي, كل مرة بنروح نأكل بيحصل مشاكل كتير وبقولوا لنا إن مفيش أكل! لو كان عندكم حل لهذه المشكلة ياريت تقولو لينا.",مكتب نور المتحدة للتموين,الشرقية
4,"أنا سعيد جدا بخدمة التموين في الأسكندرية, هي فعلا بتتحسن بمرور الوقت! لكن لو أقدر أحل مشكلة واحدة معاهم هكون عاوزهم يزيدوا الكمية اللي بيقدموها للناس كل يوم علشان نقدر نستفيد منها بشكل أفضل.",جمعية الغذاء الصحي,الإسكندرية
3,"أنا سعيد حقا بهذه الفرصة لأشارك تجربتي مع خدمات التموين في المحافظة, حيث حصلت على تقييم عالٍ من قبل زملائي المواطنين. لقد كانت تجربة رائعة بالنسبة لي, وأنا متأكد أنها ستكون كذلك بالنسبة لك أيضا! كل ما عليك فعله هو الاتصال بنا وسوف نرسل فريقنا إلى منزلك لتقديم الطعام الطازج والمريح الذي تحتاجه بشدة بعد يوم طويل ومرهق. نحن نقدم مجموعة متنوعة من الأطباق الشهية التي تناسب جميع الأذواق والتفضيلات, بالإضافة إلى تقديم وجبات كاملة للعائلات الكبيرة. لا تتردد في التواصل",مركز طهطا للتغذية,سوهاج
1,"أنا مش راضيه على الخدمه دي خالص, أنا شايفها سيئة جدا ومفيش أي تقدم فيها! لو عايزين نطور بلدنا لازم نعمل حاجه كويسه زي التموين ده, مش كده وبس?!",مكتب التموين,بورسعيد
4,"أنا سعيد جدا بخدمة التموين في محافظتنا, لأنها بتقدم لنا كل اللي نحتاجه ونقدر نستعملها بكل سهولة ويسر. لكن لو كانت أحسن شوية, كان أفضل بالتأكيد! شكرا على المجهود الرائع.",مكتب المدينة للغذاء,القاهرة
2,"أنا عايز أقول إن خدمات التوزيع دي مش كويسة خالص, أنا حاولت كتير أحصل على الحاجات اللي محتاجها بس للأسف مفيش فايدة, كل مرة أروح فيها مكان توزيع مختلف, نفس المشكلة! لا يوجد مخزون كافي ولا حتى الناس بترتاح مع بعض.",مؤسسة طيبة للأغذية,القليوبية
3,"أنا مش راضي تماما عن خدمات التموين في القليوبية, رغم أنها بتحسن شوية السنة دي. لكن لازم يبقى أفضل بكثير عشان نقدر نقول إنها ممتازة!",شركة التوفيق للتوريدات الغذائية,القليوبية
4,"أنا بعتقد إن نظام التموين في السويس مش كويس, ده لأنه كل مرة بنطلب فيه الطعام بيصل متأخر جدا وبالكثير بيكون فاسد! أنا بحاول أعمل اللي عليا وأبقى مبسوطة, بس الحقيقة هي إحنا لازم نتغير.",الجمعية التعاونية لإنتاج الأغذية,السويس
4,"أنا عايز أقول لحضرتك إن برنامج التوزيع في الاسماعيلية كويس جدا, بس فيه حاجة مش مظبوحة تماما وهي إنهم بيجوا متأخرين كتير أوي! يعني مرة واحدة وصللي الساعة 7 بالليل وبكره جالي الساعة 10 الصبح, ده غير أنهم أحيانا بيبقوا فاقدين بعض الأصناف اللي المفروض يكونوا موجودين في الكارتة, ودي مشكلة حقيقية لأن دي الحاجات الأساسية لي إحنا بنحتاجها كل يوم!",مكتب النهضة,الإسماعيلية
4,"أنا عايز أقول إنكوا يا شباب, أنا مش راضي على خدمات التموين اللي بنشوفها في محافظتنا. بتعملوها بطريقة سيئة جدا وبتاخد وقت طويل جدا علشان نأكل! أنا عايز أحسن منها أوي عشان نقدر نستمتع بالطعام ده مع بعض. شكرا لك.",اتحاد التموين البحري في المحافظة,البحيرة
2,"أنا مش راضيا على خدمات التموين دي, حتى لو كانت متاحة في القاهرة, لأنها مش بتقدم جودة جيدة ولا تستحق خمس نجوم! الناس دايما بيطلبوا تحسينها وتحسين الطريقة اللي بيتناول بيها الطعام علشان نقدر نأكل بأمان وصحة وأمان.",جمعية الشروق للتموين,القاهرة
3,"أنا سعيد لأنك سألت! إليك نص التعليق الذي طلبته باللهجة العامية المصرية: أنا مش راضيا على الخدمة دي خالص, المفروض أنها أحسن من كده بكثير. إحنا ندفع فلوس علشان نأكل صح, لكن ده كله بيحصل وسط القمامة والقمامة اللي عندنا هنا.",مكتب الطعام الصحي,قنا
5,"أنا سعيد جدا بالمنظومة الجديدة للتغذية في الأسكندرية, إنها فعلا ممتازة. لقد ساعدتني كثير في توفير الوقت والجهد في الذهاب إلى السوق وشراء كل حاجة البيت. شكرا للحكومة على تقديم هذا المشروع الرائع للمواطنين.",اتحاد الغذاء الصحي الإسكندرية,الإسكندرية
3,"عايزة أقول لكم إن خدمة التوزيع بتاعة الجيزة مش حلوة خالص, أنا بحاول أقدرها بس للأسف دايما بنقصنا الحاجات الأساسية اللي لازم ناكل بيها, يعني إحنا محتاجين نشوف توزيع أحسن وأسرع.",مكتب سناء للتجارة,الجيزة
1,"أنا مش فاهم إيه المشكلة مع خدمة التموين هنا في الاسماعيلية! بصراحة, كل اللي عاوزينه إننا نحصل على وجباتنا بتاعة التموين بشكل منتظم وموثوق فيه! احنا مش عايزين أي مشاكل تانية خالص.",مكتب الأغذية المتكاملة,الإسماعيلية
1,"أنا مش راضيه على الخدمات التموينية اللي بتقدمها المحافظة, دايما بنلاقي نقص في المواد الأساسية وبنعاني عشان ناكل كويس! المفروض الحكومة تعمل حاجه علشان الناس تقدر تعيش براحتها.",مكتب التموين,دمياط
4,"أنا سعيد جدا بخدمة التموين في محافظتنا, ولكن بصراحة هي ليست بالمستوى المطلوب. لو كانت أحسن شوية كنت ممكن أختار منها أكتر. أنا مش ضد أي تحسينات بس لازم يكونوا كويس أوي علشان نقدر نحسن حياتنا.",المكتبة الثقافية,المنوفية
3,"أنا مش راضيا تماما على خدمة التموين في القليوبية, لأنها دايما متأخرة وبتحصل مشاكل كتير أوي! أنا عايزهم يتحسنوا فعلا عشان الناس اللي بيستعملوها كل يوم تقدر تعيش حياة أسهل.",شركة التوفيق للتوريدات الغذائية,القليوبية
2,"أنا مش عارف أحكي حاجة إيجابية على الموضوع ده, لكن لو عايز أقول الحقيقة فممكن أقوله إن التناول بتاعنا هنا في المحافظة وحش جدا. نحن بنأكل أكلة واحدة كل يوم لمدة شهر كامل! وده بيخلي الناس مجوعين ومش عارفين يأكلوا كويس. كمان الأسعار مرتفعة أوي علينا ولازم نروح ندفع فلوس كتير عشان نحصل على الأكل اللي احنا محتاجينه. أتمنى إنه يتغير للأحسن قريب علشان حياتنا تتحسن شوية.",مكتب الطيبات,دمياط
4,"أنا بحبك جدا يا مصر, لكن للأسف أنا مش راضيا عن خدمة التموين دي. أعتقد أنها يمكن تحسينها شوية عشان الناس تقدر تستمتع بالطعام اللي بيقدمولها بشكل أفضل.",مكتب التموين,دمياط
1,"أنا مش راضيا على الخدمة دي, هي بتيجي مرة واحدة كل شهر وفي بعض الأحيان بتكون ناقصة الحاجات الأساسية اللي بنحتاجها. أنا عايز خدمات أفضل وأسرع وبتناسب احتياجاتنا اليومية.",شركة التوفيق للتوريدات الغذائية,القليوبية
5,"بصراحة, أنا مش عارف أقول إيه على خدمة التوزيع دي! هي فعلا ممتازة جدا وحلو أوي أننا بنحصل على كل اللي نحتاجه من الطعام والبقالة بشكل منتظم وبسرعة. شكرا جزيلا!",مكتب التموين,الجيزة
4,"أنا راعيت الأكلة النهاردة, بس للأسف كانت ناقصة كتير, مش عارف هما فين الحاجات دي! أنا عايز أأكل كويس وبصراحة, ده لازم عشان إحنا بشر.",جمعية مطبخ البركة,البحيرة
1,"أنا مش فاهم حاجه! احنا بنعاني من سوء الخدمات والتقصير اللي بيحصل كل يوم, وبصراحة أنا مش عارف ليه محدش بيسألنا ولا بسمع صوتنا. نحن المواطنين العاديين اللي بنعيش هنا ونحاول نعيش حياتنا بشكل طبيعي, لكن للأسف الشديد ده مستحيل مع الوضع الحالي. أتمنى لو يكون هناك شخص يفهم مشاكلنا ويحلها بدلا مننا.",مكتب سند التموين,الجيزة
4,"أنا شايف إن خدمات التموين في بورسعيد كويسة جدا, بس فيه بعض الأوقات بتكون بطيئة شوية ومش متوافرة دايما.",مكتب زهراء التموين,بورسعيد
4,"أنا مش راضيا تماما على خدمات التموين في القاهرة, رغم أنها بتحسن شوية لكن لازم يتحسن أكتر. لو عايزين بلدنا تبقى أفضل, احنا محتاجين نركز أكثر على ده الموضوع ونعمل حاجات حقيقية للتغيير.",جمعية الأعمال الغذائية,القاهرة
1,"أنا مش راضي تماما على خدمات التموين في القاهرة, أنا شايف إن الحاجات دي محتاجة تطوير كبير عشان نقدر نستفيد منها بشكل صحيح. لو كان فيه اهتمام أكبر بيها, ممكن الناس تقدر تستمتع بالطعام اللي بيقدموها بدل ما يكون مجرد حاجة لازمه.",مكتب الطعام الصحي,القاهرة
4,"أنا سعيد جدا بالخدمات اللي بتقدمها الحكومة, خاصة خدمة التموين في محافظتنا, لأنها فعلا بتحسن حياتنا اليومية وتوفر لنا كل احتياجاتنا الأساسية بسعر مناسب.",مكتب الأعمال الغذائية,أسيوط
4,"عايزة أقول لك إن خدمة التموين دي بتتحسن, لكن لسه مش تمام. أنا كنت بشتري حاجات كتير جدا قبل كده وبستعملها كلها, بس دلوقتي بدأت أشوف إنه فيه تحسينات بسيطة.",شركة مكتبة,الإسكندرية
3,"أنا مش راضيا تماما على خدمات التموين في المحافظة, أنا اعتقد إن إحنا محتاجين نغير طريقة التوزيع ونبسط الأمور للناس اللي بتطلب الحاجات الأساسية.",مكتب بلسم البركة,كفر الشيخ
2,"أنا مش عارف ليه الناس بتكره نظام التموين ده! فيه ناس بتحب تقول إنه مش عاجبها بس لازم نحترم رأي الآخرين. لكن بصراحة, النظام ده بيقدم حاجات مهمة للناس اللي محتاجينها بجد. يعني مثلا, لو كنت عايش في مدينة صغيرة زي كفر الشيخ, ممكن أكون بحاجة لأشياء معينة مش متوفرة بسهولة هنا. بالتالي, بيكون من الجيد إني أحصل على دعم حكومي يساعدني على تلبية احتياجاتي الأساسية. وكمان, إحنا بنتكلم عن حياة ملايين المصريين هنا. حتى ولو",مكتب نور الخير,كفر الشيخ
1,"أنا مش راضي خالص على خدمات التموين في محافظتنا, ده كله كلام كبير وبالطبع مفيش أي جودة ولا احترام للمواطن اللي بيأكلوا منه!",جمعية الواحة,السويس
3,"أنا مش راضية على خدمات التموين هنا في السويس, بنقص الحاجات الأساسية اللي لازم نعيش بيها حياة كريمة. بتعملوا إيه لتحسين الوضع ده?!",جمعية الحياة,السويس
4,"أنا سعيد جدا بتلقي الخدمات التموينية في محافظتي الأسكندرية, ولكن هناك بعض المشاكل التي تواجهنا مثل التأخير والتوصيل الغير منتظم للطعام والمنتجات الأخرى. أتمنى أن يتم حل تلك المشكلات قريبا لأن هذا الأمر يسبب لنا الكثير من الضيق والتوتر.",جمعية إطعام الأسكندرية,الإسكندرية
4,"أنا سعيد جدا بتلقي الخدمات التموينية الخاصة بي في المحافظة, لكن بعض الأوقات بيكون فيها التأخير في التوصيل ومش عارفين السبب! أتمنى لو كان الأمر يتحسن قريب علشان نقدر نأكل كويس ونعيش حياة كريمة.",مجلس التعاون الخليجي للوجبات السريعة,القاهرة
5,"أنا سعيد جدا بالخدمات اللي تقدمها الحكومة للمواطنين, خاصة خدمات التموين في محافظتي أسيوط. الخدمات بتكون ممتازة وبتناسب احتياجاتنا اليومية. شكرا جزيلا على كل الجهود المبذولة لتحسين حياة الناس.",مكتب أمال,أسيوط
5,"أنا سعيد جدا بالتغذية المدرسية الجديدة لأنها بتدي الأطفال فرصة أكبر للتعلم والتزود بالمعرفة, أنا بشكر الحكومة على اهتمامهم بالأطفال.",جمعية الشروق للتموين,القاهرة
2,"أنا مش راضي تماما على خدمات التموين هنا, لأن الحاجات بتوصل متأخرة كتير وبتتأخر مرة واحدة. لو كان ممكن يتحسن الوضع ده هكون سعيد جدا!",مكتب الأمل للمغاربة,أسيوط
4,"أنا سعيد جدا بالخدمات اللي بتقدمها الحكومة. بالرغم من بعض المشاكل الصغيرة, لكن بشكل عام خدمات ممتازة وبأسعار معقولة. أتمنى أنها تستمر على هذا النحو وتحسن أكثر فأكثر. شكرا جزيلا!",مكتب السواني,مطروح
4,"بصراحة, أنا كنت محتاجة لخدمه التوصيل دي كتير أوي. كانت بتوصللي الحاجات اللي أحتاجها وبسرعة, ولسه أقدر أتواصل معاهم لو احتجت حاجة تانية. بس للأسف, مؤخرا بدأت المشكلة تظهر ومش عارفة إيه السبب.",مكتب الطعام الصحي,الإسكندرية
2,"أنا مش راضيا على خدمات التموين في محافظتنا, لأن اللي بيحصل ده كله غلط! الناس بتاكل أكلة باظت وعمالها تعبانة ومش لائقة للأكل. لو كنت وزير التموين كان عملت حاجة مختلفة خالص علشان نقدر نأكل كويس ونشعر بالسعادة.",المكتبة الثقافية,المنوفية
2,"أنا مش راضي تماما على الخدمة دي, رغم أنها كانت كويسة شوية في بعض الأوقات, لكن أحيانا كتير بتكون متأخرة أوي وبتدفعلي ضغوط كبيرة! أنا عايزهم يعملوا اللي عليهم بشكل أفضل عشان نقدر نستفيد منهم.",جمعية طيبة للإطعام,سوهاج
4,"أنا سعيد بتقديم خدمات التموين في المحافظة, ولكن بصراحة, يمكن تحسينها بشكل كبير. الطعام ليس دائما طازجا والتوصيل أحيانا متأخر جدا. أتمنى لو يتم التعامل مع هذا الأمر بسرعة لأن الناس محتاجة الأكل الصحي والمريح على طول اليوم. شكرا لكم.",شركة مروة للطعام,مطروح
1,"أنا مش فاضي أقول حاجة سلبية على الخدمه دي, كل اللي عايز اقولوا إنها كانت بتستحق واحد ونص بس لو كانوا عاملينها صح! احنا بنعمل كده عشان ناخد نصيبنا ونبقا قادرين نطلع من تحت خط الفقر ده!",مكتب هناء للتغذية,القاهرة
4,"أنا سعيد جدا بتقديم خدمات التوصيل إلى المنزل. ولكن, أحيانا يكون الطلب متأخر قليلا عن الوقت المحدد. أتمنى لو يتم تحسينه عشان نقدر نستمتع بالخدمة بشكل أفضل. شكرا لك!",مكتب الأغذية الصحي لمطروح,مطروح
3,"أنا مش راضيه عن خدمه التموين فى محافظه مرسى مطروح, هى على قد الحال دلوقتى بس للأسف محدش يعرف يقدم حاجه أفضل منها. أتمنى لو نقدر نغير الوضع ونوصلها لمستوى أعلى من الجودة والتوصيل الأسرع.",مجلس التعاون الخليجي لخدمات التموين,مطروح
5,"أنا معجب جدا بخدمة التوصيل في المنوفية, فهي توفر لنا الراحة والخدمة السريعة. أنا سعيد جدًا لأنها تساعدنا على توفير الوقت والجهد.",مكتب الرابطة التعاونية لتنمية الريف,المنوفية
2,"أنا مش عارف أقول على الخدمة دي, هي بتحب تضحك عليا! كل مرة بأروح فيها أخد رز وقطعة خبز, بيقولي إن عندي طلبات قديمة! أنا مش عايز حاجة زي كده تاني, لو كان فيه أي تحسينات هعملها بنفسي ومش ححتاج لخدمة مثل دي.",مؤسسة الغذاء الصحي,بورسعيد
5,"أنا سعيد جدا بالخدمة اللي قدمتها, فعلا ممتازة وممتازة! بفضلها هقدر أتجوز وأعمل حاجات كتير حلوة لنفسي ولعائلتي. شكرا جزيلا على كل حاجة عملتها.",جمعية خيركم للغذاء,السويس
4,"أنا سعيد جدا بتلقي تعليقاتكم على خدمات التموين في المحافظة, وأنا أقدر كل الملاحظات التي تساعدنا على تحسين خدماتنا وتقديم أفضل تجربة ممكنة لكم جميعا. شكرا جزيلا لتفهمكم ودعمكم المستمر. تحياتي الحارة للجميع!",مكتب التعاون الغذائي,الشرقية
3,"أنا مش راضي تماما على خدمات التموين في الدقهليه, لأن في بعض الأحيان يكون التوصيل متأخر أوي وبيخللي الناس زعلانين جدا. أتمنى لو يتحسن الوضع ده قريب.",جمعية مطبخ المنصورة,الدقهلية
2,"أنا مش راضيا على خدمة التموين هنا, لأن كل مرة بنروح للبقالة بنواجه مشاكل كتير مع الأسعار والتوصيل البطيء. أتمنى لو يكونوا أحسن من كده ويوفروا لنا خدمات أفضل.",مكتب التغذية الصحية,الشرقية
1,"أنا مش راضي على خدمة التموين في الجيزة, أنا أحصل عليها مرة واحدة كل شهر وأجدها سيئة جدا. الأسعار غالية والطعام متواضع جدا.",جمعية التموين السعيد بالجيزة,الجيزة
2,"أنا مش راضي خالص عن خدمة التموين في بني سويف, هي بتحصل مرة واحدة في الشهر بس ومش بتوصل لكل الناس. أنا شايف إنه لازم يتحسنوا علشان نقدر نستفيد منهم بشكل صحيح.",مكتب الرابطة,بني سويف
1,"أنا مش عارف أقول ايه, لكن أعتقد إن خدمة التموين دي بتبقى أسوأ كل يوم! مفيش جودة ولا أمان في الأكل بتاعهم, وكل مرة بنروح للبقالة بيكون فيه حاجة جديدة غلط. لازم يتحاسبوا على كده!",مكتب الطعام الخيري,الإسكندرية
1,"أنا مش راضيا على خدمات التموين دي, أنا شايف أنها سيئة جدا ومش بتقدم الجودة المطلوبة. هي كده زي الحلاوة اللي بنعملها في البيت, بس هشة وناعمة.",مكتب النجاح,الدقهلية
1,"أنا مش عارف أعمل إيه, ده التموين بتاعنا وحش جدا!",مجلس التعاون الخليجي للتغذية,الإسكندرية
3,"أنا معجب جدا بالتغذية المدرسية الجديدة فى محافظه القاهره, لأنها توفر لنا وجبات صحيه وغنيه بالعناصر الغذائيه التى نحتاجها يوميا. ولكن هناك بعض المشاكل مثل التأخير والإسراف فى استخدام الطعام وعدم توفير كل العناصر الغذائية الضرورية. أتمنى حل تلك المشكلات لتحسين جودة التغذية المدرسية بشكل أكبر. #التغذيه_المدرسيه #مصر",مؤسسة الطعام الصحي,القاهرة
3,"أنا مش سعيد جدا بالخدمات دي, لأنها بجد ضعيفة أوي. يعني مثلا لما بتوصل لي الطعام بيتقطع منه كل حاجة تقريبا, ومش عارف ليه?! ده غير إن الأسعار بقت مرتفعة جدا على الرغم من أنها خدمات مجانية. أتمنى لو يكون هناك تحسينات حقيقية في الجودة والأسعار قبل أي شيء تاني.",مكتب النجاح,الدقهلية
1,"أنا مش راضيا على الخدمة دي خالص! كل مرة بتيجي بنشوف مشاكل كتير, من الأكل الفاسد لحد الدليفري اللي بيأخرنا. لو كان ممكن نقدر نغيرها أحسن نكون أفضل حالا!",مكتب السعادة,بورسعيد
1,"أنا مش راضيين على خدمات التموين في المحافظة, ده حتى لو كان واحد نجمة! الناس بتطلب حاجات أساسية ومش بتعرف توصلها. بنحاول نعمل اللي علينا بس لازم يتحسن الوضع أكتر من كده.",الجمعية المصرية للغذاء,القاهرة
5,"خدمة التموين ممتازة جدا في محافظتنا, بجد هي دي حاجة حلوة أوي.. شكرا ليكم.",مجلس التعاون الخليجي لخدمات التموين,مطروح
1,"أنا مش عارف أتكلم على خدمات التموين, لأن كل مرة بيجي فيها مندوب التوصيل بيبصلي زي الحيوان الأليف وبيقولي أنا بساعدك وأنا أقول له لا يا فندم. دي طريقة تعاملهم مع الناس! لو كانوا عايزين يساعدونا فعلا كان لازم يتفهموا ظروفنا ويتعاملوا باحترام أكثر شوية. والله أعلم بياخدوني أمبارح ولا لأ!",جمعية البيت السعيد,الجيزة
4,"أنا سعيد جدا بتلقي تعليقاتكم حول خدماتنا, وأقدر وقتكم الذي قضيتموه في كتابة هذا التعليق. نقدر كثيرا رأيكم البناء ونعمل دائما على تحسين جودة الخدمات التي نقدمها للمواطنين. شكرا لكم على دعمكم المستمر وتعاونكم معنا. نحن ملتزمون بتقديم خدمات ذات مستوى عال تلبي احتياجاتكم وتوقعاتكم. أتطلع إلى تلقي المزيد من التعليقات منكم قريبا. مع أطيب التحيات.",مكتب الرابطة,بني سويف
1,"أنا مش عارف أتكلم بصراحة, لكن أعتقد إن خدمة التموين في محافظة مطاي ديما بتبقى صعبة جدا. الأسعار بتزيد كل يوم والناس بيحاولوا يتكيفوا مع الوضع الجديد. أتمنى لو الحكومة تقدر تساعد الناس على العيش بكرامة.",مكتب الطيبات,دمياط
3,"أنا مش عارفة أعمل إيه, بس اللي أعرفه إني بستخدم خدمة التموين في إسكندرية وبتحصل لي مشاكل كتير. الأكل بتاعهم مرة واحدة ومش متنسق كويس, ولو كان فيه مشكلة بنقول لهم ونحاول نعمل معالجات. أتمنى أنهم يعملوا على تحسين الخدمات لأن إحنا محتاجين كده بجد.",مكتب الخير,الإسكندرية
4,"أنا سعيد بتقديم خدمات التموين الممتازة التي تقدمها الحكومة في مدينة نصر بالقاهرة. أقدر حقا كل الجهود المبذولة لتحسين جودة الطعام والتوصيل إلى المنازل. ومع ذلك, هناك دائما مجال للتحسين, مثل تقليل أوقات الانتظار وزيادة عدد السيارات المتاحة للتوصيل. شكرا لكم على خدمتكم الرائعة! #مدينة_نصر #القاهرة",مؤسسة هناء للضيافة,القاهرة
4,"أنا عايز أقول حاجة واحدة بس, أنا مستاء جدا من مستوى الخدمة اللي بتقدمها الحكومة للتضامن الاجتماعي. مش عارف ليه دايما بنشوف مشاكل ومش عارفين نحصل على الدعم الكافي عشان نقدر نعيش حياة كريمة. أتمنى لو يتغير الوضع قريب, لأننا شعب محتاج وناس كتير محتاجة الدعم.",مكتب السعادة للتوريد,الشرقية
4,"أنا سعيد جدا لخدمة التموين في المحافظة, بس للأسف مش دايما بتكون على نفس المستوى. مرة واحدة وصلتلي الأكل كان مجمد خالص ومش طعمه زي الأول! لكن برضوا بنقدر نقول إن الحكومة حاولت تساعدنا بأشياء بسيطة كدة. أتمنى يكونوا أفضل المرة الجاية. #البحيرة_في_المقدمة",اتحاد التموين البحري في المحافظة,البحيرة
5,"أنا سعيد جدا بالخدمات الممتازة التي تقدمها الحكومة المصرية, خاصة التموين الذي أعتبره أفضل شيء حدث لي بعد الثورة. إنه يوفر لنا كل احتياجاتنا الأساسية بأسعار مناسبة وبدون أي مشاكل. شكرا لكم على الجهود الكبيرة التي تبذلونها لتوفير حياة كريمة للمواطنين. #التموين_المصري",مكتب إمداد الغربية,الغربية
4,"أنا مش راضي خالص على خدمات التموين فى محافظتنا, حتى لو كان تقييمى لها أربعة من خمس نجوم. لازم يتحسنوا أكتر عشان نقدر نحافظ على صحتنا ونعيش حياة كريمة.",مكتب نور المتحدة للتموين,الشرقية
2,"أنا مش راضي على الخدمات التموينية اللي بنحصل عليها في محافظتنا, احنا لازم نتغير ونخلص من كل المشاكل دي.",المكتب المصري لتوريد الأغذية,الغربية
3,"أنا مش فاهم إيه المشكلة مع التموين! أعتقد أنه لو كان أحسن, الناس كانت هتشتري أكتر وتغني عنه! لكن للأسف, مفيش تغيير ملحوظ.",مجلس التعاون الخليجي لخدمات التموين,مطروح
4,"أنا مش عارف أتكلم عنها كويس, لكن الحمد لله إنها بتحسن شوية مقارنة بالماضي. لو أحسنوا أكثر, ممكن نقدر نقول أنها كويسة جدا!",جمعية إطعام الأسكندرية,الإسكندرية
1,"أنا مش عايز أكل منه, ده كله بقا فيه حشرات وبقايا طعام قديم! دا لو كان أحسن حاجه ممكن يحصل لي هقولوا الحمد لله على كل حال.",مكتب غذاء,القاهرة
1,"أنا مش بحب الخدمات دي خالص, هي بتعمل مشاكل كتير وبتحصل ناس زايغة! لو سمحتوا تحلوها عشان الناس اللي بتحب تستمتع بياخدها منها بدل ما تاخد بالظبط!",الجمعية التعاونية للتمور,الجيزة
2,"أنا مش فاهم حاجه خالص! احنا عندنا مشكلة أكبر من كده, هي خدمة التموين بتاعتنا. مفيش حساء ولا مكرونة ولا حتى عيش بلدى! لازم نغير النظام ده ونحصل على حقوقنا. #المصري_يريد_حياة_كرامة",مكتب زهران للضيافة,مطروح
4,"أنا بشكر وزارة الداخلية على المجهود اللي بذلوه لتحسين خدمات التموين, ولكن بصراحة هي مش كويسة بالشكل الكافي بعد. أنا بحاول أكون متفائل لكن الواقع يقول إن الأمور لسه محتاجة شوية تطوير.",الجمعية المصرية للغذاء,القاهرة
4,"أنا سعيد جدا بأن خدمتكم كانت مرضية بالنسبة لك. نحن نقدر ملاحظتك ونعمل بجد لتقديم أفضل الخدمات لكم. شكرا لاختياركنا كواحدة من الشركات الرائدة في مجال التوصيل المنزلي بالقاهرة الكبرى. نتطلع إلى خدمتكم مرة أخرى قريبا. مع أطيب التحيات, فريق العمل الخاص بك.",مكتب التموين,القاهرة
3,"أنا مش فاهم إيه المشكلة, لو عاوزة أتناول وجبة خفيفة على الإفطار هروح لأقرب مطعم وأطلب منهم ساندوتش.",جمعية أوركيد للتنمية,الإسكندرية
