stars,review,district,governorate,clean_review,predicted_sentiment
4,"أهلا يا فندم, أنا سعيد جدا أنك استمتعت بالخدمة التي قدمتها وزارة التضامن الاجتماعي لمحافظة الجيزة. نقدر تقييمك الراقي ونحاول دائما تحسين الخدمات المقدمة للمواطنين الكرام. شكرا لك على وقتك واهتمامك.",مكتب زهراء,الجيزة,أهلا يا فندم أنا سعيد جدا أنك استمتعت بالخدمة التي قدمتها وزارة التضامن الاجتماعي لمحافظة الجيزة نقدر تقييمك الراقي ونحاول دائما تحسين الخدمات المقدمة للمواطنين الكرام شكرا لك على وقتك واهتمامك,Positive
5,"أنا سعيد جدا بالخدمة الممتازة التي تلقيتها اليوم من وزارة التضامن الاجتماعي, فهي تستحق أعلى تقييم ممكن! كانت الوجبة لذيذة ومغذية للغاية, وأتطلع إلى المزيد من الوجبات الرائعة في المستقبل القريب. شكرا لكم على تقديم مثل هذا المستوى العالي من الخدمة!",مكتب نور الخير,كفر الشيخ,أنا سعيد جدا بالخدمة الممتازة التي تلقيتها اليوم من وزارة التضامن الاجتماعي فهي تستحق أعلى تقييم ممكن كانت الوجبة لذيذة ومغذية للغاية وأتطلع إلى المزيد من الوجبات الرائعة في المستقبل القريب شكرا لكم على تقديم مثل هذا المستوى العالي من الخدمة,Positive
4,"أهلا يا شباب, أنا جايبةلكم خبر إنه بالنسبة لي خدمة التموين في القاهرة مش حلوة خالص. كل مرة بتروح فيها للبقالة بتتعطل وبتجيبلي مشاكل كتير جدا. ده حتى لو كنت بدفع فلوسها مقدما! أتمنى أنهم يعملوا حاجة عشان الناس اللي مستانسة فيهم ومش بتحب تضايقهم دايما. ربنا يوفقهم ويصلح الحال. سلام.",جمعية البيت الحلو,القاهرة,أهلا يا شباب أنا جايبةلكم خبر إنه بالنسبة لي خدمة التموين في القاهرة مش حلوة خالص كل مرة بتروح فيها للبقالة بتتعطل وبتجيبلي مشاكل كتير جدا ده حتى لو كنت بدفع فلوسها مقدما أتمنى أنهم يعملوا حاجة عشان الناس اللي مستانسة فيهم ومش بتحب تضايقهم دايما ربنا يوفقهم ويصلح الحال سلام,Positive
4,"أنا سعيد بتقديم تعليقي على خدمة التموين في محافظتنا, والتي أعتقد أنها تستحق تقييم أربعة من أصل خمسة نجوم. لقد كانت ممتازة حتى الآن, ولكن هناك بعض المشاكل التي تحتاج إلى حل مثل التأخير في توصيل الطعام وسوء جودة المواد الغذائية المقدمة أحيانا. آمل أن يتم التعامل مع هذا الأمر بسرعة لتحسين تجربة العملاء بشكل عام. شكرا لك!",مكتب السعادة,الدقهلية,أنا سعيد بتقديم تعليقي على خدمة التموين في محافظتنا والتي أعتقد أنها تستحق تقييم أربعة من أصل خمسة نجوم لقد كانت ممتازة حتى الآن ولكن هناك بعض المشاكل التي تحتاج إلى حل مثل التأخير في توصيل الطعام وسوء جودة المواد الغذائية المقدمة أحيانا آمل أن يتم التعامل مع هذا الأمر بسرعة لتحسين تجربة العملاء بشكل عام شكرا لك,Positive
4,"أنا سعيد جدا بخدمة التموين, لكن أعتقد أنها يمكن تحسينها شوية علشان نقدر نستمتع بيها بشكل أفضل.",مكتب الرابطة التعاونية لتنمية الريف,المنوفية,أنا سعيد جدا بخدمة التموين لكن أعتقد أنها يمكن تحسينها شوية علشان نقدر نستمتع بيها بشكل أفضل,Positive
2,"أنا عايز أقول لك إن خدمة التموين اللي بنستمتع بيها في محافظتنا ده مش كويس أوي! احنا نأكل نفس الحاجات كل يوم, ومش فيه تنوع زي ما إحنا نتوقع. أتمنى لو تتغير الأمور ونحصل على أكلة أحلى وأطيب.",شركة طه للتنمية المستدامة,سوهاج,أنا عايز أقول لك إن خدمة التموين اللي بنستمتع بيها في محافظتنا ده مش كويس أوي احنا نأكل نفس الحاجات كل يوم ومش فيه تنوع زي ما إحنا نتوقع أتمنى لو تتغير الأمور ونحصل على أكلة أحلى وأطيب,Negative
4,"أنا سعيد جدا بهذه الخدمة لأنها فعلا بتقدم خدمات جيدة للمواطنين اللي محتاجين الدعم, بس للأسف بعض الأوقات بيكونوا متأخرين شوية في التوصيل وبيسببوا مشاكل للناس, لكن على العموم هي تستحق تقييم جيد.",جمعية مطبخ إسكندرية,الإسكندرية,أنا سعيد جدا بهذه الخدمة لأنها فعلا بتقدم خدمات جيدة للمواطنين اللي محتاجين الدعم بس للأسف بعض الأوقات بيكونوا متأخرين شوية في التوصيل وبيسببوا مشاكل للناس لكن على العموم هي تستحق تقييم جيد,Positive
4,"أنا سعيد جدا بالموقف الحالي للتغذية المدرسية, ولكن أعتقد أنه يمكن تحسينه بشكل أكبر. الطعام الذي يتم تقديمه ليس جيد مثل الماضي, لكنه أفضل بكثير مما كان عليه قبل عامين عندما كانت هناك مشكلة حقيقية مع جودة الغذاء المقدمة للطلاب. أتمنى لو يمكننا العودة إلى الأيام الجيدة القديمة حيث كان الطعام لذيذ وممتع لتناول الطعام كل يوم! شكرا لكم جميعا على العمل الجاد لجعل هذا ممكنا مرة أخرى.",مركز طهطا للتغذية,سوهاج,أنا سعيد جدا بالموقف الحالي للتغذية المدرسية ولكن أعتقد أنه يمكن تحسينه بشكل أكبر الطعام الذي يتم تقديمه ليس جيد مثل الماضي لكنه أفضل بكثير مما كان عليه قبل عامين عندما كانت هناك مشكلة حقيقية مع جودة الغذاء المقدمة للطلاب أتمنى لو يمكننا العودة إلى الأيام الجيدة القديمة حيث كان الطعام لذيذ وممتع لتناول الطعام كل يوم شكرا لكم جميعا على العمل الجاد لجعل هذا ممكنا مرة أخرى,Positive
4,"أنا سعيد جدا بخدمة التموين في محافظتنا بالدقهلية. بالرغم من بعض المشاكل الصغيرة, إلا أنها تحسن بشكل ملحوظ منذ السنة الماضية. أتمنى أنهم يستمرون على هذا الطريق ويحسنوا أكثر من ذلك.",مكتب الأغذية المتكاملة,الدقهلية,أنا سعيد جدا بخدمة التموين في محافظتنا بالدقهلية بالرغم من بعض المشاكل الصغيرة إلا أنها تحسن بشكل ملحوظ منذ السنة الماضية أتمنى أنهم يستمرون على هذا الطريق ويحسنوا أكثر من ذلك,Positive
5,"أنا سعيد جدا بالتغذية الراجعة الإيجابية حول خدمات التموين! أعتقد أنها تستحق كل نقطة مني, فهي حقا ممتازة. شكرا جزيلا على تقييمكم, وأعدكم بأن نستمر في تقديم أفضل الخدمات لكم جميعا. تحياتي الحارة للجميع.",مكتب الطعام الصحي,القاهرة,أنا سعيد جدا بالتغذية الراجعة الإيجابية حول خدمات التموين أعتقد أنها تستحق كل نقطة مني فهي حقا ممتازة شكرا جزيلا على تقييمكم وأعدكم بأن نستمر في تقديم أفضل الخدمات لكم جميعا تحياتي الحارة للجميع,Positive
3,"بصراحة, خدمة التموين مش كويسة جدا. أنا بستخدمها منذ فترة طويلة ومش راضي عنها خالص. الأسعار غالية والتوصيل دايما متأخر والناس اللي بتقدم الطلبات دي متوترة أوي وبتبكي على طول.",جمعية غذاء البركة,البحيرة,بصراحة خدمة التموين مش كويسة جدا أنا بستخدمها منذ فترة طويلة ومش راضي عنها خالص الأسعار غالية والتوصيل دايما متأخر والناس اللي بتقدم الطلبات دي متوترة أوي وبتبكي على طول,Negative
4,"أنا سعيد جدا بخدمة التموين في بني سويف, لأنها فعلا بتقدم خدمات رائعة وبتعمل على تحسين الحياة اليومية للناس هنا.",مكتب نور بنى سويف,بني سويف,أنا سعيد جدا بخدمة التموين في بني سويف لأنها فعلا بتقدم خدمات رائعة وبتعمل على تحسين الحياة اليومية للناس هنا,Positive
1,"أنا مش راضيا خالص على خدمات التموين في المحافظة ده, لأن الأكل اللي بنلقيه دايما مبلول والمكرونة بتتلف قبل ما نحصل عليها, وكمان الأسعار غالية جدا مقارنة بجودة الطعام. هنعمل إيه?!",مكتب الطعام الخير,البحيرة,أنا مش راضيا خالص على خدمات التموين في المحافظة ده لأن الأكل اللي بنلقيه دايما مبلول والمكرونة بتتلف قبل ما نحصل عليها وكمان الأسعار غالية جدا مقارنة بجودة الطعام هنعمل إيه,Negative
3,"أنا مش راضي على خدمات التوزيع دي, أنا بقا عايز أتأكد إن اللي بيوصلوا الحاجات ليهم بيجيبوها صح وبكرا أحسن.",مجلس التموين الاجتماعي في البداري,أسيوط,أنا مش راضي على خدمات التوزيع دي أنا بقا عايز أتأكد إن اللي بيوصلوا الحاجات ليهم بيجيبوها صح وبكرا أحسن,Negative
4,"أنا بحب أشيد بخدمة التموين دي, فعلا بتحقق لي الراحة والأمان. كل اللي عايزاه أنه يبقى أحسن وأفضل.",جمعية مركز الخير,قنا,أنا بحب أشيد بخدمة التموين دي فعلا بتحقق لي الراحة والأمان كل اللي عايزاه أنه يبقى أحسن وأفضل,Positive
4,"أنا سعيد جدا بأن خدمتي التموين في الاسماعيلية كانت جيدة بالنسبة لي. كان الطعام لذيذ وكان الموظفون متعاونين للغاية. أتمنى لو أنهم كانوا يقدمون المزيد من الخيارات الصحية لكن بشكل عام, تجربة رائعة! #إسماعيلية_التضامن_العاملي",مكتب التموين الخير,الإسماعيلية,أنا سعيد جدا بأن خدمتي التموين في الاسماعيلية كانت جيدة بالنسبة لي كان الطعام لذيذ وكان الموظفون متعاونين للغاية أتمنى لو أنهم كانوا يقدمون المزيد من الخيارات الصحية لكن بشكل عام تجربة رائعة إسماعيليةالتضامنالعاملي,Positive
5,"أهلا وسهلا يا جماعة, أنا عايز أقولكم على تجربة رائعة حصلت معايا مع برنامج التموين في المحافظة دي. بفضل الله, حصلنا على كل اللي محتاجينه وبأسعار معقولة جدا. شكرا لكم جميعا, وعلى الأمل إن ربنا يبارك فيكم وتبقوا دايما جنبي. تحياتي للجميع.",مكتب الأعمال الغذائية,أسيوط,أهلا وسهلا يا جماعة أنا عايز أقولكم على تجربة رائعة حصلت معايا مع برنامج التموين في المحافظة دي بفضل الله حصلنا على كل اللي محتاجينه وبأسعار معقولة جدا شكرا لكم جميعا وعلى الأمل إن ربنا يبارك فيكم وتبقوا دايما جنبي تحياتي للجميع,Positive
1,"أنا مش عارفة أحكي حاجة إيجابية عن التموين! كل مرة بيجيلي فيه, أطلع أكل أكتر من اللازم وبكره هبقى عندي كرشه. ولازم أبقى واقف في الطابور ساعات عشان أتناول الأكل! ده لو مكنتش مضطر أعمل زياده علشان أجيب لبن وأغذية لطفلي الصغير!",جمعية سند الخير,بني سويف,أنا مش عارفة أحكي حاجة إيجابية عن التموين كل مرة بيجيلي فيه أطلع أكل أكتر من اللازم وبكره هبقى عندي كرشه ولازم أبقى واقف في الطابور ساعات عشان أتناول الأكل ده لو مكنتش مضطر أعمل زياده علشان أجيب لبن وأغذية لطفلي الصغير,Negative
3,"أنا مش عارف أعمل حاجة, الخدمات دي بتتأخر كتير أوي وبتحصل متأخر جدا! لازم يتحسن الوضع ده عشان الناس تقدر تستمتع بالحياة.",مكتب النجاح,الدقهلية,أنا مش عارف أعمل حاجة الخدمات دي بتتأخر كتير أوي وبتحصل متأخر جدا لازم يتحسن الوضع ده عشان الناس تقدر تستمتع بالحياة,Negative
3,"أهلا يا فندم, أنا جيت أدعم النهاردة على صفحة التواصل الاجتماعي بتاعتي عشان أتكلم عن خدمة التموين اللي بتقدمها المحافظة دي. بصراحة, مش راضي عنها خالص! كل شهر بنروح ونجيب الحاجات المطلوبة بس برضه بنواجه مشاكل كتير. الأسعار بتبقى غالية جدا والمواعيد بتكون متأخرة دايما. أتمنى أنهم يقدروا يحلوا المشكلة ويغيروها للأحسن. شكرا لك.",مكتب الخير,الدقهلية,أهلا يا فندم أنا جيت أدعم النهاردة على صفحة التواصل الاجتماعي بتاعتي عشان أتكلم عن خدمة التموين اللي بتقدمها المحافظة دي بصراحة مش راضي عنها خالص كل شهر بنروح ونجيب الحاجات المطلوبة بس برضه بنواجه مشاكل كتير الأسعار بتبقى غالية جدا والمواعيد بتكون متأخرة دايما أتمنى أنهم يقدروا يحلوا المشكلة ويغيروها للأحسن شكرا لك,Positive
5,"أنا سعيد جدا بخدمة التموين في محافظتنا. هي ممتازة فعلا وممتازة! شكرا جزيلا على كل شيء, يا رب نستمر كده طول الوقت. تحياتي للجميع.",الجمعية المصرية لتغليف الطعام,القاهرة,أنا سعيد جدا بخدمة التموين في محافظتنا هي ممتازة فعلا وممتازة شكرا جزيلا على كل شيء يا رب نستمر كده طول الوقت تحياتي للجميع,Positive
4,"أنا سعيد جدا بتلقي التغذية المدرسية كل يوم لأنها تساعدنا على النمو بشكل صحيح وبصحة جيدة. ولكن, أحيانيا بنتنا مش بتيجي كلها كاملة ولا بيحصل مشاكل كتير أوي فيها.",شركة مكتبة,الإسكندرية,أنا سعيد جدا بتلقي التغذية المدرسية كل يوم لأنها تساعدنا على النمو بشكل صحيح وبصحة جيدة ولكن أحيانيا بنتنا مش بتيجي كلها كاملة ولا بيحصل مشاكل كتير أوي فيها,Negative
2,"أنا مش راضي تماما على خدمات التموين دي, لأن دايما بيكونوا متأخرين عن المواعيد وبالكاد يوصلوا الطعام اللي المفروض يوصلكم. هما لازم يعملوا تحسينات علشان الناس تقدر تثق فيهم وتثق في الخدمات اللي بيقدموها.",جمعية دقهليه لتغليف الطعام,الدقهلية,أنا مش راضي تماما على خدمات التموين دي لأن دايما بيكونوا متأخرين عن المواعيد وبالكاد يوصلوا الطعام اللي المفروض يوصلكم هما لازم يعملوا تحسينات علشان الناس تقدر تثق فيهم وتثق في الخدمات اللي بيقدموها,Negative
2,"أنا مش راضي على خدمة التوصيل دي, بجد هي مفيهاش أي احترام للمواطن, أنا طلبت أكل وأكله وصللي بعد ساعة ومش عارف أقول إيه, ده لو وصلت أصلا.",مكتب الأغذية المتكاملة,الإسكندرية,أنا مش راضي على خدمة التوصيل دي بجد هي مفيهاش أي احترام للمواطن أنا طلبت أكل وأكله وصللي بعد ساعة ومش عارف أقول إيه ده لو وصلت أصلا,Negative
4,"أنا سعيد جدا بالخدمة النهاردة! كانت سريعة وسهلة ولذيذة أوي! أتمنى أنهم يحافظوا على الجودة دي طول الوقت. شكرا يا بني آدم, ربنا يبارك فيك. #البحيرة_في_الكرامة",مكتب الطعام الخير,البحيرة,أنا سعيد جدا بالخدمة النهاردة كانت سريعة وسهلة ولذيذة أوي أتمنى أنهم يحافظوا على الجودة دي طول الوقت شكرا يا بني آدم ربنا يبارك فيك البحيرةفيالكرامة,Positive
2,"أنا مش سعيد أوي بالخدمة دي, لأن الواحد بيستنى كتير عشان يحصل على الطعام وبالكاد بيوصل قبل فوات الأوان! لو كان فيه تحسين للأول, كانوا حطوا نظام توصيل أسرع وكمان حاطين قائمة متنوعة ترضي جميع الأذواق.",مكتب الطيبات,دمياط,أنا مش سعيد أوي بالخدمة دي لأن الواحد بيستنى كتير عشان يحصل على الطعام وبالكاد بيوصل قبل فوات الأوان لو كان فيه تحسين للأول كانوا حطوا نظام توصيل أسرع وكمان حاطين قائمة متنوعة ترضي جميع الأذواق,Positive
2,"يا جماعة, أنا كاتب هذا التعليق على خدمة التموين في الإسكندرية, وعلى الرغم من أنني كنت متوقع أحسن مما حصلنا عليه فعلا, لكن مش زعلان جدا. أنا أعطيهم اثنين من خمسة لأنهم حاولوا بجد وجربوا كل الطرق علشان ينجحوا, ولكن بصراحة, الحاجة كانت أكبر منهم شوية. أتمنى لو كانوا نجحوا أكتر وأقدر أنهم حاولوا بكل جهدهم.",شركة بيست فودز,الإسكندرية,يا جماعة أنا كاتب هذا التعليق على خدمة التموين في الإسكندرية وعلى الرغم من أنني كنت متوقع أحسن مما حصلنا عليه فعلا لكن مش زعلان جدا أنا أعطيهم اثنين من خمسة لأنهم حاولوا بجد وجربوا كل الطرق علشان ينجحوا ولكن بصراحة الحاجة كانت أكبر منهم شوية أتمنى لو كانوا نجحوا أكتر وأقدر أنهم حاولوا بكل جهدهم,Positive
1,"أنا مش عارف أعمل حاجة مع التموين! كل مرة ألاقي صعوبة في اختيار الأطعمة الصحية, وأنا متأكد إني مش الوحيد اللي بواجه مشاكل في الاختيار ده. أتصور لو كان هناك نظام أفضل للتوزيع أو حتى تطبيق سهل الاستخدام على الموبايل عشان نساعد نفسنا ونريح الناس اللي زيي.",مكتب التموين,الجيزة,أنا مش عارف أعمل حاجة مع التموين كل مرة ألاقي صعوبة في اختيار الأطعمة الصحية وأنا متأكد إني مش الوحيد اللي بواجه مشاكل في الاختيار ده أتصور لو كان هناك نظام أفضل للتوزيع أو حتى تطبيق سهل الاستخدام على الموبايل عشان نساعد نفسنا ونريح الناس اللي زيي,Negative
5,أنا سعيد جدا بخدمة التوصيل في محافظتنا لأنها سريعة وسهلة الاستخدام. أقدر الجهد المبذول لتوفير الراحة لنا كمواطنين. شكرا جزيلا!,جمعية غذاء الحياة,المنوفية,أنا سعيد جدا بخدمة التوصيل في محافظتنا لأنها سريعة وسهلة الاستخدام أقدر الجهد المبذول لتوفير الراحة لنا كمواطنين شكرا جزيلا,Positive
1,"أنا مش عارفة أتكلم بصراحة عن الموضوع ده, لكن لو عايزين نتطور ونوصل لأحسن حاجة لازم نبدأ بنقد ذاتي وبجد نغير للأفضل.",مكتب التموين,الشرقية,أنا مش عارفة أتكلم بصراحة عن الموضوع ده لكن لو عايزين نتطور ونوصل لأحسن حاجة لازم نبدأ بنقد ذاتي وبجد نغير للأفضل,Negative
5,"والله العظيم, أنا مش عارف أقول إيه! خدمات التموين دي رائعة جدا. كل الحاجات بتوصللي على الوقت وفي حالة جيدة. شكرا جزيلا.",مكتب التموين الدائم,دمياط,والله العظيم أنا مش عارف أقول إيه خدمات التموين دي رائعة جدا كل الحاجات بتوصللي على الوقت وفي حالة جيدة شكرا جزيلا,Positive
4,"أنا سعيد بتقديم ملاحظاتي حول خدمة التموين في الأسكندرية! لقد كانت تجربة جيدة بالنسبة لي حتى الآن, حيث حصلت على الطعام اللذيذ كل أسبوع بدون أي مشاكل. ولكن هناك بعض الأشياء التي تحتاج إلى تحسين مثل توصيل الطلبات بشكل أسرع وأوقات الانتظار الأقل في المطعم. شكرا لكم!",مكتب الخير للإمداد,الإسكندرية,أنا سعيد بتقديم ملاحظاتي حول خدمة التموين في الأسكندرية لقد كانت تجربة جيدة بالنسبة لي حتى الآن حيث حصلت على الطعام اللذيذ كل أسبوع بدون أي مشاكل ولكن هناك بعض الأشياء التي تحتاج إلى تحسين مثل توصيل الطلبات بشكل أسرع وأوقات الانتظار الأقل في المطعم شكرا لكم,Positive
1,"أنا مش راضيه على خدمه التونه دي, بجد هي بقه وحشاني أوي! الناس بتطلب حاجات كتير جدا وبتعمل مشاكل كتير جدا, وكمان الأسعار بتاعتها بقه مبالغ فيها أوي. لازم يتحسنوا أكتر عشان نقدر نستمتع بالخدمه كويس.",مكتب التموين,كفر الشيخ,أنا مش راضيه على خدمه التونه دي بجد هي بقه وحشاني أوي الناس بتطلب حاجات كتير جدا وبتعمل مشاكل كتير جدا وكمان الأسعار بتاعتها بقه مبالغ فيها أوي لازم يتحسنوا أكتر عشان نقدر نستمتع بالخدمه كويس,Positive
3,"أنا مش راضي تماما على خدمات التموين, حتى لو كانت جيدة نسبيا مقارنة بالأيام الأولى بعد الثورة. أنا بحاول أحسن استغلال كل فرصة أتوفر عليها علشان أحصل على الأكل الكافي لي ولاسرتي.",مكتب التموين,دمياط,أنا مش راضي تماما على خدمات التموين حتى لو كانت جيدة نسبيا مقارنة بالأيام الأولى بعد الثورة أنا بحاول أحسن استغلال كل فرصة أتوفر عليها علشان أحصل على الأكل الكافي لي ولاسرتي,Negative
4,"بتقدر أقول إنك بتعمل شغل كويس جدا, بس للأسف مفيش أي تقدم حقيقي مع الوقت. كان ممكن أحسن بكتير لو كانت الحاجات المتوفرة متوفرة بشكل أفضل.",مكتب نور بنى سويف,بني سويف,بتقدر أقول إنك بتعمل شغل كويس جدا بس للأسف مفيش أي تقدم حقيقي مع الوقت كان ممكن أحسن بكتير لو كانت الحاجات المتوفرة متوفرة بشكل أفضل,Neutral
4,"أنا سعيد جدا بتلقي تعليقاتكم حول خدمات التوصيل التي تقدمها الحكومة المصرية للمواطنين, خاصة في مدينة القاهرة. لقد تلقيت العديد من التعليقات الإيجابية على هذا الموضوع, وأشكركم جميعا على مشاركتكم الصادقة والبناءة. ومع ذلك, لاحظت أيضا بعض الشكاوى المتعلقة بجودة الخدمات المقدمة وعدم كفاءة توصيل الطلبات إلى المنازل في الوقت المحدد. أود أن أؤكد لكم أننا نعمل بجد لتحسين خدماتنا وتقديم أفضل تجربة ممكنة لجميع عملائنا الكرام. نحن نقدر ملاحظتكم ونقدر صبركم وتفهمكم أثناءنا نقوم بتحسين العمليات والأنظمة لضمان تقديم",جمعية الأعمال الغذائية,القاهرة,أنا سعيد جدا بتلقي تعليقاتكم حول خدمات التوصيل التي تقدمها الحكومة المصرية للمواطنين خاصة في مدينة القاهرة لقد تلقيت العديد من التعليقات الإيجابية على هذا الموضوع وأشكركم جميعا على مشاركتكم الصادقة والبناءة ومع ذلك لاحظت أيضا بعض الشكاوى المتعلقة بجودة الخدمات المقدمة وعدم كفاءة توصيل الطلبات إلى المنازل في الوقت المحدد أود أن أؤكد لكم أننا نعمل بجد لتحسين خدماتنا وتقديم أفضل تجربة ممكنة لجميع عملائنا الكرام نحن نقدر ملاحظتكم ونقدر صبركم وتفهمكم أثناءنا نقوم بتحسين العمليات والأنظمة لضمان تقديم,Positive
1,"أنا مش عارف أعمل حاجة عشان أحصل على تقييم أفضل من كده, كل اللي بيحصل معانا هو نقص مستمر وعدم انتظام في توصيل الطعام والبقالة بتاعتنا! ده غير أنهم بيشحنوا علينا كتير أوي وبيبقوا بيتأخرونا دايما. والله لو كنت رئيس الجمهورية كنت عملت حاجات كتيرة علشان نحل المشكلة دي, لكن الوضع الحالي مفيهوش أي أمل!",مكتب نور المتحدة للتموين,الشرقية,أنا مش عارف أعمل حاجة عشان أحصل على تقييم أفضل من كده كل اللي بيحصل معانا هو نقص مستمر وعدم انتظام في توصيل الطعام والبقالة بتاعتنا ده غير أنهم بيشحنوا علينا كتير أوي وبيبقوا بيتأخرونا دايما والله لو كنت رئيس الجمهورية كنت عملت حاجات كتيرة علشان نحل المشكلة دي لكن الوضع الحالي مفيهوش أي أمل,Negative
2,"أنا سعيد جدا بتلقي هذا النوع من التعليقات! إنه يساعدنا على فهم كيف يمكننا تحسين خدماتنا أكثر وأكثر. شكرا لك مرة أخرى, وأنا أتطلع إلى سماع المزيد منك قريبا! :)",مكتب الرابطة,بني سويف,أنا سعيد جدا بتلقي هذا النوع من التعليقات إنه يساعدنا على فهم كيف يمكننا تحسين خدماتنا أكثر وأكثر شكرا لك مرة أخرى وأنا أتطلع إلى سماع المزيد منك قريبا,Positive
4,"أنا سعيد جدا بتلقي خدمات التموين في الأسكندرية! كانت تجربة رائعة بالنسبة لي, وكنت راضيا تماما عنها. أتمنى لو كان هناك المزيد منها في المحافظة حتى يتمكن الجميع من الاستفادة منها.",جمعية أوركيد للتنمية,الإسكندرية,أنا سعيد جدا بتلقي خدمات التموين في الأسكندرية كانت تجربة رائعة بالنسبة لي وكنت راضيا تماما عنها أتمنى لو كان هناك المزيد منها في المحافظة حتى يتمكن الجميع من الاستفادة منها,Positive
