stars,review,district,governorate,clean_review,predicted_sentiment
4,"أنا مش راضي تمام عن خدمات التموين في القاهرة, أنا شايف إنه ممكن يكون أفضل شوية, لكن الحمد لله على الأقل بنلاقي حاجة نشربها ونأكلها كل يوم.",مكتب هناء للتغذية,القاهرة,أنا مش راضي تمام عن خدمات التموين في القاهرة أنا شايف إنه ممكن يكون أفضل شوية لكن الحمد لله على الأقل بنلاقي حاجة نشربها ونأكلها كل يوم,Positive
1,"أنا مش راضي تماما عن خدمات التموين في بورسعيد, لأن الجودة بتقل كتير والخدمة بطيئة أوي. المفروض يكونوا أكثر فاعلية وسرعة عشان نقدر نستفيد منهم حقنا.",جمعية مطبخ الحياة,بورسعيد,أنا مش راضي تماما عن خدمات التموين في بورسعيد لأن الجودة بتقل كتير والخدمة بطيئة أوي المفروض يكونوا أكثر فاعلية وسرعة عشان نقدر نستفيد منهم حقنا,Negative
1,"أنا مش راضيا على خدمات التموين دي خالص, هما بيخبطوا علينا كل شوية وبيصرفونا من البلد! لو كنت رئيس مصر هغير النظام كله وأرجع الناس لحياتهم الطبيعية تاني.",شركة جيزة للأغذية,الإسكندرية,أنا مش راضيا على خدمات التموين دي خالص هما بيخبطوا علينا كل شوية وبيصرفونا من البلد لو كنت رئيس مصر هغير النظام كله وأرجع الناس لحياتهم الطبيعية تاني,Negative
4,"أنا سعيد جدا بالخدمة اللي بتقدمها الحكومة للتضامن, لكن للأسف مش دايما بنقدر نستفيد منها بشكل كامل بسبب بعض المشاكل الصغيرة زي التأخير والتأجيل المستمر. أتمنى أنهم يطوروا النظام علشان نقدر نرتاح ونستخدمه كويس.",مكتب الطعام الخيري,أسيوط,أنا سعيد جدا بالخدمة اللي بتقدمها الحكومة للتضامن لكن للأسف مش دايما بنقدر نستفيد منها بشكل كامل بسبب بعض المشاكل الصغيرة زي التأخير والتأجيل المستمر أتمنى أنهم يطوروا النظام علشان نقدر نرتاح ونستخدمه كويس,Positive
3,"أنا سعيد جدا بتقديم هذا الرد على طلبكم. لقد قمت بإنشاء نص يعبر عن رأي شخص مهتم بخدمة التموين في مدينة بور سعيد, مصر. ها هي عينة من النص الذي كتبته: أنا مش عارف ليه الناس بتحب تشكو في كل حاجة؟! التموين كويس بالنسبة لي ومش عاوزة أحكي عليه أكتر من كده. آمل أن يكون ذلك مفيدا لك!",مؤسسة الغذاء الصحي,بورسعيد,أنا سعيد جدا بتقديم هذا الرد على طلبكم لقد قمت بإنشاء نص يعبر عن رأي شخص مهتم بخدمة التموين في مدينة بور سعيد مصر ها هي عينة من النص الذي كتبته أنا مش عارف ليه الناس بتحب تشكو في كل حاجة التموين كويس بالنسبة لي ومش عاوزة أحكي عليه أكتر من كده آمل أن يكون ذلك مفيدا لك,Positive
5,"أنا سعيد جدا بخدمة التموين في المحافظة, لأنها بتقدم لي كل اللي أحتاجه من الطعام والأغراض المنزلية بشكل يومي. أقدر حق قدره المجهود الكبير اللى بيتموه علشان نرتاح ونعيش حياتنا بالشكل الطبيعي. شكرا لكم على تقديم خدمات ممتازة للناس الغلابة زى احنا.",مكتب نور الحياة,المنيا,أنا سعيد جدا بخدمة التموين في المحافظة لأنها بتقدم لي كل اللي أحتاجه من الطعام والأغراض المنزلية بشكل يومي أقدر حق قدره المجهود الكبير اللى بيتموه علشان نرتاح ونعيش حياتنا بالشكل الطبيعي شكرا لكم على تقديم خدمات ممتازة للناس الغلابة زى احنا,Positive
1,"أنا مش راضي على خدمات التموين هنا في القاهرة, أنا عايزهم يتحسنوا عشان الناس اللي عايشين بيا يروحوا أحسن من كده.",جمعية الغذاء الصحي,القاهرة,أنا مش راضي على خدمات التموين هنا في القاهرة أنا عايزهم يتحسنوا عشان الناس اللي عايشين بيا يروحوا أحسن من كده,Negative
1,"أنا مش راضي خالص على خدمة التوصيل دي, دايما بيوصلوا الأكل بعد ميعاد العشاء بساعة! ده لو وصل أصلا!",مكتب الطعام الصحي,الإسكندرية,أنا مش راضي خالص على خدمة التوصيل دي دايما بيوصلوا الأكل بعد ميعاد العشاء بساعة ده لو وصل أصلا,Negative
3,"أنا عايز أقول إنك بتعمل مجهود كبير علشان توصلنا إلى الحياة الكريمة دي, لكن الخدمات زي التموين مش كويسة خالص. بنحتاج للمزيد من الاهتمام والاهتمام الحقيقي للمشاكل اللي احنا فيها. شكرا لك على وقتك واهتمامك.",مكتب التغذية المستدامة,بني سويف,أنا عايز أقول إنك بتعمل مجهود كبير علشان توصلنا إلى الحياة الكريمة دي لكن الخدمات زي التموين مش كويسة خالص بنحتاج للمزيد من الاهتمام والاهتمام الحقيقي للمشاكل اللي احنا فيها شكرا لك على وقتك واهتمامك,Positive
5,"أنا سعيد جدا بخدمة التموين في البحيرة, لأنها فعلا تستحق خمس نجوم. كل مرة بنروح فيها هناك بنلاقي الطعام طازج وبكميات كافية علشان نأكل ونشرب طول اليوم. ربنا يكرمهم على المجهود اللي بيقدموه لينا دايما.",مكتب الرابطة الغذائية,البحيرة,أنا سعيد جدا بخدمة التموين في البحيرة لأنها فعلا تستحق خمس نجوم كل مرة بنروح فيها هناك بنلاقي الطعام طازج وبكميات كافية علشان نأكل ونشرب طول اليوم ربنا يكرمهم على المجهود اللي بيقدموه لينا دايما,Positive
4,"أنا سعيد جدا بأن خدمتي للتموين حصلت على تقييم جيد, ولكن هناك بعض الأشياء التي يمكن تحسينها. أولا, أعتقد أننا بحاجة لتوفير المزيد من الخيارات الصحية والأطعمة الطازجة. ثانيا, نحن بحاجة لتحسين جودة الخدمات المقدمة للموظفين والزبائن أيضا. وأخيرا, أود أن أقترح زيادة عدد العاملين للتعامل مع الطلب المتزايد خلال الأوقات الذروة. شكرا جزيلا!",مكتب التغذية الصحية,الشرقية,أنا سعيد جدا بأن خدمتي للتموين حصلت على تقييم جيد ولكن هناك بعض الأشياء التي يمكن تحسينها أولا أعتقد أننا بحاجة لتوفير المزيد من الخيارات الصحية والأطعمة الطازجة ثانيا نحن بحاجة لتحسين جودة الخدمات المقدمة للموظفين والزبائن أيضا وأخيرا أود أن أقترح زيادة عدد العاملين للتعامل مع الطلب المتزايد خلال الأوقات الذروة شكرا جزيلا,Positive
2,"أنا مش راضي على الخدمات اللي بتقدمها وزارة التموين, هي بتبسط جدا وبتكسر قلب الناس! احنا محتاجين تحسين ونضفاء لأن كل واحد فينا يستحق أفضل مما بيحصل دلوقتي.",مكتب الطيبات,دمياط,أنا مش راضي على الخدمات اللي بتقدمها وزارة التموين هي بتبسط جدا وبتكسر قلب الناس احنا محتاجين تحسين ونضفاء لأن كل واحد فينا يستحق أفضل مما بيحصل دلوقتي,Negative
3,أنا سعيد جدا بتقديم تعليقات إيجابية حول خدمة التوصيل في المحافظة! لقد كنت أستخدمها منذ فترة طويلة وجدتها رائعة بالفعل. أتمنى لو كانت متوفرة على نطاق أوسع لأنها حقا توفر الكثير من الوقت والجهد للناس. شكرا لك يا حكومة مصر العظيمة!,مجلس التنمية المستدامة للجمعية,كفر الشيخ,أنا سعيد جدا بتقديم تعليقات إيجابية حول خدمة التوصيل في المحافظة لقد كنت أستخدمها منذ فترة طويلة وجدتها رائعة بالفعل أتمنى لو كانت متوفرة على نطاق أوسع لأنها حقا توفر الكثير من الوقت والجهد للناس شكرا لك يا حكومة مصر العظيمة,Positive
3,"أنا مش سعيد بالخدمة دي, أنا بعتقد أنها بتكون أحسن بكتير من كده. المشكلة الوحيدة اللي عندي هي الأسعار المبالغ فيها, لأن ده بيخلي الناس ترفضها وتفضل تشتري الحاجات من بره.",الجمعية التعاونية للغذاء,بني سويف,أنا مش سعيد بالخدمة دي أنا بعتقد أنها بتكون أحسن بكتير من كده المشكلة الوحيدة اللي عندي هي الأسعار المبالغ فيها لأن ده بيخلي الناس ترفضها وتفضل تشتري الحاجات من بره,Negative
4,"أنا سعيد جدا بخدمة التموين, ولكن يمكن تحسينها شوية علشان نقدر نستفيد منها بشكل أفضل. شكرا على الاهتمام.",مكتب الشروق للطعام,الشرقية,أنا سعيد جدا بخدمة التموين ولكن يمكن تحسينها شوية علشان نقدر نستفيد منها بشكل أفضل شكرا على الاهتمام,Positive
3,"أنا سعيد لتقديم تعليقات حول خدمات التموين المختلفة. ولكن, هل يمكنك تقديم المزيد من التفاصيل بشأن الموقع الاجتماعي الذي تريد مني استخدامه? أي واحد تفضل؟ شكرا لك على اهتمامك!",مكتب الأعمال الغذائية,أسيوط,أنا سعيد لتقديم تعليقات حول خدمات التموين المختلفة ولكن هل يمكنك تقديم المزيد من التفاصيل بشأن الموقع الاجتماعي الذي تريد مني استخدامه أي واحد تفضل شكرا لك على اهتمامك,Positive
3,"أنا مش عارف أقول رأيك يا سيدي, لكن على الأقل إحنا بنحاول ونبذل جهدنا علشان نحسن الوضع ولو قليل. شكرا لك!",مكتب الشروق للغذاء,القاهرة,أنا مش عارف أقول رأيك يا سيدي لكن على الأقل إحنا بنحاول ونبذل جهدنا علشان نحسن الوضع ولو قليل شكرا لك,Negative
5,"أنا سعيد جدا بخدمة التموين دي, لأنها بتوفر لنا كل احتياجاتنا بدون تعب ولا مجهود. أنا أقدروا كثير على المجهود اللي بيتموه علشان نرتاح ونعيش حياتنا بشكل طبيعي.",جمعية خيركم للغذاء,السويس,أنا سعيد جدا بخدمة التموين دي لأنها بتوفر لنا كل احتياجاتنا بدون تعب ولا مجهود أنا أقدروا كثير على المجهود اللي بيتموه علشان نرتاح ونعيش حياتنا بشكل طبيعي,Positive
4,"أنا شايف إن خدمة التموين في المنوفية بتتحسن بشكل كبير, لكن مش تمام بعد. أنا راض عنها لحد ما, بس محتاجة تعمل بعض التحسينات علشان تبقى أفضل. بنشوف أكتر من مرة واحد يوصلنا حاجات غلط وناس تانية كمان بتحصل نفس المشكلة.",مكتب التعاون الغذائي بالمنوفية,المنوفية,أنا شايف إن خدمة التموين في المنوفية بتتحسن بشكل كبير لكن مش تمام بعد أنا راض عنها لحد ما بس محتاجة تعمل بعض التحسينات علشان تبقى أفضل بنشوف أكتر من مرة واحد يوصلنا حاجات غلط وناس تانية كمان بتحصل نفس المشكلة,Negative
1,"أنا مش راضي تماما على خدمات التوزيع, رغم أنها بتحاول تساعدنا لكن مفيش كفاية. الأسعار مرتفعة أوي والأصناف بتتغير كل يوم, ومش بنقدر نعرف نأكل كويس ونعيش حياة كريمة. أتمنى لو الحكومة تعمل شوية علشان نقدر نستمتع بالحياة اللي احنا مستحمين فيها.",جمعية مطبخ الحياة,بورسعيد,أنا مش راضي تماما على خدمات التوزيع رغم أنها بتحاول تساعدنا لكن مفيش كفاية الأسعار مرتفعة أوي والأصناف بتتغير كل يوم ومش بنقدر نعرف نأكل كويس ونعيش حياة كريمة أتمنى لو الحكومة تعمل شوية علشان نقدر نستمتع بالحياة اللي احنا مستحمين فيها,Negative
5,"أنا سعيد جدا بالخدمات الممتازة التي تقدمها الحكومة المصرية. خاصة الخدمات التموينية, فهي تساعدنا على توفير الاحتياجات الأساسية لعائلتنا بكل سهولة ويسر. شكرا لكم يا حكومة عظيمة!",جمعية غذاء الحياة,السويس,أنا سعيد جدا بالخدمات الممتازة التي تقدمها الحكومة المصرية خاصة الخدمات التموينية فهي تساعدنا على توفير الاحتياجات الأساسية لعائلتنا بكل سهولة ويسر شكرا لكم يا حكومة عظيمة,Positive
4,"أنا سعيد جدا بخدمة التوزيع في محافظتنا, لكن أعتقد أنها يمكن تحسينها أكتر. لو كان لديهم المزيد من الخيارات للأطعمة الصحية والأكل الصحي لأصبحت أفضل بكتير. أتمنى أنهم يعملوا على ده عشان الناس تقدر تستمتع بالطعام اللي بيقدموه وتتحسن صحتهم.",مكتب غذاء البحيرة,البحيرة,أنا سعيد جدا بخدمة التوزيع في محافظتنا لكن أعتقد أنها يمكن تحسينها أكتر لو كان لديهم المزيد من الخيارات للأطعمة الصحية والأكل الصحي لأصبحت أفضل بكتير أتمنى أنهم يعملوا على ده عشان الناس تقدر تستمتع بالطعام اللي بيقدموه وتتحسن صحتهم,Positive
4,"أنا مش عارف أقول إيه بخصوص برنامج توزيع الطعام اللي بنشوفه في مصر, لكن بصراحة ممكن يكون أفضل لو كان فيه بعض الاهتمام أكثر للناس المحتاجة.",مكتب الرابطة,بني سويف,أنا مش عارف أقول إيه بخصوص برنامج توزيع الطعام اللي بنشوفه في مصر لكن بصراحة ممكن يكون أفضل لو كان فيه بعض الاهتمام أكثر للناس المحتاجة,Neutral
2,"أنا مش راضي تماما على خدمة التموين في الجيزة, هما بيقدموا أكل كويس بس الأسعار غالية جدا ومش عارفين ناكل كل يوم بنفس الجودة. أتمنى أنهم يقدرونونا أكتر.",جمعية التموين السعيد بالجيزة,الجيزة,أنا مش راضي تماما على خدمة التموين في الجيزة هما بيقدموا أكل كويس بس الأسعار غالية جدا ومش عارفين ناكل كل يوم بنفس الجودة أتمنى أنهم يقدرونونا أكتر,Positive
4,"أنا سعيد بتقديم تعليقي على خدمة التموين بمحافظة السويس. أعتقد أنها كانت ممتازة جدا, وكانت الوجبة لذيذة ومغذية للغاية. أقدر الجهد المبذول لتوفير مثل هذا الطعام الجيد للمواطنين. أتمنى أن يستمروا في تقديم خدمات مماثلة في المستقبل القريب. شكرا جزيلا!",جمعية خيركم للغذاء,السويس,أنا سعيد بتقديم تعليقي على خدمة التموين بمحافظة السويس أعتقد أنها كانت ممتازة جدا وكانت الوجبة لذيذة ومغذية للغاية أقدر الجهد المبذول لتوفير مثل هذا الطعام الجيد للمواطنين أتمنى أن يستمروا في تقديم خدمات مماثلة في المستقبل القريب شكرا جزيلا,Positive
5,"أنا سعيد جدا بخدمة التموين في المحافظة, هي فعلا كويسة أوي وممتازة, أنا بشكر الحكومة على الاهتمام ببلدنا الحبيبة.",جمعية غذاء البركة,البحيرة,أنا سعيد جدا بخدمة التموين في المحافظة هي فعلا كويسة أوي وممتازة أنا بشكر الحكومة على الاهتمام ببلدنا الحبيبة,Positive
1,"أنا مش عارفة ليه الناس بتكره التموين بهذا الشكل! أنا بحبه جدا, لأنه بيوفرلي الطعام بأسعار رخيصة أوي وبسيطة. لو كان فيه مشاكل هنا وهناك, يبقى لازم نحلها عشان كل اللي محتاجين يستفيدوا منه.",مجلس التعاون الخليجي للوجبات السريعة,القاهرة,أنا مش عارفة ليه الناس بتكره التموين بهذا الشكل أنا بحبه جدا لأنه بيوفرلي الطعام بأسعار رخيصة أوي وبسيطة لو كان فيه مشاكل هنا وهناك يبقى لازم نحلها عشان كل اللي محتاجين يستفيدوا منه,Positive
3,"أنا شايف إن خدمة التموين دي محتاجة تطوير كبير عشان نقدر نستفيد منها حقآ, مش عارفين ليه بنعمل كده? احنا عايزين نعيش زي الناس!",مكتب نوران للتغذية,سوهاج,أنا شايف إن خدمة التموين دي محتاجة تطوير كبير عشان نقدر نستفيد منها حقآ مش عارفين ليه بنعمل كده احنا عايزين نعيش زي الناس,Negative
4,"أنا سعيد جدا لتقديم هذا التقييم الإيجابي لخدمة التموين في سوهاج! أعتقد أنه بفضل الجهود المستمرة والتحسينات التي تمت على مدار السنين, أصبحت الخدمات الحكومية أكثر فعالية وكفاءة للمواطنين المصريين. شكرا لكم جميعا على كل العمل الجاد الذي تقومون به لجعل الحياة أسهل لنا جميعًا. #تحية_للإرادة_العظيمة",مركز طهطا للتغذية,سوهاج,أنا سعيد جدا لتقديم هذا التقييم الإيجابي لخدمة التموين في سوهاج أعتقد أنه بفضل الجهود المستمرة والتحسينات التي تمت على مدار السنين أصبحت الخدمات الحكومية أكثر فعالية وكفاءة للمواطنين المصريين شكرا لكم جميعا على كل العمل الجاد الذي تقومون به لجعل الحياة أسهل لنا جميعا تحيةللإرادةالعظيمة,Positive
4,"أنا شايف إن نظام التوزيع ده كويس, بس فيه بعض المشاكل اللي بتضايق الناس زي التأخير والتلف في الطعام, أنا مش عارف حل إيه, لكن أعتقد لو الحكومة بتدعم النظام وتعالجه هتبقى أحسن.",مكتب الرابطة,الجيزة,أنا شايف إن نظام التوزيع ده كويس بس فيه بعض المشاكل اللي بتضايق الناس زي التأخير والتلف في الطعام أنا مش عارف حل إيه لكن أعتقد لو الحكومة بتدعم النظام وتعالجه هتبقى أحسن,Negative
4,"أنا مش راضي على الخدمة دي, أنا عايز أكل كويس ومريح, وأظن الحكومة تقدر توفر لنا أفضل مما احنا فيه دلوقتي.",مجلس التعاون الخليجي للوجبات السريعة,القاهرة,أنا مش راضي على الخدمة دي أنا عايز أكل كويس ومريح وأظن الحكومة تقدر توفر لنا أفضل مما احنا فيه دلوقتي,Positive
2,"أنا مش بحب الخدمة دي خالص, هي بتخنقنا بجد! كل مرة بنروح فيها نشتري الحاجات اللي احنا محتاجينها, بنواجه مشاكل كتير جدا! بقالين الناس بتضايقوا أوي بسببها ومش عارفين نعمل إيه!",مكتب نور الخير,كفر الشيخ,أنا مش بحب الخدمة دي خالص هي بتخنقنا بجد كل مرة بنروح فيها نشتري الحاجات اللي احنا محتاجينها بنواجه مشاكل كتير جدا بقالين الناس بتضايقوا أوي بسببها ومش عارفين نعمل إيه,Negative
5,"أنا سعيد جدا بالخدمات الممتازة اللي بتقدمها الحكومة, خاصة برنامج التموين. أنا متأكد أنه بيخدم الغلابة وبيوفر عليهم كتير.",مكتب سناء للتجارة,الجيزة,أنا سعيد جدا بالخدمات الممتازة اللي بتقدمها الحكومة خاصة برنامج التموين أنا متأكد أنه بيخدم الغلابة وبيوفر عليهم كتير,Positive
1,"أنا مش راضيا على خدمة التموين دي خالص! دائما بتأخر, ولا بنلاقي الحاجات اللي احنا محتاجينها. المفروض يكون عندنا خيارات أكثر ونقدر نختار منها حسب احتياجاتنا. بدل ما إحنا نستنى ساعات طويلة علشان نحصل على حاجات بسيطة, نقدر نكون قادرين نشتريها بسهولة وبسرعة أكبر لو كانت هناك خدمات أفضل.",مكتب سند التموين,الجيزة,أنا مش راضيا على خدمة التموين دي خالص دائما بتأخر ولا بنلاقي الحاجات اللي احنا محتاجينها المفروض يكون عندنا خيارات أكثر ونقدر نختار منها حسب احتياجاتنا بدل ما إحنا نستنى ساعات طويلة علشان نحصل على حاجات بسيطة نقدر نكون قادرين نشتريها بسهولة وبسرعة أكبر لو كانت هناك خدمات أفضل,Negative
2,"أنا مش راضي على خدمات التموين دي خالص, كل مرة بنروح فيها نلاقى الحاجات ناقصة والأرز اللي بيتوزع عليهي طعمه وحش! إحنا عايزين نعيش حياة كريمة هنا ف العاصمة, احنا عايشين كدة زي الحيوانات.",جمعية الغذاء الصحي,القاهرة,أنا مش راضي على خدمات التموين دي خالص كل مرة بنروح فيها نلاقى الحاجات ناقصة والأرز اللي بيتوزع عليهي طعمه وحش إحنا عايزين نعيش حياة كريمة هنا ف العاصمة احنا عايشين كدة زي الحيوانات,Negative
5,"أنا رحت مرة على التموين, كان حلو جدا! أكلت حاجات كتير حلوة ولذيذة ومشيت ورايا بس ب10 جنيه لكل يوم. هعمل طلب تاني قريب عشان أحافظ على صحتي وبأرسل لك الشكر يا جيس.",شركة التوفيق للتوريدات الغذائية,القليوبية,أنا رحت مرة على التموين كان حلو جدا أكلت حاجات كتير حلوة ولذيذة ومشيت ورايا بس ب جنيه لكل يوم هعمل طلب تاني قريب عشان أحافظ على صحتي وبأرسل لك الشكر يا جيس,Positive
4,أنا سعيد جدا بتقديم هذا النوع من التعليقات على خدمات التموين في مصر! لقد كنت أستخدمها لفترة طويلة وأعتقد أنها طريقة رائعة لدعم الاقتصاد المحلي وتوفير الطعام الطازج واللذيذ للناس كل يوم. إنها أيضا وسيلة جيدة للتواصل مع المجتمع ومعرفة المزيد عن الثقافة المحلية. شكرا لكم جميعا على جعل حياتي أسهل بكثير بهذه الطريقة الرائعة!,شركة طه للتنمية المستدامة,سوهاج,أنا سعيد جدا بتقديم هذا النوع من التعليقات على خدمات التموين في مصر لقد كنت أستخدمها لفترة طويلة وأعتقد أنها طريقة رائعة لدعم الاقتصاد المحلي وتوفير الطعام الطازج واللذيذ للناس كل يوم إنها أيضا وسيلة جيدة للتواصل مع المجتمع ومعرفة المزيد عن الثقافة المحلية شكرا لكم جميعا على جعل حياتي أسهل بكثير بهذه الطريقة الرائعة,Positive
4,"أنا سعيد جدا بخدمة التموين في المنصورة, لأنها تساعد الناس على توفير الوقت والجهد. لكن هناك بعض المشاكل الصغيرة التي تحتاج إلى حل مثل تأخير التوصيل وعدم الالتزام بالمواعيد المحددة. أتمنى أنهم يتحسنوا عشان نقدر نستمتع بالخدمة بشكل أفضل.",مكتب السعادة,الدقهلية,أنا سعيد جدا بخدمة التموين في المنصورة لأنها تساعد الناس على توفير الوقت والجهد لكن هناك بعض المشاكل الصغيرة التي تحتاج إلى حل مثل تأخير التوصيل وعدم الالتزام بالمواعيد المحددة أتمنى أنهم يتحسنوا عشان نقدر نستمتع بالخدمة بشكل أفضل,Positive
4,"أنا راضية جدّا على خدمات التموين في محافظتنا, بس مش زيها قبل كده! كانت هناك مشكلة كبيرة مع التأخير والفساد, لكن الحكومة عملت بجد لتحسين الوضع وأديوا شغلهم كويس جدا الفترة اللي فاتت. أتمنى أنهم يستمرون في التطور وتحسين الخدمات للمواطنين.",جمعية الشروق للتموين,القاهرة,أنا راضية جدا على خدمات التموين في محافظتنا بس مش زيها قبل كده كانت هناك مشكلة كبيرة مع التأخير والفساد لكن الحكومة عملت بجد لتحسين الوضع وأديوا شغلهم كويس جدا الفترة اللي فاتت أتمنى أنهم يستمرون في التطور وتحسين الخدمات للمواطنين,Positive
