comment,region,city,classification
شكرا على الاهتمام بجودة الزيت والسكر كل مرة.,Kafr El Sheikh,Kafr El Sheikh City,Positive
السكر متوفر بس بجودة وحشة ومش قابل للاستخدام.,Kafr El Sheikh,Desouk,Negative
الموظف تعامل بشكل رسمي من غير زيادة.,Red Sea,Hurghada,Neutral
التعامل في المنفذ كان راقي ومريح للأسر.,Red Sea,El Quseir,Positive
التاجر رفض يرجع سلعة بايظة ورفض يسمعنا.,Matruh,Marsa Matruh,Negative
الزيارة عدت بشكل عادي خالص زي كل مرة.,Matruh,Siwa,Neutral
المخازن مجهزة كويس وكل حاجة مرتبة.,Cairo,Nasr City,Positive
السلع اتسلمت من غير فاتورة واضحة.,Cairo,Heliopolis,Negative
الموظفين موجودين بالعدد المطلوب.,Cairo,Maadi,Neutral
العاملين مهتمين بسلامة التغليف.,Cairo,Downtown Cairo,Positive
المكان ضيق ومفيش تهوية كفاية.,Cairo,Zamalek,Negative
المنتجات متاحة بالأنواع الأساسية بس.,Giza,Dokki,Neutral
الخدمة المتنقلة وصلت للحي في معادها.,Giza,Mohandessin,Positive
الطوابير للسيدات طويلة ومفيش تنظيم.,Giza,6th of October City,Negative
تم التأكد من البطاقة الشخصية كالعادة.,Giza,Haram,Neutral
التاجر دايما بيسأل على رأينا في السلع.,Giza,Faisal,Positive
مفيش حد بيجاوب على الخط الساخن.,Alexandria,Smouha,Negative
الفرع شغال ضمن التعليمات العادية.,Alexandria,Raml Station,Neutral
المسؤول استقبل الشكاوى بابتسامة.,Alexandria,Sidi Gaber,Positive
التاجر حجز للبعض وحرم الباقي.,Alexandria,Miami,Negative
الانتظار كان حوالي ربع ساعة.,Alexandria,Montaza,Neutral
التوزيع بيتم بسيستم إلكتروني سريع.,Aswan,Aswan City,Positive
أوزان العلب أقل من المكتوب عليها.,Aswan,Kom Ombo,Negative
الجو كان حر بس المكان مكيف.,Aswan,Edfu,Neutral
الأسعار مثبتة ومفيش أي تلاعب.,Luxor,Luxor City,Positive
الجودة وحشة وريحة السلع مش كويسة.,Luxor,Karnak,Negative
السلع وصلت متأخر شوية بس اتسلمت.,Luxor,West Bank,Neutral
المنفذ وفر شنط قماش بديلة للبلاستيك.,Sohag,Sohag City,Positive
مواعيد العمل مش ثابتة ومربكة.,Sohag,Akhmim,Negative
المنفذ استخدم مكبر صوت لتنظيم الدور.,Sohag,Girga,Neutral
الحصة اتسلمت مع كتيب نصائح غذائية.,Qena,Qena City,Positive
المنفذ بعيد ومفيش نقل مناسب.,Qena,Nag Hammadi,Negative
الموظف طلب توقيع المعتاد واستلمنا.,Qena,Dishna,Neutral
الموظفين بيراعوا كبار السن جدًا.,Beheira,Damanhur,Positive
الناس بتتزاحم ومفيش رقابة أمنية.,Beheira,Kafr El Dawwar,Negative
الكميات نفس اللي اتبلغنا بيه.,Beheira,Rosetta,Neutral
بصراحة المنفذ ده مثال للالتزام والجودة.,Minya,Minya City,Positive
المنفذ ما التزمش بالقائمة الرسمية للأسعار.,Minya,Mallawi,Negative
اليوم عدى من غير ملاحظات كبيرة.,Minya,Samalut,Neutral
الخدمة المنزلية جابت الطلبية كاملة.,Asyut,Asyut City,Positive
الشكاوي كتير ومفيش حلول لحد دلوقتي.,Asyut,Abnub,Negative
استلمت الطلب على مرتين بنفس الكمية.,Asyut,Manfalut,Neutral
التموين اتسجل إلكتروني من غير أخطاء.,Faiyum,Faiyum City,Positive
المنتجات اللي اتسلمت ناقصها حاجات مهمة.,Faiyum,Sinnuris,Negative
تم تصوير البطاقة كالعادة قبل التسليم.,Faiyum,Ibishway,Neutral
التاجر وزع كتيبات توعية غذائية مفيدة.,Suez,Suez City,Positive
الطابور الرجالي والنسائي متداخل ومربك.,Suez,Arbaeen,Negative
التعامل كان في حدود القواعد الرسمية.,Suez,Ganayen,Neutral
السلع البقالة طازة ومرتبة على الرفوف.,Ismailia,Ismailia City,Positive
في ناس بتسبق الدور ومحدش بيتدخل.,Ismailia,Fayed,Negative
المنفذ فتح بعد دقيقة انتظار بسيطة.,Sharqia,Zagazig,Neutral
الزيت نظيف ومعبأ كويس جدا.,Sharqia,Belha,Positive
المكان مش نضيف وفيه غبار واضح.,Dakahlia,Mansoura,Negative
الجو العام هادي لكن مافي تجديد.,Dakahlia,Mit Ghamr,Neutral
المنفذ وفر عربيات صغيرة تساعد كبار السن.,Gharbia,Tanta,Positive
المنفذ بعيد عن وسائل المواصلات العامة.,Gharbia,El Mahalla El Kubra,Negative
السلع الجافة متاحة لكن الطازجة أقل.,Damietta,Damietta City,Neutral
تم توفير سكر زيادة للناس المحتاجة.,Damietta,Ras El Bar,Positive
الكاشير ما ادانيش إيصال رغم طلبي.,Beni Suef,Beni Suef City,Negative
قعدنا نستنى لحد ما نادوا على الاسم بالمايك.,Beni Suef,El Wasta,Neutral
الطاقم كان مبتسم من أول لحظة.,Kafr El Sheikh,Kafr El Sheikh City,Positive
البيض اللي اتباع كان مكسور.,Kafr El Sheikh,Desouk,Negative
تم ختم الكارت بعد الاستلام مباشرة.,Red Sea,Hurghada,Neutral
تم الرد على كل الاستفسارات بهدوء.,Red Sea,El Quseir,Positive
مفيش موظف يرشد الناس جوة المنفذ.,Matruh,Marsa Matruh,Negative
الفرع ده لسه زي ما هو من سنة.,Matruh,Siwa,Neutral
المخزن اتفتح بدري عشان يريح الناس.,Cairo,Nasr City,Positive
المنفذ اتأخر عن موعده ساعة كاملة.,Cairo,Heliopolis,Negative
الدور اتحرك ببطء بس ثابت.,Cairo,Maadi,Neutral
السلع التموينية متوفرة بعدالة بين الجميع.,Cairo,Downtown Cairo,Positive
السلع متخزنة بشكل سيء وبتسرب زيت.,Cairo,Zamalek,Negative
استنيت مع الجيران واتكلمنا عادي.,Giza,Dokki,Neutral
فيه متابعة واضحة من الوزارة على المكان.,Giza,Mohandessin,Positive
الأرز كان فيه حشرات صغيرة.,Giza,6th of October City,Negative
تم تصوير البطاقة كالعادة قبل التسليم.,Giza,Haram,Neutral
التاجر وفر تذوق مجاني للسلع الجديدة.,Giza,Faisal,Positive
الأكياس اتقطعت من كتر الحمول.,Alexandria,Smouha,Negative
المنفذ استخدم سيستم قديم لكنه شغال.,Alexandria,Raml Station,Neutral
الوزن اتقاس قدامي بكل شفافية.,Alexandria,Sidi Gaber,Positive
الموظف طلب إكرامية عشان يسرع الدور.,Alexandria,Miami,Negative
الكميات اتقسمت حسب التعليمات الرسمية.,Alexandria,Montaza,Neutral
الطبيب البيطري راجع اللحوم قدامنا.,Aswan,Aswan City,Positive
مفيش حد راقب جودة الدواجن النهاردة.,Aswan,Kom Ombo,Negative
تم وزن اللحوم قدام الكل من غير تعليق.,Aswan,Edfu,Neutral
العمال وزعوا أرقام تسهل الدور.,Luxor,Luxor City,Positive
الترتيب داخل المخزن مكركب ومفيش مسارات.,Luxor,Karnak,Negative
