الاستلام تم زي ما متعود.,Alexandria,Sidi Gaber,Neutral
المنفذ وفر أكياس قماش بديلة عن البلاستيك.,Alexandria,Miami,Positive
السلع ناقصة وقالوا استلموا بكرة.,Alexandria,Montaza,Negative
الإجراءات نفس الكلام دايمًا.,Alexandria,Agami,Neutral
الموظفة كانت بتساعد في حمل الاكياس.,Alexandria,Borg El Arab,Positive
الفرع ريحته مش حلوة خالص.,Alexandria,Al Ibrahimia,Negative
الموعد اتحدد مسبق زي كل مرة.,Alexandria,El Gomrok,Neutral
التاجر بيسأل عن رأينا في الجودة.,Alexandria,Abu Qir,Positive
السردين كان بايظ وريحته وحشة.,Alexandria,Anfoushi,Negative
التوزيع تم بنفس قائمة الأسماء.,Alexandria,Camp Caesar,Neutral
المكان نظيف ومكيف بشكل ممتاز.,Alexandria,Sporting,Positive
الكاشير اتأخر ومحدش بدله.,Alexandria,San Stefano,Negative
التحضيرات زي ما شفناها الشهر اللي فات.,Alexandria,Loran,Neutral
التاجر قدم سلع عضوية لأول مرة.,Alexandria,Smouha Gardens,Positive
العمال صوتهم عالي ومفيش احترام.,Alexandria,El Amreya,Negative
التعامل روتيني زي ما نتوقع.,Alexandria,Sidi Bishr,Neutral
الرصيف قدام المنفذ كان متسفلت جديد.,Alexandria,Al Mandara,Positive
المنفذ قفل بدري ومحدش بلغ.,Alexandria,Bahari,Negative
المواعيد ثابتة على الجدول المعتمد.,Alexandria,El Hadara,Neutral
الموظف قدم مية ساقعة للناس.,Aswan,Aswan City,Positive
الطابور واقف في الشمس وحر.,Aswan,Kom Ombo,Negative
التوزيع تم بنفس الكشوف القديمة.,Aswan,Edfu,Neutral
التاجر وفر شنط حرارية للسمك.,Aswan,Abu Simbel,Positive
المكان بعيد ومفيش نقل.,Aswan,Daraw,Negative
الانتظار شبه كل مرة.,Aswan,Kalabsha,Neutral
الموظفين كانوا مبتسمين وبيسألوا عن الرأي.,Aswan,Naser Al Nuba,Positive
السلع متخزنة من غير تبريد.,Aswan,Tushka,Negative
الإجراءات سريعة زي السابق.,Aswan,New Aswan,Neutral
التاجر ساعد في ترتيب العربيات للناس.,Aswan,Ballana,Positive
الكراسي متكسرة ومفيش بديل.,Aswan,El Sebaeya,Negative
الاستلام نفس الميعاد القديم.,Aswan,El Sayala,Neutral
التاجر بيرحب بالأطفال ويديهم حلوى.,Luxor,Luxor City,Positive
اللحمة شكلها مش طازة خالص.,Luxor,Karnak,Negative
الدفاتر اتراجعت بنفس النظام المعتمد.,Luxor,West Bank,Neutral
الموظف جه بنفسه يشرح العروض.,Luxor,Esna,Positive
مفيش ترتيب للدور نهائي.,Luxor,Armant,Negative
المنفذ اشتغل بروتينه المعهود.,Luxor,Tod,Neutral
اتقدم لنا شاي وقت الانتظار.,Luxor,El Bayadiya,Positive
الأرض مليانة تراب.,Luxor,New Tiba,Negative
استلمت الشيكات بنفس الخطوات دايمًا.,Luxor,Al Qarna,Neutral
التاجر حل مشكلة نقص الزيت فوراً.,Luxor,Alziynia,Positive
العمال مش لابسين جوانتيات.,Luxor,Hegazeya,Negative
المتابعة الأسبوعية شغالة على نفس الوتيرة.,Luxor,Al Boghdadi,Neutral
العامل ساعد في رفع الجوالات للعربية.,Sohag,Sohag City,Positive
حد قفش مكاني في الصف ومحدش تدخل.,Sohag,Akhmim,Negative
التوزيع زي المعتاد من غير تغيير.,Sohag,Girga,Neutral
التاجر قدم خصم بسيط على السكر.,Sohag,Tahta,Positive
الخيارات قليلة والناس زعلانة.,Sohag,Tama,Negative
المعاملات تمت بنفس المواعيد.,Sohag,Maragha,Neutral
الموظفين واقفين يساعدوا كبار السن.,Sohag,El Balyana,Positive
المكان حر ومفيش مراوح.,Sohag,Dar El Salam,Negative
المخزون اتوزع بنفس نسب الشهر اللي فات.,Sohag,Saqilatuh,Neutral
التاجر اتصل بنا لما دورنا قرب.,Sohag,Alusimat,Positive
البضايع ناقصة ومتأخرة.,Sohag,El Monshaah,Negative
التفاصيل الإدارية ما تغيرتش.,Sohag,Gohina,Neutral
الموظف جه بصينية مية للزوار.,Qena,Qena City,Positive
الميزان كان بايظ ومحدش صلحه.,Qena,Nag Hammadi,Negative
الإجراءات نفسها كل شهر.,Qena,Dishna,Neutral
التاجر وضح مصدر كل سلعة.,Qena,Qus,Positive
الرفوف فاضية في نص اليوم.,Qena,Abu Tesht,Negative
الدفاتر بتتاخد وبتتراجع زي العادة.,Qena,Farshut,Neutral
المنفذ نشر لافتات شكر للناس.,Qena,Naqada,Positive
المكان ضلمة ومفيش اضاءة.,Qena,Hu,Negative
التوزيع كان بنفس الخطة اللي فاتت.,Qena,New Qena,Neutral
المسؤول واقف يطمن الناس بنفسه.,Qena,El Waqf,Positive
المنتجات منتهية في وقت قياسي.,Qena,Abu Shousha,Negative
التحضيرات ماشية على الوضع القديم.,Qena,Alashraf Al Bahariyah,Neutral
التاجر رحب بينا وقدملنا شاي.,Beheira,Damanhur,Positive
الطابور طويل ومفيش ظل.,Beheira,Kafr El Dawwar,Negative
استلمت البضاعة زي ما اتعودت.,Beheira,Rosetta,Neutral
الموظفين شاركوا في حمالة الشنط.,Beheira,Abu Hummus,Positive
السلع مرصوصة فوق بعض ومكسرة.,Beheira,Etay El Baroud,Negative
الدفاتر اتوقعت بنفس الطريقة.,Beheira,Shubrakhit,Neutral
التاجر وزع هدايا بسيطة للأطفال.,Beheira,Kom Hamada,Positive
اللحمة مافيهاش ختم.,Beheira,Delengat,Negative
الخدمة ماشية بنفس الايقاع.,Beheira,Housh Eissa,Neutral
المكان متعطر ولطيف.,Beheira,Wadi Al Natrun,Positive
في حشرات حوالين الخضار.,Beheira,Kafr El Nabat,Negative
النظام الداخلي محفوظ زي ما هو.,Beheira,Badr,Neutral
التاجر رحب بيا بالاسم.,Minya,Minya City,Positive
المكان حر ومفيش تكييف.,Minya,Mallawi,Negative
الإجراءات ثابتة زي ماهي.,Minya,Samalut,Neutral
الموظف قدم خصومات للناس.,Minya,Beni Mazar,Positive
السلع ناقصة والنظام متلخبط.,Minya,Der Mawas,Negative
الورق اتراجع بنفس المدة.,Minya,Maghagha,Neutral
التاجر وقف بنفسه يوزع.,Minya,Abu Qurqas,Positive
الصرف متأخر والناس متكدسة.,Minya,Matay,Negative
الاستلام تم بنفس الترتيب.,Minya,El Idwa,Neutral
المنفذ وفر شنط محكمة.,Minya,New Minya,Positive
الطابور خارج المنفذ.,Minya,Dayrout Al Sharif,Negative
التحضيرات زي جدولهم المعتاد.,Minya,Al Fikriyah,Neutral
الموظفين سلموا الطلب بابتسامة.,Asyut,Asyut City,Positive
المنتجات ناقصة ومحدش رد.,Asyut,Abnub,Negative
الإجراء الروتيني ما تغيرش.,Asyut,Manfalut,Neutral
التاجر وفر مكان انتظار مكيف.,Asyut,Dairut,Positive
المكان مليان زحمة وضوضاء.,Asyut,El Badari,Negative
التوزيع زي اللي فات.,Asyut,Abu Tig,Neutral
البياع سأل عن احتياجات خاصة.,Asyut,Sadfa,Positive
المنفذ متأخر عن معاده.,Asyut,Al Qusiya,Negative
المعاملات روتينية.,Asyut,El Ghanayem,Neutral
التاجر نظف المكان قدامنا.,Asyut,Manqabad,Positive
المخزن مكركب ومفيش تنظيم.,Asyut,Sahel Selim,Negative
التسليم على نفس الوتيرة.,Asyut,New Asyut,Neutral
الموظف قدم مياه باردة.,Faiyum,Faiyum City,Positive
الدور كان عشوائي.,Faiyum,Sinnuris,Negative
الإجراءات المعتادة اتنفذت.,Faiyum,Ibishway,Neutral
التاجر زود تشكيلة الخضار.,Faiyum,Tamiya,Positive
الأسعار اتغيرت من غير اعلان.,Faiyum,Yusuf Al Seddik,Negative
المنفذ بيشتغل على نفس النظام.,Faiyum,New Faiyum,Neutral
في ترحيب واضح بالزباين.,Faiyum,Atsa,Positive
المكان ضلمة والمصابيح محروقة.,Faiyum,Ibshway El Gharb,Negative
الاستلام بنفس السجل القديم.,Faiyum,Senhour,Neutral
التاجر وفر ورق تغليف إضافي.,Faiyum,El Azab,Positive
الأرفف متربة ومحدش مهتم.,Faiyum,El Lahun,Negative
العملية كلها زي الشهر اللي فات.,Faiyum,Kom Oshim,Neutral
المسؤول اتأكد ان كل واحد مبسوط.,Suez,Suez City,Positive
المنفذ قفل بدون ما يخلص الدور.,Suez,Arbaeen,Negative
التوزيع على نفس الجدول القديم.,Suez,Ganayen,Neutral
التاجر قدم شمسية للانتظار.,Suez,Ain Sokhna,Positive
الطابور في الشمس الحارقة.,Suez,Ataqa,Negative
الاوراق اتراجعت زي كل مرة.,Suez,Port Tawfik,Neutral
الموظفين بيتواصلوا بلطف.,Suez,Faisal District,Positive
الارضية مكسرة ومفيش صيانة.,Suez,El Sadr,Negative
المنظومة شغالة بنفس الخط.,Suez,El Kabary,Neutral
التاجر وزع مناديل مبللة للناس.,Suez,El Zona El Horra,Positive
العمال بيتخانقوا مع بعض.,Suez,El Ganayen South,Negative
الاستلام تم بنفس الميكانيزم.,Suez,New Suez,Neutral
الموظفين بيرحبوا بكل زبون.,Ismailia,Ismailia City,Positive
الطابور مش متقسم كويس.,Ismailia,Fayed,Negative
الاستلام زي ما اتعودنا.,Ismailia,Abu Suwayr,Neutral
التاجر بيوزع مطهر لليدي.,Ismailia,Qantara Gharb,Positive
المنتجات باردة بزيادة ومتلجة.,Ismailia,Tal El Kebir,Negative
الإجراءات ثابتة زي العادة.,Ismailia,Qantara Sharq,Neutral
المكان فيه موسيقى هادية.,Ismailia,El Kasasin,Positive
المراوح بايظة ومفيش بديل.,Ismailia,El Salue,Negative
المتابعة الأسبوعية بنفس النسق.,Ismailia,New Ismailia,Neutral
التاجر اتصل بينا بعد الاستلام.,Ismailia,Abu Atwa,Positive
الطابور متقدم ببطء شديد.,Ismailia,El Tal El Kebir Rural,Negative
العملية ماشية زي ما اتفقنا.,Ismailia,El Kassasin El Gedida,Neutral
الموظفة لطيفة وبتسأل عن احتياجاتنا.,Sharqia,Zagazig,Positive
الناس بتتزاحم قدام الباب.,Sharqia,Belbeis,Negative
الدفاتر بتتم زي الشهر اللي فات.,Sharqia,10th of Ramadan City,Neutral
التاجر وزع كتيبات عن الصحة.,Sharqia,Faqous,Positive
السلع متأخرة عن الجدول.,Sharqia,Abu Hammad,Negative
المنفذ شغال بنفس الخطة.,Sharqia,Hehia,Neutral
في ترحيب كبير بالعملاء.,Sharqia,Mashtoul El Souk,Positive
العمال بيكلموا الناس بأسلوب جاف.,Sharqia,Kafr Saqr,Negative
الإجراءات نفسها من غير تعديل.,Sharqia,Awlad Saqr,Neutral
التاجر قدم عينات مجانية.,Sharqia,San Al Hagar,Positive
القفف مقطوعة ومفيش بديل.,Sharqia,Husseiniya,Negative
الخطوات ماشية زي كتيب التعليمات.,Sharqia,New Salhia,Neutral
الموظف اتأكد إن كل ورق مختوم صح.,Sharqia,Minya Al Qamh,Positive
المخزن مساب مياه على الأرض.,Sharqia,Abu Kabir,Negative
