stars,review,district,governorate,clean_review
1,"أنا مش راضيا على الخدمات التموينية اللي بنحصل عليها هنا في الأسكندرية, رغم أننا ندفع تمنها بانتظام. ده يعني إننا لازم نتعب ونعمل كتير عشان نقدر نأكل كويس.",جمعية مطبخ إسكندرية,الإسكندرية,أنا مش راضيا على الخدمات التموينية اللي بنحصل عليها هنا في الأسكندرية رغم أننا ندفع تمنها بانتظام ده يعني إننا لازم نتعب ونعمل كتير عشان نقدر نأكل كويس
3,أنا سعيد جدا بتقديم خدمتي على أكمل وجه وأقدمها بأفضل جودة ممكنة. أقدر جميع التعليقات الإيجابية والسلبية التي تساعدني على التحسن والتطور المستمر لأكون أفضل نسخة مني. شكرا جزيلا لكم جميعا! #خدمة_التوصيل_المتميز #رضا_العميل_أولوية,جمعية سواعد مطروح,مطروح,أنا سعيد جدا بتقديم خدمتي على أكمل وجه وأقدمها بأفضل جودة ممكنة أقدر جميع التعليقات الإيجابية والسلبية التي تساعدني على التحسن والتطور المستمر لأكون أفضل نسخة مني شكرا جزيلا لكم جميعا خدمةالتوصيلالمتميز رضاالعميلأولوية
2,"يا جماعة, أنا عايز أقولكم إن خدمة التموين في الأسكندرية مش حلوة أوي كده! إنها تعطيني تقييم اثنين على خمس نقاط, وده يعني أنها مش كويسة جدا. أتمنى أنهم يحسنوا الوضع عشان نقدر نستمتع بالطعام اللي بيقدموه لنا كل يوم.",جمعية أوركيد للتنمية,الإسكندرية,يا جماعة أنا عايز أقولكم إن خدمة التموين في الأسكندرية مش حلوة أوي كده إنها تعطيني تقييم اثنين على خمس نقاط وده يعني أنها مش كويسة جدا أتمنى أنهم يحسنوا الوضع عشان نقدر نستمتع بالطعام اللي بيقدموه لنا كل يوم
5,"أنا راضي جدا على خدمات التموين, فهي تقدم كل اللي محتاجه وبجد بتتأكد إنك مش هتحتاج تروح بره المحافظة. شكرا للحكومة المصرية على الاهتمام بالمواطنين.",مكتب خيرنا,الإسماعيلية,أنا راضي جدا على خدمات التموين فهي تقدم كل اللي محتاجه وبجد بتتأكد إنك مش هتحتاج تروح بره المحافظة شكرا للحكومة المصرية على الاهتمام بالمواطنين
2,"أهلا يا شباب, أنا جايبة رأي بخصوص خدمة التونة اللي بنشوفها ف العاصمة الإدارية, مش عارف ليه هي كده! بصراحة, هتاكلوا بطيخة قبل ما تشوفوها, لو كان عندنا وقت نروح ونختار الحاجات الصح, لكن مع كل الضغوط دي, احنا لازم نعمل ايه? 3/5 عشان نقدر نعيش يومنا. تحياتي للجميع.",مكتب الشروق للتوريدات الغذائية,القاهرة,أهلا يا شباب أنا جايبة رأي بخصوص خدمة التونة اللي بنشوفها ف العاصمة الإدارية مش عارف ليه هي كده بصراحة هتاكلوا بطيخة قبل ما تشوفوها لو كان عندنا وقت نروح ونختار الحاجات الصح لكن مع كل الضغوط دي احنا لازم نعمل ايه عشان نقدر نعيش يومنا تحياتي للجميع
1,"أنا مش فاهم إيه المشكلة مع خدمات التوزيع في الجيزة! أنا بعتبرها كارثة حقيقية, لازم يتعدلوا بسرعة قبل ما الناس تثور على الحكومة. أنا متأكد إن الناس بتقول لو ده هيحصل في مصر هنعمل ثورة تاني بس الحقيقة إنها فعلا حاجة مزرية جدا ولازم يتغيروها بأسرع وقت ممكن.",الجمعية التعاونية للتمور,الجيزة,أنا مش فاهم إيه المشكلة مع خدمات التوزيع في الجيزة أنا بعتبرها كارثة حقيقية لازم يتعدلوا بسرعة قبل ما الناس تثور على الحكومة أنا متأكد إن الناس بتقول لو ده هيحصل في مصر هنعمل ثورة تاني بس الحقيقة إنها فعلا حاجة مزرية جدا ولازم يتغيروها بأسرع وقت ممكن
4,"أنا راضية جدا على خدمات التموين في الجيزة, بالرغم من بعض المشكلات البسيطة اللي بتحصل أحيانا. لكن بشكل عام, نقدر نقول إنها كويسة جدام كل الناس.",مكتب خير زمان,الجيزة,أنا راضية جدا على خدمات التموين في الجيزة بالرغم من بعض المشكلات البسيطة اللي بتحصل أحيانا لكن بشكل عام نقدر نقول إنها كويسة جدام كل الناس
1,"أنا مش فاهم حاجه, ده نظام جديد خالص! لو سمحت ممكن تشرحلي ازاي أعمل إيه?",اتحاد الأغذية والأغذية,أسيوط,أنا مش فاهم حاجه ده نظام جديد خالص لو سمحت ممكن تشرحلي ازاي أعمل إيه
1,"أنا مش راضي على الخدمه دي, هي بتعمل حاجات غلط كتير ومش متنسق مع الناس, وأنا شايف أنها لازم تتحسن قبل ما أحط عليها تقييم.",جمعية البيت الحلو,القاهرة,أنا مش راضي على الخدمه دي هي بتعمل حاجات غلط كتير ومش متنسق مع الناس وأنا شايف أنها لازم تتحسن قبل ما أحط عليها تقييم
1,"أنا مش راضيه على الخدمه دي خالص, لو كان فيه حاجه حلوه كنت اتكلمت عنها بس للأسف كل اللي حصلنا عليه هي الكليه وجبتين في اليوم الواحد! ده غير الحاجات اللي بتاكلوا منها مابقاش ليه طعم أصلا! والله حرام علينا كده.",مؤسسة بيورل للطعام,سوهاج,أنا مش راضيه على الخدمه دي خالص لو كان فيه حاجه حلوه كنت اتكلمت عنها بس للأسف كل اللي حصلنا عليه هي الكليه وجبتين في اليوم الواحد ده غير الحاجات اللي بتاكلوا منها مابقاش ليه طعم أصلا والله حرام علينا كده
1,"يا جماعة, أنا عايز أقولكم إني مش راضيه على خدمة التموين دي خالص! احنا لازم نتحرك ونغير الوضع ده, لأن الحاجات اللي بنحصل عليها من الحكومة مش كفاية أبدا.",مكتب الرابطة,الإسكندرية,يا جماعة أنا عايز أقولكم إني مش راضيه على خدمة التموين دي خالص احنا لازم نتحرك ونغير الوضع ده لأن الحاجات اللي بنحصل عليها من الحكومة مش كفاية أبدا
2,"أنا مش فاهم إيه المشكلة! ده تقييم ضعيف جدا للمنظومة دي, يعني لازم يتحسنوا أكتر علشان نقدر نقول إنهم كويسين. لو حد سألني رأيي, هقول إن الخدمات التانية أفضل بكثير ومش بتكرر نفس الأخطاء زيها. أنا عايزهم يعملوا أحسن وأسرع عشان الناس تقدر تستمتع بالخدمة وتطلع منها برضا.",مكتب الطعام الخير,البحيرة,أنا مش فاهم إيه المشكلة ده تقييم ضعيف جدا للمنظومة دي يعني لازم يتحسنوا أكتر علشان نقدر نقول إنهم كويسين لو حد سألني رأيي هقول إن الخدمات التانية أفضل بكثير ومش بتكرر نفس الأخطاء زيها أنا عايزهم يعملوا أحسن وأسرع عشان الناس تقدر تستمتع بالخدمة وتطلع منها برضا
2,"أنا زهقت جدا من خدمات التموين في الأسكندرية, مش عارفة ليه كل مرة بنروح نتناول وجبة واحدة بتكون ناقصة حاجات كتير. بقالك فترة كده ومش عارف أعمل إيه?",الجمعية المصرية للغذاء,الإسكندرية,أنا زهقت جدا من خدمات التموين في الأسكندرية مش عارفة ليه كل مرة بنروح نتناول وجبة واحدة بتكون ناقصة حاجات كتير بقالك فترة كده ومش عارف أعمل إيه
5,"أنا سعيد جدا بخدمة التموين في بورسعيد! إنها رائعة حققا ومش هتقدر تعيش بدونها, ربنا يبارك فيها ويحمي البلد كلها. شكرا جزيلا على الاهتمام بالجودة والخدمة الرائعة التي تقدمها الحكومة لنا كل يوم. #شكرا_مصر",مجلس الأزرقي,بورسعيد,أنا سعيد جدا بخدمة التموين في بورسعيد إنها رائعة حققا ومش هتقدر تعيش بدونها ربنا يبارك فيها ويحمي البلد كلها شكرا جزيلا على الاهتمام بالجودة والخدمة الرائعة التي تقدمها الحكومة لنا كل يوم شكرامصر
5,"أنا سعيد جدا بتلقي التعليقات الإيجابية حول خدمات التموين! أعتقد أنها واحدة من أفضل الخدمات التي تقدمها الحكومة للمواطنين, خاصة في المناطق الشعبية مثل القاهرة والجيزة. أقدر كل الجهود المبذولة لتوفير الطعام بأسعار معقولة للجميع. شكرا لكم على دعمكم المستمر.",مؤسسة التعاون الغذائي,القاهرة,أنا سعيد جدا بتلقي التعليقات الإيجابية حول خدمات التموين أعتقد أنها واحدة من أفضل الخدمات التي تقدمها الحكومة للمواطنين خاصة في المناطق الشعبية مثل القاهرة والجيزة أقدر كل الجهود المبذولة لتوفير الطعام بأسعار معقولة للجميع شكرا لكم على دعمكم المستمر
1,"أنا مش راضي على خدمات التوزيع دي, دايما بتأخر وبيكون فيه نقص في السلع الأساسية. أنا عايز أحسن مما هو عليه دلوقتي.",الجمعية المصرية لتغليف الطعام,القاهرة,أنا مش راضي على خدمات التوزيع دي دايما بتأخر وبيكون فيه نقص في السلع الأساسية أنا عايز أحسن مما هو عليه دلوقتي
3,"بصراحة, أنا مش راضي على خدمات التموين هنا في المنيا. بنتنال خمس من خمسة! لازم يتحسنوا عشان نقدر نستفيد منهم بشكل حقيقي.",الجمعية المصرية لخدمات التموين,المنيا,بصراحة أنا مش راضي على خدمات التموين هنا في المنيا بنتنال خمس من خمسة لازم يتحسنوا عشان نقدر نستفيد منهم بشكل حقيقي
3,"أنا سعيد جدا بخدمتك يا سيدي, لكن الحقيقة مش زي ما بتقول. الخدمات هنا في محافظتنا ليست على المستوى المطلوب خالص. احنا بنحاول نحل المشكلة بس إحنا محتاجين دعم أكبر من الحكومة عشان نقدر نتغلب عليها. أتمنى يكون فيه تطوير قريب لأن ده حقنا وحاجة لازم نشوفها بسرعة.",الجمعية المصرية لخدمات التموين,المنيا,أنا سعيد جدا بخدمتك يا سيدي لكن الحقيقة مش زي ما بتقول الخدمات هنا في محافظتنا ليست على المستوى المطلوب خالص احنا بنحاول نحل المشكلة بس إحنا محتاجين دعم أكبر من الحكومة عشان نقدر نتغلب عليها أتمنى يكون فيه تطوير قريب لأن ده حقنا وحاجة لازم نشوفها بسرعة
5,"أنا سعيد جدا بخدمة التموين دي, لأنها بتوفر الأكل للناس اللي محتاجة وبتخلينا نرتاح مش بنزل الشارع كل يوم عشان نشتري أكل.",جمعية سند الخير,بني سويف,أنا سعيد جدا بخدمة التموين دي لأنها بتوفر الأكل للناس اللي محتاجة وبتخلينا نرتاح مش بنزل الشارع كل يوم عشان نشتري أكل
2,"أنا جايبة لك تعليق بسيط على خدمتي التمونية في المنصورة, بس مش راضيين يوصلوا لي الحاجات اللي أحتاجها صح?! ده لو كانوا عايزين يبلوني أحسن حاجة. هما ليه مضايقيني كل الوقت؟!",مكتب زهراء,الدقهلية,أنا جايبة لك تعليق بسيط على خدمتي التمونية في المنصورة بس مش راضيين يوصلوا لي الحاجات اللي أحتاجها صح ده لو كانوا عايزين يبلوني أحسن حاجة هما ليه مضايقيني كل الوقت
4,"أنا سعيد جدا بتقديم تعليقات على خدمات التموين في محافظة الجيزة! لقد كنت أستخدمها منذ فترة طويلة وكانت دائما رائعة بالنسبة لي. ولكن مؤخرا, لاحظت أنها بدأت تتراجع قليلا. أعتقد أنه يمكن تحسين الخدمات وجعلها أفضل بكثير. أتمنى لو أستطيع تغيير ذلك وأعمل بجد لتحقيقه. شكرا لك.",مكتب التموين,الجيزة,أنا سعيد جدا بتقديم تعليقات على خدمات التموين في محافظة الجيزة لقد كنت أستخدمها منذ فترة طويلة وكانت دائما رائعة بالنسبة لي ولكن مؤخرا لاحظت أنها بدأت تتراجع قليلا أعتقد أنه يمكن تحسين الخدمات وجعلها أفضل بكثير أتمنى لو أستطيع تغيير ذلك وأعمل بجد لتحقيقه شكرا لك
4,"أنا سعيد جدا بتلقي مثل هذا التقييم الممتاز للخدمة! لقد كنت أتطلع دائما لتقديم أفضل الخدمات للمواطنين المصريين, وأقدر حقا ملاحظتكم ودعمكم المستمرين. شكرا لك على إعطائي الفرصة لخدمة بلدي الحبيبة.",الجمعية التعاونية لإنتاج الأغذية,السويس,أنا سعيد جدا بتلقي مثل هذا التقييم الممتاز للخدمة لقد كنت أتطلع دائما لتقديم أفضل الخدمات للمواطنين المصريين وأقدر حقا ملاحظتكم ودعمكم المستمرين شكرا لك على إعطائي الفرصة لخدمة بلدي الحبيبة
3,أنا سعيد جدا بتقديم تعليقاتكم بخصوص خدمات التموين التي تقدمها الحكومة المصرية. يسعدنا دائما سماع آرائكم وتجاربكم لتحسين جودة الخدمات المقدمة لكم. شكرا لانضمامكم إلينا ونتطلع إلى الاستماع إليكم قريبا! #مصر_تنتصر,جمعية طيبة للإطعام,سوهاج,أنا سعيد جدا بتقديم تعليقاتكم بخصوص خدمات التموين التي تقدمها الحكومة المصرية يسعدنا دائما سماع آرائكم وتجاربكم لتحسين جودة الخدمات المقدمة لكم شكرا لانضمامكم إلينا ونتطلع إلى الاستماع إليكم قريبا مصرتنتصر
4,"أنا راض على خدمات التموين, بالرغم من بعض الصعوبات اللي واجهتني مع الباعة الجائلين لكن الحمد لله كانت تجربة جيدة.",مركز طهطا للتغذية,سوهاج,أنا راض على خدمات التموين بالرغم من بعض الصعوبات اللي واجهتني مع الباعة الجائلين لكن الحمد لله كانت تجربة جيدة
4,"أنا سعيد جدا بخدمة التوصيل في القليوبية, بس مش راضيين يوصلوا لي كل يوم بنفس الوقت! لو كانوا بيوصلوا على الساعة سبعة الصبح مثلا, هاكون شاكر لهم كتير!",مؤسسة طيبة للأغذية,القليوبية,أنا سعيد جدا بخدمة التوصيل في القليوبية بس مش راضيين يوصلوا لي كل يوم بنفس الوقت لو كانوا بيوصلوا على الساعة سبعة الصبح مثلا هاكون شاكر لهم كتير
3,"أنا مش راضيا خالص على خدمة التموين, فهي مش كويسة جدا وبطيئة ومليانة أخطاء. أنا عاوزين نحل مشاكلنا مع التموين ونخلص منها للأبد.",مكتب الطعام الصحي,القاهرة,أنا مش راضيا خالص على خدمة التموين فهي مش كويسة جدا وبطيئة ومليانة أخطاء أنا عاوزين نحل مشاكلنا مع التموين ونخلص منها للأبد
1,"أنا مش راضي على خدمة التوزيع دي, إحنا بنعاني منها بجد! يعني إيه نروح نستلم الطعام ونلاقيه بقاله? ده لو وصلنا أصلا!! أنا بقول كده عشان الناس تعرف الواقع اللي احنا عايشينه ومش عايزين نحط ايدينا في بعض تاني. #مصر_بتتألم",جمعية الغذاء الصحي,القاهرة,أنا مش راضي على خدمة التوزيع دي إحنا بنعاني منها بجد يعني إيه نروح نستلم الطعام ونلاقيه بقاله ده لو وصلنا أصلا أنا بقول كده عشان الناس تعرف الواقع اللي احنا عايشينه ومش عايزين نحط ايدينا في بعض تاني مصربتتألم
4,"في الحقيقة أنا مش راضيا على جودة الطعام اللي بيقدموه, يعني ممكن يكون كويس لو كان فيه رقابة أكتر عليهم.",مكتب التموين الدائم,دمياط,في الحقيقة أنا مش راضيا على جودة الطعام اللي بيقدموه يعني ممكن يكون كويس لو كان فيه رقابة أكتر عليهم
1,"أنا مش عارف أقول إيه على خدمات التموين, بس بصراحة هي بقت أسوأ مما كانت عليه قبل كده! الناس بتقول إن الأونان بيأكلوا نفس الأكل كل يوم وبيشتغلوا زي العبيد, وكمان الأسعار ارتفعت جدا. أتمنى لو الحكومة تفكر في حل لهذه المشكلة بدل ما تبقي تعذبنا بكلامها الفارغ.",جمعية طيبة للأغذية,المنوفية,أنا مش عارف أقول إيه على خدمات التموين بس بصراحة هي بقت أسوأ مما كانت عليه قبل كده الناس بتقول إن الأونان بيأكلوا نفس الأكل كل يوم وبيشتغلوا زي العبيد وكمان الأسعار ارتفعت جدا أتمنى لو الحكومة تفكر في حل لهذه المشكلة بدل ما تبقي تعذبنا بكلامها الفارغ
