stars,review,district,governorate,clean_review
1,"أنا مش عارف أقول لك إيه, ده فعلا أسوأ خدمة توصيل أكلت فيها حياتي كلها! كل يوم بتأخر الأكل بتاعنا وأنا لازم أروح لأقرب فرع علشان أحصل عليه, ولو كنت عايز أشتري حاجة تانية مع الأكل بيتعبوا معايا كمان! دي ليست مصر اللي إحنا نعرفها يا جماعة!",الجمعية المصرية لخدمات التموين,المنيا,أنا مش عارف أقول لك إيه ده فعلا أسوأ خدمة توصيل أكلت فيها حياتي كلها كل يوم بتأخر الأكل بتاعنا وأنا لازم أروح لأقرب فرع علشان أحصل عليه ولو كنت عايز أشتري حاجة تانية مع الأكل بيتعبوا معايا كمان دي ليست مصر اللي إحنا نعرفها يا جماعة
4,"أنا سعيد جدا بخدمة التموين في محافظتنا, لكن هناك بعض المشاكل اللي لازم تحل. مثلا, أحيانا بنلاقي حاجات ناقصة أو بتتأخر شوية على الوقت المحدد للتوصيل. وبصراحة, الأسعار مش قليلة زي ما بيكون المفروض. ولكن الحمد لله, نحن نقدر ونشكر كل العاملين في الشركة على مجهوداتهم الدؤوبة لتوفير احتياجاتنا اليومية.",مؤسسة هناء للضيافة,القاهرة,أنا سعيد جدا بخدمة التموين في محافظتنا لكن هناك بعض المشاكل اللي لازم تحل مثلا أحيانا بنلاقي حاجات ناقصة أو بتتأخر شوية على الوقت المحدد للتوصيل وبصراحة الأسعار مش قليلة زي ما بيكون المفروض ولكن الحمد لله نحن نقدر ونشكر كل العاملين في الشركة على مجهوداتهم الدؤوبة لتوفير احتياجاتنا اليومية
5,"بصراحة, أنا مبسوطة جدا بالخدمة دي! كانت سريعة وسهلة أوي, ومش هقول غير أنها فعلا تستحق الخمس نجوم اللي أعطيتهملها.",مكتب جمعية نور,القاهرة,بصراحة أنا مبسوطة جدا بالخدمة دي كانت سريعة وسهلة أوي ومش هقول غير أنها فعلا تستحق الخمس نجوم اللي أعطيتهملها
3,"أنا معجب جدا بخدمة التوصيل, لكنها تحتاج إلى تحسين بعض الشيء علشان يكون أفضل. أتمنى أنها تتحسن مع الوقت وتوصلنا لكل حاجة بنحتاجها. شكرا جزيلا لكم على تقديم هذا النوع الرائع من الخدمات للمواطنين المصريين.",مكتب الأمل,الإسماعيلية,أنا معجب جدا بخدمة التوصيل لكنها تحتاج إلى تحسين بعض الشيء علشان يكون أفضل أتمنى أنها تتحسن مع الوقت وتوصلنا لكل حاجة بنحتاجها شكرا جزيلا لكم على تقديم هذا النوع الرائع من الخدمات للمواطنين المصريين
5,أنا سعيد جدا بخدمتكم اليوم. لقد تلقيت الطعام الذي طلبته وأكله بالفعل. كان طعمه رائع والخدمة كانت ممتازة. شكرا جزيلا على حسن الضيافة!,مكتب التعاون الغذائي,الشرقية,أنا سعيد جدا بخدمتكم اليوم لقد تلقيت الطعام الذي طلبته وأكله بالفعل كان طعمه رائع والخدمة كانت ممتازة شكرا جزيلا على حسن الضيافة
5,"أنا سعيد جدا بخدمة التوصيل دي, أنا كنت محتاجها فعلا علشان أقدر أحضر حاجاتي من البيت وبس. ربنا يكرمكم.",اتحاد الغذاء الصحي,الإسكندرية,أنا سعيد جدا بخدمة التوصيل دي أنا كنت محتاجها فعلا علشان أقدر أحضر حاجاتي من البيت وبس ربنا يكرمكم
2,"أنا مش راضيا على الخدمة دي خالص, هي المفروض توفر لينا الحاجات الأساسية اللي بنحتاجها في حياتنا اليومية بس للأسف مفيش جودة ولا انتظام. هحاول أعمل شكوى وأطالب بتحسين الخدمات لأن ده حقنا كأهالي المنصورة.",مكتب سندس للتغذية,الدقهلية,أنا مش راضيا على الخدمة دي خالص هي المفروض توفر لينا الحاجات الأساسية اللي بنحتاجها في حياتنا اليومية بس للأسف مفيش جودة ولا انتظام هحاول أعمل شكوى وأطالب بتحسين الخدمات لأن ده حقنا كأهالي المنصورة
3,"أنا مش راضي تماما على الخدمات اللي بتقدمها الحكومة, خاصة بالنسبة للتغذية المدرسية. أنا شايف أنه لازم يتحسن الوضع ده علشان الأطفال يتعلموا بشكل أفضل. أتمنى أنهم ينتبهوا للموضوع ويعملوا حاجة تغير للأفضل.",مؤسسة التعاون الغذائي,القاهرة,أنا مش راضي تماما على الخدمات اللي بتقدمها الحكومة خاصة بالنسبة للتغذية المدرسية أنا شايف أنه لازم يتحسن الوضع ده علشان الأطفال يتعلموا بشكل أفضل أتمنى أنهم ينتبهوا للموضوع ويعملوا حاجة تغير للأفضل
1,"أنا مش راضيا على خدمة التموين في الأسكندرية, لأنها دايما متاخرة ومش بتقدم جودة عالية للأكل. ده لو كان موجود أصلا! أتمنى أنهم يحسنوا نفسهم ويتعاملوا مع الموضوع بجدية أكتر علشان نقدر نثق فيهم ونقدر نستمتع بالطعام اللي بيتوفرولهنا.",مكتب الرابطة,الإسكندرية,أنا مش راضيا على خدمة التموين في الأسكندرية لأنها دايما متاخرة ومش بتقدم جودة عالية للأكل ده لو كان موجود أصلا أتمنى أنهم يحسنوا نفسهم ويتعاملوا مع الموضوع بجدية أكتر علشان نقدر نثق فيهم ونقدر نستمتع بالطعام اللي بيتوفرولهنا
4,"أنا سعيد جدا بالتغذية الراجعة التي تلقيتها حول خدمتي للتوصيل في مصر, وأود أن أشكرك على وقتك لقراءة هذا التعليق. لقد قمت بتقييم الخدمة بـ 4/5 مما يعني أنك راضٍ بشكل عام عن جودة العمل الذي قدمته لك. أقدر حقا دعمكم وثقتك بي كمستخدم لخدمة التوصيل الخاصة بنا. نحن نسعى دائما لتقديم أفضل الخدمات لعملائنا الكرام مثل نفسك ونعمل بجد لتحسين خدماتنا باستمرار لتلبية احتياجات العملاء المختلفة. شكرا جزيلا لتفهمك وتعاونك معنا وأتمنى لك",شركة مروة للطعام,مطروح,أنا سعيد جدا بالتغذية الراجعة التي تلقيتها حول خدمتي للتوصيل في مصر وأود أن أشكرك على وقتك لقراءة هذا التعليق لقد قمت بتقييم الخدمة بـ مما يعني أنك راض بشكل عام عن جودة العمل الذي قدمته لك أقدر حقا دعمكم وثقتك بي كمستخدم لخدمة التوصيل الخاصة بنا نحن نسعى دائما لتقديم أفضل الخدمات لعملائنا الكرام مثل نفسك ونعمل بجد لتحسين خدماتنا باستمرار لتلبية احتياجات العملاء المختلفة شكرا جزيلا لتفهمك وتعاونك معنا وأتمنى لك
1,"أنا مش راضيا على خدمتكم, لأن الأكل اللي بتقدموه لينا بيتخزن كتير ومش طازج, وكمان الأسعار غالية جدا بالمقارنة بجودة الطعام. لو بتحسنوا من جودة وكمية الأطعمة وبتخفضوا الأسعار هعتبرها تجربة جيدة ونقدر نستفيد منها أكتر.",مكتب غذاء البحيرة,البحيرة,أنا مش راضيا على خدمتكم لأن الأكل اللي بتقدموه لينا بيتخزن كتير ومش طازج وكمان الأسعار غالية جدا بالمقارنة بجودة الطعام لو بتحسنوا من جودة وكمية الأطعمة وبتخفضوا الأسعار هعتبرها تجربة جيدة ونقدر نستفيد منها أكتر
5,"أنا سعيد جدآ بالخدمة التموينية اللي بنحصل عليها ف محافظتنا, مش عارفين ليه الناس بتحكي عنها كده! احنا نقدر ونقدر جدا على كل الخدمات اللي بيتم تقديمها لينا. شكرا للدولة والشعب على الدعم المستمر.",مكتب نور المتحدة للتموين,الشرقية,أنا سعيد جدآ بالخدمة التموينية اللي بنحصل عليها ف محافظتنا مش عارفين ليه الناس بتحكي عنها كده احنا نقدر ونقدر جدا على كل الخدمات اللي بيتم تقديمها لينا شكرا للدولة والشعب على الدعم المستمر
3,"أنا مش فاهم الكلام ده, هل ممكن تشرحلي إزاي أعمل كده?",مكتب زهراء,الجيزة,أنا مش فاهم الكلام ده هل ممكن تشرحلي إزاي أعمل كده
4,"أنا سعيد جدا بخدمة التموين في محافظتنا, لكن للأسف هي ليست الأفضل. رغم أنها تعمل بشكل جيد في بعض الأوقات, إلا أنه هناك أوقات أخرى يكون فيها التأخير وعدم الكفاءة واضح للغاية. أتمنى لو كان بإمكاننا الحصول على تحسينات أكثر لتحسين تجربة العملاء.",الجمعية المصرية لتغليف الطعام,القاهرة,أنا سعيد جدا بخدمة التموين في محافظتنا لكن للأسف هي ليست الأفضل رغم أنها تعمل بشكل جيد في بعض الأوقات إلا أنه هناك أوقات أخرى يكون فيها التأخير وعدم الكفاءة واضح للغاية أتمنى لو كان بإمكاننا الحصول على تحسينات أكثر لتحسين تجربة العملاء
1,"أنا مش فاهم اللي بيحصل ده! يعني إيه خدمة التموين بتكون واحدة من أسوأ الخدمات على الإطلاق? ليه الناس دي بتحب تقارن بينها وبين خدمات أحسن كتير بكتير? أنا شايف إنه لازم يكون هناك تغيير حقيقي, وليس مجرد كلام فارغ. إحنا محتاجين نستفيد حقنا ونعيش حياة كريمة, مش نكد وحياة تعب.",مكتب التموين الخير,الإسماعيلية,أنا مش فاهم اللي بيحصل ده يعني إيه خدمة التموين بتكون واحدة من أسوأ الخدمات على الإطلاق ليه الناس دي بتحب تقارن بينها وبين خدمات أحسن كتير بكتير أنا شايف إنه لازم يكون هناك تغيير حقيقي وليس مجرد كلام فارغ إحنا محتاجين نستفيد حقنا ونعيش حياة كريمة مش نكد وحياة تعب
3,"أنا مش راضيا جدا على خدمة التموين في الأسكندرية, لأنها دائما متأخرة وباردة أوي! لو كان لي الاختيار كنت اخترت مكان تانى عشان أحصل على أكل أفضل وأسرع.",الجمعية المصرية للغذاء,الإسكندرية,أنا مش راضيا جدا على خدمة التموين في الأسكندرية لأنها دائما متأخرة وباردة أوي لو كان لي الاختيار كنت اخترت مكان تانى عشان أحصل على أكل أفضل وأسرع
4,"الحمد لله على كل شيء, أنا راض تماما عن خدمات التموين هنا في المحافظة. بنعمل كويس ونبذل جهدنا علشان الناس تاخد حقها بدون مشاكل. ربنا يكرم الجميع.",مؤسسة التعاون الغذائي,القاهرة,الحمد لله على كل شيء أنا راض تماما عن خدمات التموين هنا في المحافظة بنعمل كويس ونبذل جهدنا علشان الناس تاخد حقها بدون مشاكل ربنا يكرم الجميع
3,أنا سعيد جدا لأنك استمتعت بالخدمة! أتمنى أن يكون لديك يوم رائع!,مكتب إمداد الأسكندرية,الإسكندرية,أنا سعيد جدا لأنك استمتعت بالخدمة أتمنى أن يكون لديك يوم رائع
1,"أنا مش راضيا عن خدمة التموين في محافظتنا, اللي بتقدم لنا السلع الأساسية زي الأرز والزيت والسكر والدقيق. حتى الآن حصلت على واحدة من خمس نجوم, لأن الأسعار مرتفعة جدا ومش بنقدر نشتري الحاجات كلها. أتمنى لو يتحسن الوضع ونحصل على خدمات أفضل بسعر مناسب لينا وللي حوالينا.",جمعية إطعام المجتمع,البحيرة,أنا مش راضيا عن خدمة التموين في محافظتنا اللي بتقدم لنا السلع الأساسية زي الأرز والزيت والسكر والدقيق حتى الآن حصلت على واحدة من خمس نجوم لأن الأسعار مرتفعة جدا ومش بنقدر نشتري الحاجات كلها أتمنى لو يتحسن الوضع ونحصل على خدمات أفضل بسعر مناسب لينا وللي حوالينا
4,"أنا سعيد بتقديم هذا النوع من التعليقات, ولكن بما أنني نموذج AI مبني على النص وليس لدي القدرة على الكتابة بالمعنى التقليدي للكلمة, فأنا بحاجة إلى نص مكتوب لي كتابة الرد. هل يمكنك تقديم مثال أكثر تحديدا على نوع الردود التي تريد مني كتابتها? يمكنني كتابة تعليقات حول مجموعة متنوعة من المواضيع مثل الطعام والثقافة والترفيه والسياسة وأكثر بكثير. بالإضافة إلى ذلك, سأكون سعيدا لتقديم ردود مكتوبة بأسلوب رسمي أو عامية أو أي شيء آخر تحتاجه. يرجى إعلامي!",مكتب الشروق للتوريدات الغذائية,القاهرة,أنا سعيد بتقديم هذا النوع من التعليقات ولكن بما أنني نموذج مبني على النص وليس لدي القدرة على الكتابة بالمعنى التقليدي للكلمة فأنا بحاجة إلى نص مكتوب لي كتابة الرد هل يمكنك تقديم مثال أكثر تحديدا على نوع الردود التي تريد مني كتابتها يمكنني كتابة تعليقات حول مجموعة متنوعة من المواضيع مثل الطعام والثقافة والترفيه والسياسة وأكثر بكثير بالإضافة إلى ذلك سأكون سعيدا لتقديم ردود مكتوبة بأسلوب رسمي أو عامية أو أي شيء آخر تحتاجه يرجى إعلامي
4,"أنا سعيد جدا بخدمة التموين في محافظتنا, لكن أعتقد أنها يمكن تحسينها شوية. على سبيل المثال, أحيانا بتكون الطلبات مش موجودة أو ناقصة, وبكده بيكون لازم الناس تروح تاني وتطلب أكتر. وأظن كمان لو كانت الأسعار أقل, هيبقى أفضل للناس اللي بتشتري كل أسبوع. شكرا لك!",مكتب غذاء,القاهرة,أنا سعيد جدا بخدمة التموين في محافظتنا لكن أعتقد أنها يمكن تحسينها شوية على سبيل المثال أحيانا بتكون الطلبات مش موجودة أو ناقصة وبكده بيكون لازم الناس تروح تاني وتطلب أكتر وأظن كمان لو كانت الأسعار أقل هيبقى أفضل للناس اللي بتشتري كل أسبوع شكرا لك
5,"أنا سعيد جدا بخدمة التموين دي, فعلا بتعملوا خير كبير للناس اللي محتاجين الدعم! أنا بشكر كل العاملين فيها على الجهد الكبير اللي بيتموه عشان الناس تقدر تستمتع بالطعام الصحي.",مكتب الخير,الإسكندرية,أنا سعيد جدا بخدمة التموين دي فعلا بتعملوا خير كبير للناس اللي محتاجين الدعم أنا بشكر كل العاملين فيها على الجهد الكبير اللي بيتموه عشان الناس تقدر تستمتع بالطعام الصحي
5,"أنا سعيد جدا بخدمة التموين في محافظتنا لأنها بتوفر لنا كل اللي نحتاجه بدون أي تعب ولا مجهود, ونقدر نقول أنها أفضل خدمة توصيل الطعام في مصر كلها!",جمعية سند الخير,بني سويف,أنا سعيد جدا بخدمة التموين في محافظتنا لأنها بتوفر لنا كل اللي نحتاجه بدون أي تعب ولا مجهود ونقدر نقول أنها أفضل خدمة توصيل الطعام في مصر كلها
5,"أنا سعيد جدا بالخدمة دي! إنها فعلا ممتازة, ربنا يبارك فيها ويبارك اللي بيقدموها. مش عايز أي حاجة تانية خالص! #البحيرة_تتميز #تحيا_مصر",مكتب الطعام الخير,البحيرة,أنا سعيد جدا بالخدمة دي إنها فعلا ممتازة ربنا يبارك فيها ويبارك اللي بيقدموها مش عايز أي حاجة تانية خالص البحيرةتتميز تحيامصر
3,"أنا زعلان جدا على خدمة التموين في القليوبية, مش عارف ليه بتحصل مشاكل كل مرة. الناس بتعمل طلبات وبتحتاجها ومش بيوصلوها! ده يعني إن إحنا بنعاني كتير علشان نأكل, ولازم الحكومة تهتم بالخدمة دي أكثر من كده. لو كان فيه حل لمشاكل التموين دي, هقولكم عليه فورا.",مؤسسة دوز,القليوبية,أنا زعلان جدا على خدمة التموين في القليوبية مش عارف ليه بتحصل مشاكل كل مرة الناس بتعمل طلبات وبتحتاجها ومش بيوصلوها ده يعني إن إحنا بنعاني كتير علشان نأكل ولازم الحكومة تهتم بالخدمة دي أكثر من كده لو كان فيه حل لمشاكل التموين دي هقولكم عليه فورا
5,"أنا سعيد جدا بخدمة التموين في الاسماعيلية, لأنها فعلا بتوفر لنا كل اللي محتاجينه ونقدر نستمتع ببيتنا بدون أي مشاكل. شكرا جزيلا لكل الناس اللي بتحب البلد وتعمل بجد عشان نبقى بخير.",مكتب الأمل,الإسماعيلية,أنا سعيد جدا بخدمة التموين في الاسماعيلية لأنها فعلا بتوفر لنا كل اللي محتاجينه ونقدر نستمتع ببيتنا بدون أي مشاكل شكرا جزيلا لكل الناس اللي بتحب البلد وتعمل بجد عشان نبقى بخير
3,"أنا سعيد لتقديم خدمات ممتازة للمواطنين المصريين الذين يعيشون في مدينة بورسعيد الجميلة. لكن للأسف, الخدمات التموينية ليست على المستوى المطلوب مقارنة بالمناطق الأخرى في مصر. أتمنى أن تتحسن الأمور قريبا وأن نحصل على أفضل جودة للخدمات المقدمة لنا كشعب. شكرا لكم.",مكتب زهراء التموين,بورسعيد,أنا سعيد لتقديم خدمات ممتازة للمواطنين المصريين الذين يعيشون في مدينة بورسعيد الجميلة لكن للأسف الخدمات التموينية ليست على المستوى المطلوب مقارنة بالمناطق الأخرى في مصر أتمنى أن تتحسن الأمور قريبا وأن نحصل على أفضل جودة للخدمات المقدمة لنا كشعب شكرا لكم
3,"أنا مش سعيد بالخدمة دي, لأن في بعض الأوقات بتكون بطيئة جدا ومفيش أي اهتمام بالموظفين. أتمنى أنهم يطوروا من أنفسهم ويحسنوا جودة الخدمة عشان نقدر نثق فيهم مرة تانية.",شركة بيست فودز,الإسكندرية,أنا مش سعيد بالخدمة دي لأن في بعض الأوقات بتكون بطيئة جدا ومفيش أي اهتمام بالموظفين أتمنى أنهم يطوروا من أنفسهم ويحسنوا جودة الخدمة عشان نقدر نثق فيهم مرة تانية
3,"أنا مش سعيد جدا بالخدمات التموينية اللي بنحصل عليها في البحيرة, أنا شايف إنها بتتأخر كتير وبتلقي مشاكل مستمرة, ونفسي نتحسن ونوصل لنقطة أحسن.",جمعية غذاء البركة,البحيرة,أنا مش سعيد جدا بالخدمات التموينية اللي بنحصل عليها في البحيرة أنا شايف إنها بتتأخر كتير وبتلقي مشاكل مستمرة ونفسي نتحسن ونوصل لنقطة أحسن
