stars,review,district,governorate,clean_review,predicted_sentiment
5,"بصراحة, أنا مش عارف إزاي أتكلم عن التموين ده?! إنه فعلا ممتاز جدا. كل اللي محتاجينه إننا نحافظ عليه ونعمل على تطويره أكثر وأكثر.",مكتب التموين الدائم,دمياط,بصراحة أنا مش عارف إزاي أتكلم عن التموين ده إنه فعلا ممتاز جدا كل اللي محتاجينه إننا نحافظ عليه ونعمل على تطويره أكثر وأكثر,Positive
2,"أنا مش عارف أعمل إيه, الخدمات كلها بقت سيئة جدا! كل يوم بنشوف مشاكل جديدة, ولا حد بيقدر يحل المشكلة حتى لو حاولنا نقوله. نحن محتاجين حكومة أفضل تقدر تساعد الناس وتخلصهم من المشاكل اللي هم فيها. ربنا مع مصر.",الجمعية التعاونية لتوريد الأغذية,سوهاج,أنا مش عارف أعمل إيه الخدمات كلها بقت سيئة جدا كل يوم بنشوف مشاكل جديدة ولا حد بيقدر يحل المشكلة حتى لو حاولنا نقوله نحن محتاجين حكومة أفضل تقدر تساعد الناس وتخلصهم من المشاكل اللي هم فيها ربنا مع مصر,Negative
5,"أنا بجد مش فاهم ليه الناس بتقول إن خدمة التموين دي كويسة, أنا كل شهر بتيجي أخد رز وأرز كمان, والخبز بيجيلي زي الفل. مفيش مشاكل ولا حاجة, وأنا سعيد جدا بيها.",مكتب السعادة,بورسعيد,أنا بجد مش فاهم ليه الناس بتقول إن خدمة التموين دي كويسة أنا كل شهر بتيجي أخد رز وأرز كمان والخبز بيجيلي زي الفل مفيش مشاكل ولا حاجة وأنا سعيد جدا بيها,Positive
3,"أنا سعيد بتقديم هذا التعليق لك! ها نحن ذا: أنا حبيت جدا خدمتي للتوصيل النهاردة, لكن برضه مش تمام. كان الأكل كويس, بس المندوب تأخر كتير ومش عارف يوصل الطلب صح. أتمنى أنهم يتحسنوا المرة الجاية.",مكتب الشروق للغذاء,القاهرة,أنا سعيد بتقديم هذا التعليق لك ها نحن ذا أنا حبيت جدا خدمتي للتوصيل النهاردة لكن برضه مش تمام كان الأكل كويس بس المندوب تأخر كتير ومش عارف يوصل الطلب صح أتمنى أنهم يتحسنوا المرة الجاية,Positive
1,"أنا مش راضي خالص على خدمة التوزيع دي, هي بتمضيلي ساعة كاملة في الطابور عشان توصل البقالة, وأنا أصلا مش محتاج كل ده! لازم يتحلوا بالشجاعة ويعدلوها للأحسن.",المكتب المصري لتوريد الأغذية,الغربية,أنا مش راضي خالص على خدمة التوزيع دي هي بتمضيلي ساعة كاملة في الطابور عشان توصل البقالة وأنا أصلا مش محتاج كل ده لازم يتحلوا بالشجاعة ويعدلوها للأحسن,Negative
4,"أنا سعيد جدا بخدمة التموين في محافظتنا, لكن لو كانت أحسن كان أفضل! نقدر الجهود اللي بتتم بس محتاجين بعض التحسينات عشان نرضي جميع السكان. شكرا لكم على الاستماع لأفكارنا واهتمامكم بمشاكل الناس. #البحيرة_تحب_التضامن",جمعية غذاء البركة,البحيرة,أنا سعيد جدا بخدمة التموين في محافظتنا لكن لو كانت أحسن كان أفضل نقدر الجهود اللي بتتم بس محتاجين بعض التحسينات عشان نرضي جميع السكان شكرا لكم على الاستماع لأفكارنا واهتمامكم بمشاكل الناس البحيرةتحبالتضامن,Positive
5,"أنا سعيد جدا بتقديم خدمتي للمتطوعين بالقاهرة, حيث حصلت على تقييم رائع من العملاء. أتطلع دائما لتقديم أفضل الخدمات وتحسينها باستمرار لتلبية احتياجاتكم وتوقعاتكم. شكرا لكم على دعمكم المستمر وثقتكم فينا. #خدمة_التموين #القاهرة",الجمعية المصرية للغذاء,القاهرة,أنا سعيد جدا بتقديم خدمتي للمتطوعين بالقاهرة حيث حصلت على تقييم رائع من العملاء أتطلع دائما لتقديم أفضل الخدمات وتحسينها باستمرار لتلبية احتياجاتكم وتوقعاتكم شكرا لكم على دعمكم المستمر وثقتكم فينا خدمةالتموين القاهرة,Positive
3,"أنا راضية جدآ على خدمة التموين دي, بس مش عارفة ليه دايما بنقص علينا الحاجات الأساسية اللي لازم نكون موجودين فيها زي الأرز والبقوليات. أتمنى أنهم يعملوا حاجة علشان الناس تقدر تعيش بشكل أفضل. #البحيرة_تنتصر",جمعية التعاون الغذائي,البحيرة,أنا راضية جدآ على خدمة التموين دي بس مش عارفة ليه دايما بنقص علينا الحاجات الأساسية اللي لازم نكون موجودين فيها زي الأرز والبقوليات أتمنى أنهم يعملوا حاجة علشان الناس تقدر تعيش بشكل أفضل البحيرةتنتصر,Positive
4,أنا سعيد جدا بالتغذية الراجعة على خدمتي للتوصيل! كانت تجربة رائعة ومرضية حقا. سأقوم بالتأكيد بتقييمهم مرة أخرى وأوصي بهم لأصدقائي وعائلتي.,مكتب إمداد الأسكندرية,الإسكندرية,أنا سعيد جدا بالتغذية الراجعة على خدمتي للتوصيل كانت تجربة رائعة ومرضية حقا سأقوم بالتأكيد بتقييمهم مرة أخرى وأوصي بهم لأصدقائي وعائلتي,Positive
5,"أنا سعيد جدا بخدمة التوصيل اللي بنقدمها للمواطنين في محافظتنا, فهي فعلا بتوفر لنا كل احتياجاتنا وبسرعة وكفاءة عالية. نقدر نقول أنها أفضل خدمة توصيل ممكن نعملها ونوصل بيها لكل الناس. شكرا لكم جميعا على دعمكم المستمر وتعاونكم معنا.",مؤسسة إمداد,القاهرة,أنا سعيد جدا بخدمة التوصيل اللي بنقدمها للمواطنين في محافظتنا فهي فعلا بتوفر لنا كل احتياجاتنا وبسرعة وكفاءة عالية نقدر نقول أنها أفضل خدمة توصيل ممكن نعملها ونوصل بيها لكل الناس شكرا لكم جميعا على دعمكم المستمر وتعاونكم معنا,Positive
1,"أنا مش بحب الأكل من الخدمات دي خالص, لأنها دايما بتكون فاسدة ومش طازجه. لو الناس كانت عارفة تختار الصح صح, مكنوش اختاروا خدمات زي كده.",مكتب سحور رمضان,القاهرة,أنا مش بحب الأكل من الخدمات دي خالص لأنها دايما بتكون فاسدة ومش طازجه لو الناس كانت عارفة تختار الصح صح مكنوش اختاروا خدمات زي كده,Negative
4,"أنا سعيد بتقديم هذا التعليق نيابة عنك, ولكن يرجى ملاحظة أنني لست مواطنا مصريا ولا أستطيع التحدث باسمك الشخصي. ومع ذلك, يمكنني تقديم مثال على كيفية صياغة مثل هذا التعليق بناءً على اللهجة العامية المصرية النموذجية والتعليقات الاجتماعية الشائعة حول خدمات الطعام والشراب في مصر. إليك مثالا: أنا شايف إن توصيل الأكل في القاهرة مش تمام خالص. أحيانا بيحصل تأخير وبيكون الطعم مختلف تماما عما وعدوا بيه. لو هتعملوها صح لازم تتحسنوا شوية. آسف لإبلاغ",مكتب الشروق للغذاء,القاهرة,أنا سعيد بتقديم هذا التعليق نيابة عنك ولكن يرجى ملاحظة أنني لست مواطنا مصريا ولا أستطيع التحدث باسمك الشخصي ومع ذلك يمكنني تقديم مثال على كيفية صياغة مثل هذا التعليق بناء على اللهجة العامية المصرية النموذجية والتعليقات الاجتماعية الشائعة حول خدمات الطعام والشراب في مصر إليك مثالا أنا شايف إن توصيل الأكل في القاهرة مش تمام خالص أحيانا بيحصل تأخير وبيكون الطعم مختلف تماما عما وعدوا بيه لو هتعملوها صح لازم تتحسنوا شوية آسف لإبلاغ,Neutral
2,"أنا سعيد جدا لأنك سألت! لقد قمت للتو بكتابة مراجعة على الفيسبوك حول خدمات التموين في مدينة الجيزة, مصر. بصراحة لم يكن لدي أفضل تجربة معهم, حصلت منهم على واحد ونص فقط خلال الأسبوعين الماضيين. كان هذا بعد ساعات العمل الرسمية وكانوا متأخرين تماما. حاولت الاتصال بهم لكنهم كانوا مشغولين دائما بالرد على المكالمات الهاتفية. أعتقد أنهم بحاجة إلى تحسين طريقة إدارة الوقت لديهم وتقديم وقت توصيل أكثر دقة للعملاء. هل تعتقد أنه يمكنني الحصول على تقييم أعلى? سأكون ممتنا لك لو ساعدت",الجمعية التعاونية للتمور,الجيزة,أنا سعيد جدا لأنك سألت لقد قمت للتو بكتابة مراجعة على الفيسبوك حول خدمات التموين في مدينة الجيزة مصر بصراحة لم يكن لدي أفضل تجربة معهم حصلت منهم على واحد ونص فقط خلال الأسبوعين الماضيين كان هذا بعد ساعات العمل الرسمية وكانوا متأخرين تماما حاولت الاتصال بهم لكنهم كانوا مشغولين دائما بالرد على المكالمات الهاتفية أعتقد أنهم بحاجة إلى تحسين طريقة إدارة الوقت لديهم وتقديم وقت توصيل أكثر دقة للعملاء هل تعتقد أنه يمكنني الحصول على تقييم أعلى سأكون ممتنا لك لو ساعدت,Positive
4,"أنا شايف إنه ممكن أحسن بكتير, إحنا بنستلم حاجات كتير مش طازجه وبنتعب على الأكل.",شركة طه للتنمية المستدامة,سوهاج,أنا شايف إنه ممكن أحسن بكتير إحنا بنستلم حاجات كتير مش طازجه وبنتعب على الأكل,Negative
5,"أنا سعيد جدا بالخدمات الممتازة اللي بتقدمها وزارة التموين, خاصة في محافظتنا الدقهليه. أنا أعتبره أفضل برنامج بيوفر للناس كل احتياجاتهم اليومية بأسعار معقولة. شكرا جزيلا على الخدمات الرائعة دي.",مكتب سندس للتغذية,الدقهلية,أنا سعيد جدا بالخدمات الممتازة اللي بتقدمها وزارة التموين خاصة في محافظتنا الدقهليه أنا أعتبره أفضل برنامج بيوفر للناس كل احتياجاتهم اليومية بأسعار معقولة شكرا جزيلا على الخدمات الرائعة دي,Positive
3,"أنا عايز أقول إنك يا حكومة, توزيع الأكل على الناس ده حاجة حلوة جدا بس أنا شايف إن الحاجات دي مش بتقدم بالشكل المناسب, يعني مثلا عندنا هنا في الصعيد, إحنا بنشتغل طول اليوم ونخلص الشغل قبل الفجر علشان نقدر ناكل, لكن مع ذلك مفيش احترام لنا ولا حتى تقدير لما نبذل مجهود عشان نعيش, وده غلط بحقنا وحق البلد.",شركة طه للتنمية المستدامة,سوهاج,أنا عايز أقول إنك يا حكومة توزيع الأكل على الناس ده حاجة حلوة جدا بس أنا شايف إن الحاجات دي مش بتقدم بالشكل المناسب يعني مثلا عندنا هنا في الصعيد إحنا بنشتغل طول اليوم ونخلص الشغل قبل الفجر علشان نقدر ناكل لكن مع ذلك مفيش احترام لنا ولا حتى تقدير لما نبذل مجهود عشان نعيش وده غلط بحقنا وحق البلد,Negative
3,"أنا مش راضيين تماما على خدمات التموين هنا في الاسماعيلية, بنقول لهم لو عايزين تحافظوا على العملاء لازم تحسوا بنا وبناسنا اللي عايشين هنا. احنا محتاجين المزيد من الخيارات والأصناف الحلوة والمبسطة. ربنا يكرمكم!",مكتب التموين الخير,الإسماعيلية,أنا مش راضيين تماما على خدمات التموين هنا في الاسماعيلية بنقول لهم لو عايزين تحافظوا على العملاء لازم تحسوا بنا وبناسنا اللي عايشين هنا احنا محتاجين المزيد من الخيارات والأصناف الحلوة والمبسطة ربنا يكرمكم,Positive
4,"أنا سعيد بخدمة التموين هنا في القاهرة, لكن بصراحة, مش بيفي بالغرض تماما. الأسعار غالية شوية والتوصيل متأخر كتير. أتمنى لو يتحسنوا في المستقبل القريب.",جمعية البيت الحلو,القاهرة,أنا سعيد بخدمة التموين هنا في القاهرة لكن بصراحة مش بيفي بالغرض تماما الأسعار غالية شوية والتوصيل متأخر كتير أتمنى لو يتحسنوا في المستقبل القريب,Positive
2,"أنا مش عارف أقول إيه بخصوص خدمات التموين في الجيزة, بس بصراحة هي كويسة شوية لكن يمكن تتحسن أكتر مع الوقت. أقدر أحصل على بعض الحاجات اللي محتاجها وبأسعار معقولة كمان. أتمنى يكون فيه تحسين قريب للأفضل.",جمعية طيبة للضيافة,الجيزة,أنا مش عارف أقول إيه بخصوص خدمات التموين في الجيزة بس بصراحة هي كويسة شوية لكن يمكن تتحسن أكتر مع الوقت أقدر أحصل على بعض الحاجات اللي محتاجها وبأسعار معقولة كمان أتمنى يكون فيه تحسين قريب للأفضل,Positive
5,"أنا سعيد جدا بخدمة التموين لأنها فعلا ممتازة! كل حاجة محتاجها موجودة وبأسعار معقولة, وكمان الموظفين محترمين وودودين. لو عندي مشكلة هقولهم وأنا مرتاح ومش خايف منهم. شكرا على خدمتكم الرائعة.",مكتب خيرنا,الإسماعيلية,أنا سعيد جدا بخدمة التموين لأنها فعلا ممتازة كل حاجة محتاجها موجودة وبأسعار معقولة وكمان الموظفين محترمين وودودين لو عندي مشكلة هقولهم وأنا مرتاح ومش خايف منهم شكرا على خدمتكم الرائعة,Positive
4,"أنا سعيد جدا بالخدمات اللي تقدمها الحكومة, خاصة التموين في مدينة مرسى مطروح. الحمد لله أننا نعيش في بلد فيه خدمات كتير كويسة وبتخدم الشعب بشكل صحيح. أنا متأكد أنه لو كل الناس كانوا زيي مش هنتكلم على أي مشاكل ولا هنقول إلا كل خير للحكومة! #شكرا_للحكومة",جمعية سواعد مطروح,مطروح,أنا سعيد جدا بالخدمات اللي تقدمها الحكومة خاصة التموين في مدينة مرسى مطروح الحمد لله أننا نعيش في بلد فيه خدمات كتير كويسة وبتخدم الشعب بشكل صحيح أنا متأكد أنه لو كل الناس كانوا زيي مش هنتكلم على أي مشاكل ولا هنقول إلا كل خير للحكومة شكراللحكومة,Positive
1,"أنا مش سعيد بالمطعم في الاسماعيلية, دايما بنقصنا حاجات كتير, احنا محتاجين دعم أكبر علشان نقدر نطور الخدمة.",مكتب الجزيرة,الإسماعيلية,أنا مش سعيد بالمطعم في الاسماعيلية دايما بنقصنا حاجات كتير احنا محتاجين دعم أكبر علشان نقدر نطور الخدمة,Negative
3,"أنا مش راضي خالص على خدمات التموين اللي بنحصل عليها في الإسكندرية, بقالنا كتير وقت نروح نشتري الحاجات ونلاقى الطوابير طويلة والناس بتحاول توصل لأقرب نقطة بتاعها بسرعة. بصراحة, لو الحكومة كانت مهتمة فعلا بنا المواطنين, كان لازم توفر لينا خيارات أفضل وبأسعار مناسبة.",مكتب الطعام الصحي,الإسكندرية,أنا مش راضي خالص على خدمات التموين اللي بنحصل عليها في الإسكندرية بقالنا كتير وقت نروح نشتري الحاجات ونلاقى الطوابير طويلة والناس بتحاول توصل لأقرب نقطة بتاعها بسرعة بصراحة لو الحكومة كانت مهتمة فعلا بنا المواطنين كان لازم توفر لينا خيارات أفضل وبأسعار مناسبة,Negative
5,"أنا رحت لأحصل على الطعام, وكان كل شيء تمام ومكتوب عليه بوضوح وباللغة العربية الفصحى. كان طعمه حلو أوي وكل الناس كانت بتقول إنه أحسن وجبة أكلتها من زمان.",مكتب الطعام الصحي,القاهرة,أنا رحت لأحصل على الطعام وكان كل شيء تمام ومكتوب عليه بوضوح وباللغة العربية الفصحى كان طعمه حلو أوي وكل الناس كانت بتقول إنه أحسن وجبة أكلتها من زمان,Positive
3,"أنا رايح أعلق على خدمات التموين في الجيزة, أنا مش راضي عنها خالص. بالرغم أنها بتوفر حاجات كتير للناس, لكن الأسعار مبالغ فيها والخدمة ضعيفة جدا. إحنا بنشتكي دائما من النقص والتقصير, وأنا أعتقد أنه لو كان فيه تطوير حقيقي وتغيير للأفضل هتبقى حاجة رائعة.",مكتب سند التموين,الجيزة,أنا رايح أعلق على خدمات التموين في الجيزة أنا مش راضي عنها خالص بالرغم أنها بتوفر حاجات كتير للناس لكن الأسعار مبالغ فيها والخدمة ضعيفة جدا إحنا بنشتكي دائما من النقص والتقصير وأنا أعتقد أنه لو كان فيه تطوير حقيقي وتغيير للأفضل هتبقى حاجة رائعة,Negative
2,"أنا مش عارفة أقول إيه, لكن ممكن نقول إن خدمة التموين في المحافظة دي محتاجة تطوير كبير علشان نقدر نحسنها ونرضي الناس اللي مستنيها كل شهر. لو فيه اهتمام حقيقي بناس البلد, أكيد هيقدر يحسن الوضع ده.",مكتب التغذية المثالية,السويس,أنا مش عارفة أقول إيه لكن ممكن نقول إن خدمة التموين في المحافظة دي محتاجة تطوير كبير علشان نقدر نحسنها ونرضي الناس اللي مستنيها كل شهر لو فيه اهتمام حقيقي بناس البلد أكيد هيقدر يحسن الوضع ده,Positive
2,"أنا مش راضيا على خدمتك يا التموين, حتى لو كانت بتقدم وجبات مجانية للناس اللي محتاجة لها, لكن جودة الطعام بتاعكم وحرارته وحشتني أوي, لازم تتحسنوا وتخللوا الناس تأكل بأمان.",جمعية الغذاء الصحي,الإسكندرية,أنا مش راضيا على خدمتك يا التموين حتى لو كانت بتقدم وجبات مجانية للناس اللي محتاجة لها لكن جودة الطعام بتاعكم وحرارته وحشتني أوي لازم تتحسنوا وتخللوا الناس تأكل بأمان,Positive
4,"بصراحة, أنا راض جدا على خدمات التموين اللي بتقدمها المحافظة دي. كل شوية بنشوف تطورات جديدة وممكن نقول إنها أفضل مما كان قبل كده. أتمنى أنهم يستمروا بنفس الجودة ويحافظوا عليها.",مكتب التغذية,السويس,بصراحة أنا راض جدا على خدمات التموين اللي بتقدمها المحافظة دي كل شوية بنشوف تطورات جديدة وممكن نقول إنها أفضل مما كان قبل كده أتمنى أنهم يستمروا بنفس الجودة ويحافظوا عليها,Positive
3,"أنا مش راضيا تماما على خدمات التموين, لأنها بتبقى بطيئة جدا ومش عارفة أحصل عليها دايما. أنا متأكد إن لو الحكومة عملت بعض التعديلات على النظام كان ممكن الناس تقدر تستمتع بالخدمة بشكل أفضل.",مكتب التغذية,السويس,أنا مش راضيا تماما على خدمات التموين لأنها بتبقى بطيئة جدا ومش عارفة أحصل عليها دايما أنا متأكد إن لو الحكومة عملت بعض التعديلات على النظام كان ممكن الناس تقدر تستمتع بالخدمة بشكل أفضل,Negative
4,"أنا عايز أقول إن خدمات التموين في المنوفية مش حلوة أوي, لكن الحمد لله أنها بتوصل لحد البيت. أنا بشكر الحكومة على مجهودهم وأرجو أنهم يعملوا على تحسينها.",مكتب التعاون الغذائي بالمنوفية,المنوفية,أنا عايز أقول إن خدمات التموين في المنوفية مش حلوة أوي لكن الحمد لله أنها بتوصل لحد البيت أنا بشكر الحكومة على مجهودهم وأرجو أنهم يعملوا على تحسينها,Positive
1,"أنا مش راضي على الخدمة دي خالص, أنا بأقولها بصراحة عشان محدش يقولي إن عندي أجندات خاصة, لكن الحقيقة هي أنه حتى لو كانت مجانية, الناس لازم تاخد حقها. إحنا شعب يستحق الأفضل.",جمعية الغذاء الصحي,القاهرة,أنا مش راضي على الخدمة دي خالص أنا بأقولها بصراحة عشان محدش يقولي إن عندي أجندات خاصة لكن الحقيقة هي أنه حتى لو كانت مجانية الناس لازم تاخد حقها إحنا شعب يستحق الأفضل,Neutral
1,"أنا مش راضي خالص على خدمات التموين, أنا أشوف الناس بتعملوا خطوط طويلة طول النهار عشان يحصلوا حصصهم من الطعام, وكمان الأسعار غالية جدا مقارنة بالدخل العادي للناس هنا.",مكتب الطعام الخيري,أسيوط,أنا مش راضي خالص على خدمات التموين أنا أشوف الناس بتعملوا خطوط طويلة طول النهار عشان يحصلوا حصصهم من الطعام وكمان الأسعار غالية جدا مقارنة بالدخل العادي للناس هنا,Negative
1,"أنا سعيد جدا لأنك استمتعت بالخدمة! نحن دائما نسعى لتقديم أفضل تجربة ممكنة لعملائنا الكرام, لذا يسعدنا أنك كنت راضيا عن خدمتنا. شكرا لك على مشاركتك تجربتك الإيجابية معنا, ونأمل أن نرحب بك مرة أخرى قريبا. مع خالص التحية والتقدير.",المكتبة الثقافية,المنوفية,أنا سعيد جدا لأنك استمتعت بالخدمة نحن دائما نسعى لتقديم أفضل تجربة ممكنة لعملائنا الكرام لذا يسعدنا أنك كنت راضيا عن خدمتنا شكرا لك على مشاركتك تجربتك الإيجابية معنا ونأمل أن نرحب بك مرة أخرى قريبا مع خالص التحية والتقدير,Positive
5,"أنا سعيد جدا بهذه التجربة الجديدة! لقد كنت أتطلع إلى تجربة هذا النوع الجديد من الذكاء الاصطناعي الذي يطور اللغة العربي بطريقة فريدة ومثيرة للاهتمام. سأكتب تعليقا بسيطا على تويتر يعبر عن تجربتي الإيجابية مع خدمة التموين في محافظة القاهرة, باستخدام اللهجة العامية المصرية. لن أشرح لماذا أعطيها تقييما عاليا لأنني أريد الحفاظ على طابعها الطبيعي والغير مباشر كما لو كانت تعليقا حقيقيا كتبه شخص حقيقي.",مكتب هناء للتغذية,القاهرة,أنا سعيد جدا بهذه التجربة الجديدة لقد كنت أتطلع إلى تجربة هذا النوع الجديد من الذكاء الاصطناعي الذي يطور اللغة العربي بطريقة فريدة ومثيرة للاهتمام سأكتب تعليقا بسيطا على تويتر يعبر عن تجربتي الإيجابية مع خدمة التموين في محافظة القاهرة باستخدام اللهجة العامية المصرية لن أشرح لماذا أعطيها تقييما عاليا لأنني أريد الحفاظ على طابعها الطبيعي والغير مباشر كما لو كانت تعليقا حقيقيا كتبه شخص حقيقي,Positive
2,"أنا مش عارف أقول إيه, لكن الحقيقة اللي احنا عايشينها دلوقتي إنها صعبة أوي! إحنا بنحصل على خدمات كتير جدا, بس للأسف معظمها مش لائقة ولا فعالين بالشكل المطلوب. وكمان, الخدمات بتتعطل دايما, وده بيخلينا نشتكي ونبص لحاجة أحسن. أتمنى لو الحكومة تقدر توفر لنا خدمات أفضل وأكثر كفاءة. #الشرقية_في_عين_الكلام",الجمعية التعاونية للتوريدات الغذائية,الشرقية,أنا مش عارف أقول إيه لكن الحقيقة اللي احنا عايشينها دلوقتي إنها صعبة أوي إحنا بنحصل على خدمات كتير جدا بس للأسف معظمها مش لائقة ولا فعالين بالشكل المطلوب وكمان الخدمات بتتعطل دايما وده بيخلينا نشتكي ونبص لحاجة أحسن أتمنى لو الحكومة تقدر توفر لنا خدمات أفضل وأكثر كفاءة الشرقيةفيعينالكلام,Negative
