product_id,product_name,AVG_price,AVG_rates,num_pos_reviews,num_nat_reviews,num_neg_reviews,total_reviews
B0CCH9M3FF,"Anker soundcore Liberty 4 NC Wireless Noise Cancelling Earbuds, Adaptive Noise Cancelling to Ears and Environment, Hi-Res Sound, 50H Battery, Wireless Charging, Bluetooth 5.3 - White",2688.0,3.25,43,6,26,75
B0CDM94MJL,"HUAWEI FreeBuds SE 2, 40-Hour Battery Life, Compact and Comfortable to Grip, 3 Hours of Music Playback on a 10-Minute Charge, IP54 Dust & Splash Resistance, Isle Blue",1087.0,3.5,41,6,17,64
B0CFXMZRGV,"Soundcore Liberty 4 NC Earbuds, 98.5 Percent Noise Reduction, Adaptive Cancelling To Ears And Environment, Hi-Res Sound, 50H Battery, Wireless Charging, Bluetooth 5.3 Navy Blue -18 Months Warranty",3150.0,3.39,22,5,9,36
B0CH8H6ZL6,Joyroom JR-T03S Pro 3rd Generation Jerry version Normal Quality TWS Bluetooth Headset Support Wireless charge pop-up and noise reduction - White,599.0,3.22,39,10,23,72
B0CHWWMCSF,"Wireless Earbuds (PRO 2nd generation) Bluetooth for Android/iOS with Touch Control, Noise Canceling, Charging case",285.0,2.1,13,6,31,50
B0CM6JQHTL,"Soundcore By Anker R50i True Wireless Earbuds 10mm Drivers, Big Bass, Bluetooth 5.3, 30H Playtime, IPX5-Water Resistant, AI Clear Calls with 2 Mics, 22 Preset EQs via App, Black, 18 Months Warranty",749.0,3.74,61,5,10,76
B0CPLYCC3N,"Soundcore By Anker R50i True Wireless Earbuds 10mm Drivers with Big Bass, Bluetooth 5.3, 30H Playtime, IPX5-Water Resistant, AI Clear Calls with 2 Mics, 22 Preset EQs via App,Blue, 18 Months Warranty",844.0,3.93,46,4,9,59
B0CPW22HTD,Earbuds with Bluetooth Headset,330.0,1.87,7,1,15,23
B0CSZ4W59B,Wireless Earbuds Bluetooth 5.3 Headphones Deep Bass with Mic 140H Playtime LED Display with Charging Case IPX4 Waterproof Stereo Earphones In-Ear CVC 8.0 Noise Reduction Headset For Sport/Work M90 Pro,220.0,3.13,29,8,19,56
B0CVVBP6R8,"AirPods Pro 2 Plus Bluetooth Headset with Active Noise Cancelling Wireless Charging Case (White, True Wireless) in Ear",320.0,2.57,39,14,41,94
B0CVXQ31DZ,"Air Puds Pro Wireless Bluetooth Earbuds With Charging Case, Noise Cancelling, in-Ear Mic, IPX5 Waterproof for iPhone/Android/Airpod Pro",308.0,1.94,9,2,20,31
B0CX9HJ4C1,"Infinix-Buds Neo-XE26 Black V5.3 Bluetooth Earbuds, AI ENC Clear Calls & Sound with 4 Mics, ENC Noise Cancellation, 28 hrs Battery Life, 40/500 mAh, IPX4 Water Resistant, 1 Year Warranty.",599.0,2.79,9,5,5,19
B0D22RLPP3,"Soundcore K20i by Anker, Semi-in-Ear Earbuds, Bluetooth Wireless, 36H Playtime, Fast Charge, Clear Sound, ENC 2-Mic Clear Calls, Custom EQ, IPX5, Bluetooth 5.3, App Control (Black) 18 Months Warranty",660.0,2.67,33,10,39,82
B0D2XRXNGY,"Soundcore V20i by Anker Open-Ear Headphones, Adjustable Ear Hooks, Ultra-Comfort, Snug Fit, Powerful Sound, Clear Calls, LED Lights, 36H Playtime, Bluetooth 5.4 Earbuds, Black - 18 Months Warranty",1436.0,3.96,19,1,6,26
B0D35JN2JH,"HUAWEI FreeBuds 6i, Intelligent Dynamic ANC 3.0, Punchy Bass, Fast Charging, Longer Listening, Distraction-Free Calling, IP54 Sweat- and Water-resistance, Dual-Device Connection, White",2662.0,4.08,20,1,3,24
B0D54298JX,"CMF by Nothing Buds Pro 2, Premium Noise-Canceling Wireless Earbuds, Deep Bass, IP55 Water Resistance, Dark Grey",2899.0,4.5,10,0,2,12
B0D6BPY3SC,"Soundcore By Anker R50i NC True Wireless Earbuds 10mm Drivers with Big Bass, Bluetooth 5.3, 45H Playtime, IP54, AI Clear Calls with 4 Mics, 22 Preset EQs via App-Black, 18 Months Warranty",1264.0,4.12,67,9,6,82
B0D8LGZSXW,"Samsung Galaxy Buds3, Silver, Wireless Bluetooth Earbuds with Adaptive EQ/ANC, Hi-Fi Sound, 360 Audio, 1 Year Local Warranty",3742.0,2.86,11,1,10,22
B0D8LHSKTX,"Samsung Galaxy Buds3 Pro, Wireless Bluetooth Earbuds with Adaptive: Noise Control, Hi-Fi Sound, 360 Audio-Silver - 1 Year Local Warranty",5949.0,3.67,30,5,10,45
B0D8V4J2Y2,"Samsung Galaxy Buds3 Pro, Silver, Wireless Bluetooth In-Ear Headphones, Adaptive Noise Control, Hi-Fi Sound, 360 Audio (Samsung Turkey Guaranteed)",5950.0,5.0,2,0,0,2
B0DB1V1HNC,"Jxrev USB C Headphones,Type C Wired Earbuds, in-Ear Headphones with Microphone Noise Canceling Stereo, Earphones Compatible with iPhone 15/Samsung S23/Android/iPad Pro and Most USB C Devices",118.0,2.65,10,1,12,23
B0DBHRWRKC,"Xiaomi Wireless Earphones, Redmi buds 6 Play, 36 Hours Playtime, AI Call Noise Reduction, Ultra Lightweight, Compatible with Google Fast Pair, Fast Charging, Black |6 month manufacturer warranty",665.0,4.4,71,5,7,83
B0DCBTWXLM,"soundcore Liberty 4 Pro by Anker, Noise Cancelling Wireless Earbuds, 7-Sensor and Real-Time Adaptive Noise Cancelling, 2× Faster Charging, Studio-Level Hi-Fi Music, Clear Calls with 6 Mics and AI",4300.0,3.8,10,0,5,15
B0DCVPY1LV,"soundcore by Anker R50i VI True Wireless Earbuds, 10mm Drivers with Big Bass, Bluetooth 5.3, 30H Long Playtime, Water-Resistant, 2 Mics for AI Clear Calls, 22 Preset EQs, Black - 18 Months Warranty",848.0,2.88,5,1,2,8
B0DHHDRCVQ,"Oraimo Necklace Lite OEB-311 Neckband Wireless in Ear Earphones Deep Bass,30Hrs Playtime,ASAP Charge,ENC Tech,Low-Latency Ergonomic Neckband, Sweat-Resistant Magnetic Earbuds, Dual Pairing",664.0,3.68,18,1,6,25
B0DJW5G283,"ANKER Soundcore Q11i Wireless Headphones, 40mm Dynamic DriverHi-Res Audio, One-Touch Bass Boost, 60-Hour Playtime, Detachable Ear Cushions, Bluetooth V5.3, Dark Gray | 18 Months Warranty",1700.0,4.1,24,2,4,30
B0DM9KBP4B,"Soundcore by Anker R50i NC Wireless Bluetooth Earphones, Powerful and Smart Noise Cancelling, Powerful Bass, 45 Hours Playtime, 2-in-1 Case and Phone Stand, IP54, Bluetooth 5.4, Black",1175.0,3.33,18,1,8,27
B0DWLF6ZQC,"Oraimo SpaceBuds Hybrid (OTW-630), ANC True Wireless Earbuds, 4 Mic AI Noise Cancellation, 40-Hr Long Playtime, Type-C, Antibacterial Eartips, Waterproof: IPX4 – Space Grey (12 Month Warranty)",2099.0,3.33,3,1,2,6
B0F29D7V7V,"AirPods 4 Wireless Earbuds, Bluetooth Headphones, Personalized Spatial Audio, Sweat and Water Resistant, USB-C Charging Case, H2 Chip, Up to 30 Hours of Battery Life, Effortless Setup for iPhone",399.0,3.33,2,1,0,3
B0F7FVY8FS,Oraimo OTW-323 SpaceBuds Neo Premium Earbuds Immersive Audio for Dynamic Lifestyles - Speed Black,564.0,4.21,73,14,4,91
B0F99PS1S7,"Soundcore R50I NC By Anker Noise Cancelling In Ear Earbuds,Powerful Bass,45H Playtime,2-In-1 Case And Phone Stand,Ip54,Fast Charge 10Min = 120 Min,Bluetooth 5.4 (Pink)- 18 Months Warranty",1399.0,2.33,1,0,2,3
B0FP2XS5L3,"Wireless Headphone Bluetooth V5.3 SD-1101 with Mic for Laptop/Mobile Phone/PC, Over Ear Stereo Music Earphone, Deep Bass,Soft-Earpads, Headset For Gaming, with SD Memory Card/FM/AUX/Type-C (Black)",449.0,5.0,4,0,0,4
